,31.01.24,29.02.24,31.03.24,30.04.24,31.05.24,,,,,,30.11.,31.12.,Горизонтальный анализ,,,,,Вертикальный анализ (доля в структуре баланса),,,
Месяц —,1,2,3,4,5,6,7,8,9,10,11,12,1,2,Рост/ Падение,"АБС.откл., руб.","ОТН.откл., %",1,2,Рост/ Падение,"АБС.откл., руб."
Активы ↓,4 227 201,4 574 037,4 561 177,4 545 967,4 843 716,5 082 324,5 016 828,4 921 993,5 025 806,5 406 656,5 101 103,5 390 503,4 227 201,4 574 037,рост на,346 836,8%,4 227 201,4 574 037,,
Внеоборотные активы,3 426 914,3 375 775,3 324 636,3 273 496,3 222 357,3 203 557,3 230 566,3 226 275,3 167 276,3 104 068,3 062 685,3 018 441,3 426 914,3 375 775,падение на,-51 139,-1%,81%,74%,падение на,-7%
Основные средства,3 426 914,3 375 775,3 324 636,3 273 496,3 222 357,3 203 557,3 230 566,3 226 275,3 167 276,3 104 068,3 062 685,3 018 441,3 426 914,3 375 775,падение на,-51 139,-1%,81%,74%,падение на,-7%
Тепловое оборудование,503 477,494 328,485 180,476 032,466 883,480 157,469 140,498 623,484 232,469 840,455 448,455 872,503 477,494 328,падение на,-9 148,-2%,12%,11%,падение на,-1%
Холодильное/морозильное оборудование,1 466 275,1 443 720,1 421 164,1 398 609,1 376 054,1 353 499,1 330 943,1 308 388,1 285 833,1 263 278,1 240 723,1 218 167,1 466 275,1 443 720,падение на,-22 555,-2%,35%,32%,падение на,-3%
Кассовое оборудование,105 938,105 147,104 355,103 563,102 772,101 980,101 188,100 397,99 605,98 813,98 022,97 230,105 938,105 147,падение на,-792,-1%,3%,2%,падение на,0%
Оборудование торговых залов,209 539,204 672,199 806,194 939,190 073,185 206,180 340,175 473,170 607,165 740,160 874,156 007,209 539,204 672,падение на,-4 866,-2%,5%,4%,падение на,0%
Вспомогательное оборудование,571 726,565 551,559 376,553 201,547 026,540 851,600 176,602 909,594 809,582 500,591 892,583 606,,,,0,,,,,
Электромеханическое оборудование,247 260,243 756,240 252,236 748,233 244,229 740,240 836,236 724,232 612,228 499,224 512,220 525,,,,0,,,,,
