Статья,Содержание статьи,Источник информации
Активы ↓,,
Внеоборотные активы,,
Основные средства,,
Тепловое оборудование,"Пицце печи, контактные грили, грили Саламандра, жарочные поверхности, индукционные плиты, Фритюрницы, рисоварки, термосы для риса",Учет основных средств
Холодильное/морозильное оборудование,"Холодильные шкафы, саладетты, морозильные лари, холодильные столы и салат бары",Учет основных средств
Кассовое оборудование,"Принтеры чеков, фискальные регистраторы, ФН",Учет основных средств
Оборудование торговых залов,"Телефоны мобильные, IP телефоны, ПОС терминалы",Учет основных средств
Вспомогательное оборудование,"Стелажи, производственные столы, вытяжное оборудование, мойки для посуды, мусорные баки",Учет основных средств
Электромеханическое оборудование,"Блендеры, Слайсеры, Тестомесы, овощерезки, кухонные комбайны, оборудование для сувида, выкуматоры",Учет основных средств
Электроника и оргтехника,"Принтеры, компьютеры",Учет основных средств
Системы кондиционирования,Системы кондиционирования,Учет основных средств
Прочий кухонный инвентарь,Прочий кухонный инвентарь,Учет основных средств
Не работающее оборудование,Не работающее оборудование,Учет основных средств
Мебель и предметы интерьера,Мебель и предметы интерьера,Учет основных средств
,,
,,
,,
,,
Оборотные активы,,
Запасы,,
Товар для перепродажи,"Напитки газ., дип-поты (соусы)",Инвентаризация
Сырье и материалы,Сырье д/производства,Айко
Готовая продукция,Морсы,Инвентаризация
Вспомогательные товары,"Перчатки, фольга, лента д/датера, пакеты фасовка, пищ.пленка, шпажки, тарелки бум.",Айко
Упаковка,"Вся упаковка, не указанная во вспомогательных товарах.",Айко
,,
,,
,,
Денежные средства,,
Р/счета,Р/счета,ДДС
Касса,Касса,ДДС
,,
,,
Дебиторская задолж-ть,,
Задолженность партнеров,Алиса,Отчет о партнерах Айко
Выданные авансы,Предоплата поставщикам,Айко
Задолженность сотр-в,Задолженность и авансы,Зарплатная ведомость
Долг прочих дебиторов,Не определена,Айко
,,
Прочие активы,,
Расходы будущих периодов,Расходы будущих периодов,Айко
Прочее,Прочее,Айко
,,
Пассивы ↓,,
Капитал,,
Уставный капитал,отсутствует,отсутствует
Накопленная прибыль/убыток:,Накопленная прибыль/убыток,Предыдущий баланс
— прошлых периодов,за прошлые годы,ОПиУ
— текущих периодов,за этот год,ОПиУ
,,
Дивиденды,Начисленные дивиденды,Учет ФД
Добавочный капитал,,
Резервы переоценки,,
,,
Обязательства,,
Долгосрочные,,
Кредиты банков,Кредиты банков,Учет ФД
Займы,Займы,Учет ФД
Задолженность по лизингу,Задолженность по лизингу,Учет ФД
,,
Краткосрочные,,
Кредиты банков,Сбербанк,Учет ФД
Займы,Займы,Учет ФД
Овердрафт,Овердрафт,Лог баланса
Кредиторская задолж-ть,,
Задолженность перед поставщиками,Задолженность перед поставщиками,Отчет Айко
Задолженность перед сотрудниками,Задолженность перед сотрудниками,ЗПВ
Задолженность по налогам и сборам,Задолженность по налогам и сборам,Учет налогов
Прочие обязательства,отсутствует,Отчет Айко
Задолженность перед собственниками,Задолженность по дивидендам,Учет ФД
