pnl_line,2026-02,2026-03,2026-04,2026-05,total,status
Аренда торговой точки Черникова,100000.00,100000.00,100000.00,100000.00,400000.00,final
Аренда склада,5000.00,5000.00,5000.00,5000.00,20000.00,final
Коммунальные платежи Черникова,,,,,,partial
Зарплата администраторов,,,,,,pending
Премии,,,,,,pending
Списание продукции и сырья,,,,,,out_of_scope
Результаты ревизии,,,,,,out_of_scope
Траты на курьерскую службу,,,,,,out_of_scope
Комиссия за эквайринг,4631.20,4044.89,4290.83,680.37,13647.29,final
Транспортные услуги,0.00,0.00,0.00,0.00,0.00,final
Расходы на питание персонала,0.00,0.00,0.00,0.00,0.00,final
Оплата систем автоматизации,100471.00,36270.00,36270.00,0.00,173011.00,final
Содержание торговых точек,0.00,0.00,0.00,0.00,0.00,partial
Вспомогательные товары,,,,,,out_of_scope
Налоги с ЗП,22383.93,20060.93,695783.93,500.00,738728.79,pending_split_cash_control
Накопительный фонд,,,,,,pending
Зарплата администрации,,,,,,pending
РКО,0.00,0.00,0.00,0.00,0.00,final
Прочие банковские комиссии,23378.40,24628.00,24938.00,19219.00,92163.40,final
Услуги ФД и НК,0.00,0.00,0.00,9000.00,9000.00,final
Расходы на персонал,1023999.00,1246703.00,621234.00,471709.00,3363645.00,final
Телекоммуникации,3830.00,3830.00,3830.00,3830.00,15320.00,partial
Поиск и найм персонала,4900.00,4000.00,2000.00,1500.00,12400.00,final
