bank,direction,category_native_bank,flow_type,description_signature,operation_count,amount_total_abs,first_date,last_date,legal_counterparty_count,person_or_ip_counterparty_count,rule_ids,suggested_question
sber,credit,01,other_inflow,200a31bf5df4,1,220000.00,2026-03-17,2026-03-17,0,1,INTERNAL_TRANSFER_OWN_ACCOUNTS_REVERSE_REVIEW,Определить экономический смысл группы операций.
sber,debit,01,other_outflow,0db76ad271ca,1,180000.00,2026-04-26,2026-04-26,1,0,OTHER_SBER_DEBIT_REVIEW,Определить экономический смысл группы операций.
sber,debit,01,other_outflow,13b8647e97cd,1,97800.00,2026-02-16,2026-02-16,1,0,OTHER_SBER_DEBIT_REVIEW,Определить экономический смысл группы операций.
sber,debit,01,other_outflow,63e38cfa1b07,1,105328.00,2026-04-01,2026-04-01,1,0,OTHER_SBER_DEBIT_REVIEW,Определить экономический смысл группы операций.
sber,debit,01,other_outflow,a6c57df3e290,1,185000.00,2026-02-02,2026-02-02,1,0,OTHER_SBER_DEBIT_REVIEW,Определить экономический смысл группы операций.
sber,debit,01,other_outflow,c632cf3e4173,1,298758.00,2026-03-17,2026-03-17,1,0,OTHER_SBER_DEBIT_REVIEW,Определить экономический смысл группы операций.
sber,debit,01,other_outflow,dce4dd91d981,1,80756.00,2026-04-18,2026-04-18,1,0,OTHER_SBER_DEBIT_REVIEW,Определить экономический смысл группы операций.
sber,debit,01,other_outflow,ebea2ba81192,1,100000.00,2026-04-30,2026-04-30,1,0,OTHER_SBER_DEBIT_REVIEW,Определить экономический смысл группы операций.
sber,debit,01,other_outflow,ef1a5c47f896,1,77720.00,2026-02-18,2026-02-18,1,0,OTHER_SBER_DEBIT_REVIEW,Определить экономический смысл группы операций.
sber,debit,01,other_outflow,ef3663621cab,1,193032.00,2026-05-01,2026-05-01,1,0,OTHER_SBER_DEBIT_REVIEW,Определить экономический смысл группы операций.
sber,debit,17,loan_payment,ef9bd6a2bcc5,3,597.00,2026-02-16,2026-04-20,3,0,LOAN_OR_OVERDRAFT_ANY,"Разделить тело кредита, проценты и комиссии."
