sheet,range_or_cell,purpose,manual_or_formula,depends_on,feeds_into,quality_status,privacy_level,comment
"ДДС: настройки (для ввода сальдо)","B1","Месяц старта ведения ДДС","manual","Технический лист!A3:A14","Стартовые остатки в ДДС: Сводный и листах кошельков","OK","internal","В исходном файле значение 8; менять только при миграции стартового периода."
"ДДС: настройки (для ввода сальдо)","A3:B13","Кошельки и начальные остатки","manual","Ручной ввод","ДДС: месяц top balance, кошельки, ДДС: Сводный","OK","financial_aggregate","Список кошельков является прототипом wallets/accounts."
"ДДС: месяц","A1:I3","Текущие остатки по выбранным кошелькам и общий итог","formula","SUMIFS(D5:D;E5:E;wallet)+VLOOKUP(wallet;настройки)","Оперативная проверка общего остатка","OK_WITH_EMPTY_WALLET_CELLS","financial_aggregate","Формулы суммируют все строки журнала по кошельку плюс стартовое сальдо."
"ДДС: месяц","A5:A","Название месяца операции","formula","C5:C, B5:B, Справочники!E:F","ДДС: месяц, ручная навигация","OK","low","ARRAYFORMULA; в приложении лучше вычислять из даты."
"ДДС: месяц","B5:B","Номер месяца операции","formula","C5:C","ДДС: Сводный, кошельки, платежный календарь","OK","low","ARRAYFORMULA MONTH(date)."
"ДДС: месяц","C5:C","Дата операции","manual","DATE_IS_VALID validation","Все SUMIFS по периоду; Факт ДДС платежного календаря","OK","financial_sensitive","Обязательное поле операции."
"ДДС: месяц","D5:D","Сумма операции signed amount","manual","Ручной ввод","Все cashflow-агрегаты и остатки","OK","financial_sensitive","Поступления положительные, выплаты отрицательные."
"ДДС: месяц","E5:E","Кошелек операции","manual","Dropdown ДДС: настройки!A3:A13","Остатки по кошелькам, локальные ДДС","OK","financial_sensitive","В приложении нужен wallet_id."
"ДДС: месяц","F5:F","Направление бизнеса","manual","Dropdown Справочники!A2:A","Будущая аналитика по направлениям","PARTIALLY_USED","internal","Сводная по направлениям в старом файле фактически не развита."
"ДДС: месяц","G5:G","Контрагент","manual","Контрагенты","Платежный календарь Факт ДДС, карточка операции","PRIVATE_DO_NOT_EXPORT_ROWS","high_private","Не выносить построчно в открытые файлы."
"ДДС: месяц","H5:H","Назначение платежа / комментарий","manual","Ручной ввод","Платежный календарь Факт ДДС, карточка операции","PRIVATE_DO_NOT_EXPORT_ROWS","high_private","Хранить как приватное поле."
"ДДС: месяц","I5:I","Статья ДДС","manual","Dropdown ДДС: статьи!A2:A227","J/K classification, ДДС: Сводный, кошельки, календарь","QUALITY_RISK","internal","Статья должна совпадать со справочником строго; найдено несоответствие `Услуги ФД`."
"ДДС: месяц","J5:J","Тип движения: поступление/выбытие","formula","VLOOKUP(I5:I; ДДС: статьи!A:D; 2)","Отчеты и платежный календарь","QUALITY_RISK_IF_ARTICLE_UNKNOWN","internal","ARRAYFORMULA; ошибка статьи ломает классификацию."
"ДДС: месяц","K5:K","Вид деятельности","formula","VLOOKUP(I5:I; ДДС: статьи!A:D; 3)","Операционный/инвестиционный/финансовый cashflow","QUALITY_RISK_IF_ARTICLE_UNKNOWN","internal","Именно здесь неклассифицированные статьи выпадают из сводного cashflow."
