pnl_line,opiu_block,dds_sweet_article_name,dds_article_aliases,source_type,extra_components,notes
Возвраты клиентам (с минусом),Выручка,Возвраты клиентам,,dds_only,,Уменьшает управленческую выручку
Зарплата администраторов,Общепроизводственные,,,gs_payroll_only,,Источник зарплатная ведомость; в ДДС только cash settlement как контроль
Премии поваров шеф-повара администраторов,Общепроизводственные,,,gs_payroll_only,,Источник зарплатная ведомость
Зарплата администрации,Административные,,,gs_payroll_only,,Источник зарплатная ведомость
Накопительный фонд,Общепроизводственные,Накопительный фонд,,gs_payroll_only,,Источник зарплатная ведомость; в ДДС только cash settlement
Списание невостребованных депозитов,Доходы ниже EBITDA,,,gs_payroll_only,,Источник зарплатная ведомость лист Свод строка 17
Зарплата поваров (оклады и удержания),Прямые постоянные,,,gs_payroll_only,,Источник зарплатная ведомость
Налоги с ЗП,Общепроизводственные,Налоги с з/п,Налоги с ЗП,dds_only,,Подтверждено владельцем: основной источник ДДС статья Налоги с з/п; зарплатная ведомость только контроль
Комиссия за эквайринг,Общепроизводственные,Эквайринг,,dds_only,,Может удерживаться и Sber и T-Bank; в ДДС уже отражено суммарно
Транспортные услуги,Общепроизводственные,Транспортные услуги,,dds_only,,
Расходы на питание персонала,Общепроизводственные,Расходы на питание персонала,,dds_only,,
Оплата систем автоматизации,Общепроизводственные,Оплаты систем автоматизации,Оплата систем автоматизации,dds_only_plus_accrual,См. vendor_billing_schedules.csv для accrual-логики multi-period подписок; Реви/Greevy = платеж из ДДС или T-Bank / 6,В ОПиУ заносить accrual по периоду услуги; cash basis из ДДС-листа корректируется для подписок
Аренда торговой точки Черникова,Общепроизводственные,Аренда торговых точек,,fixed_contract,100 000 руб/мес константа по договору,Сверять с ДДС-листом
Аренда торговой точки Гагарина,Общепроизводственные,,,not_applicable,,Точка не работает с 2024
Аренда склада,Общепроизводственные,Аренда склада,,fixed_contract,5 000 руб/мес константа,Сверять с ДДС-листом
Содержание торговых точек,Общепроизводственные,Содержание торговых точек,,mixed_dds_plus_iiko,iiko incomingInvoice по whitelist Закупка расходников на торговые точки,P&L = abs(ДДС) + iiko-компонент
Списание продукции и сырья,Общепроизводственные,,,iiko_only,,Источник iiko writeoff
Результаты ревизии,Общепроизводственные,,,mixed_iiko_plus_payroll,Зарплатная ведомость -> Свод строка 16 Штрафы по ревизиям,"P&L = signed iiko product inventory result - payroll revision fines"
Результаты инвентаризации упаковки (кроме коробок для пиццы),Общепроизводственные,,,iiko_only,,Источник iiko storeOperations INCOMING_INVENTORY упаковочные по whitelist
Результаты инвентаризации коробки д/пиццы,Прямые постоянные,,,iiko_only,,Источник iiko storeOperations INCOMING_INVENTORY 4 SKU коробок по whitelist
Траты на курьерскую службу,Общепроизводственные,,,iiko_only,,D01: iiko P&L preset Зарплата курьеров
Комиссия партнерам (с -),Выручка,,,iiko_only,,iiko OLAP Отчет о партнерах 20% от суммы со скидкой по партнеру В гостях у Алисы
Расход продуктов (фудкост) Черникова,Переменные,,,iiko_only,,iiko OLAP Отчет о выручке по направлениям сумма себестоимости
Выручка без учета скидок Черникова,Выручка,,,iiko_only,,iiko OLAP Отчет о выручке по направлениям сумма без скидки
Выручка с учетом скидок Черникова,Выручка,,,iiko_only,,iiko OLAP Отчет о выручке по направлениям сумма со скидкой
Содержание офиса,Административные,Содержание офиса,,dds_only,,Не путать с Содержанием торговых точек
Коммунальные платежи Гагарина,Административные,,,not_applicable,,Точка не работает с 2024
Коммунальные платежи Черникова,Административные,Коммунальные платежи,,fixed_landlord_invoices,платежки арендодателя ручной ввод по компонентам вода/газ/электричество,Сверять с ДДС если оплачено через банк
РКО,Административные,РКО,,dds_only,,
Прочие банковские комиссии,Административные,Прочие банковские комиссии,,dds_only,,Дублирование с Эквайринг исключать
Услуги ФД и НК,Административные,Услуги ФД и НК,Услуги ФД,dds_only,,Алиас Услуги ФД в построчных операциях
Расходы на персонал,Административные,Расходы на персонал,,dds_only,,Не путать с Расходами на питание персонала
Телекоммуникации,Административные,Телекоммуникации,,mixed_dds_plus_fixed,Mango Office (переменная) + iHC 600 + Микроэл 3230 константы,Mango pending см. 15-telephony
Поиск и найм персонала,Административные,Поиск и найм персонала,,dds_only,,
Комиссия агрегатору,Коммерческие,Комиссия агрегатору,,dds_only_manual,Источник в ДДС вводится вручную после данных от менеджеров К порогу,
Таргетированная реклама,Коммерческие,Таргетированная реклама,,workmail_first_dds_settlement,Первичный источник WorkMail smmbux@yandex.ru: письмо Документы для ИП Шокина Кристина Юрьевна от ИП Билинский Андрей Романович с УПД по обслуживанию/продвижению и рекламному бюджету; ДДС/T-Bank = cash settlement,Не использовать ДДС cash basis как P&L-сумму если найден УПД WorkMail; письмо Отправка отчета не является первичным источником ОПиУ
Наружная реклама,Коммерческие,Баннерная реклама,Наружная реклама,edo_first_dds_settlement,Аналогично; в ДДС-листе известна как Баннерная реклама,
Контекстная реклама,Коммерческие,Контекстная реклама,,edo_first_dds_settlement,СБИС не подключен,
Печатные материалы НЕ ИСПОЛЬЗУЕМ!,Коммерческие,Печатные материалы,,legacy_not_used,,Исторический контур
Листовки,Коммерческие,Листовки,,dds_only,,
SEO - оптимизация,Коммерческие,SEO-оптимизация,SEO - оптимизация,edo_first_dds_settlement,СБИС не подключен,
Прочие маркетинговые услуги,Коммерческие,Прочие маркетинговые услуги,,dds_only,,
Сайт и приложение,Коммерческие,Сайт и приложение,,edo_first_dds_settlement,СБИС не подключен; альтернативный источник StarterApp выписки,
