Месяц,Дата,Номер акта/СФ/УПД/накладная,Сумма,[counterparty_1ef22baea0],Статья,Комментарий
3,31.03.2024,,"9 594,16",[counterparty_d7a35ccc36],Содержание торговых точек,
3,31.03.2024,,"30 856,37",[counterparty_d7a35ccc36],Расходы на питание персонала,
3,31.03.2024,,"202 363,39",[counterparty_d7a35ccc36],Расход продуктов(фудкост),
3,31.03.2024,,"75 000,00",[counterparty_cd0c8c2f69],Услуги ФД,
3,21.03.2024,,"39 341,80",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
3,14.03.2024,,"33 650,16",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
3,07.03.2024,,"43 607,00",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
3,28.03.2024,,"43 305,64",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
3,21.03.2024,,"56 167,14",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,21.03.2024,,"3 300,87",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,08.03.2024,,"1 126,57",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,01.03.2024,,"1 604,19",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,01.03.2024,,"3 400,00",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,29.03.2024,,"3 549,20",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,15.03.2024,,"3 766,21",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,01.03.2024,,"4 605,70",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,08.03.2024,,"7 851,12",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,01.03.2024,,"13 632,40",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,15.03.2024,,"54 448,43",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,29.03.2024,,"58 029,26",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,01.03.2024,,"66 421,34",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,08.03.2024,,"88 552,45",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
3,21.03.2024,,"5 269,84",[counterparty_6d6a37d791],Расход продуктов (фудкост),
3,01.03.2024,,"2 946,88",[counterparty_6d6a37d791],Расход продуктов (фудкост),
3,29.03.2024,,"4 366,78",[counterparty_6d6a37d791],Расход продуктов (фудкост),
3,01.03.2024,,"4 872,56",[counterparty_6d6a37d791],Расход продуктов (фудкост),
3,23.03.2024,,"11 220,60",[counterparty_07485de87e],Расход продуктов (фудкост),
3,29.03.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
3,22.03.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
3,15.03.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
3,08.03.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
3,04.03.2024,,"255,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
3,01.03.2024,,"1 700,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
3,21.03.2024,,"27 759,00",[counterparty_bb8cb2d348],Расход продуктов (фудкост),
3,14.03.2024,,"27 705,00",[counterparty_bb8cb2d348],Расход продуктов (фудкост),
3,08.03.2024,,"28 125,00",[counterparty_bb8cb2d348],Расход продуктов (фудкост),
3,20.03.2024,,"30 927,29",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
3,13.03.2024,,"28 355,50",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
3,27.03.2024,,"30 871,73",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
3,06.03.2024,,"35 806,03",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
3,20.03.2024,,"13 738,45",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,20.03.2024,,"10 165,20",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,05.03.2024,,"7 590,22",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,14.03.2024,,"10 317,51",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,28.03.2024,,"10 787,82",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,28.03.2024,,"11 142,11",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,05.03.2024,,"8 997,97",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,07.03.2024,,"13 011,07",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,07.03.2024,,"13 729,68",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,14.03.2024,,"13 270,13",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
3,28.03.2024,,"845,00",[counterparty_dc430ed78e],Расход продуктов (фудкост),
3,28.03.2024,,"104 806,70",[counterparty_dc430ed78e],Расход продуктов (фудкост),
3,20.03.2024,,"96 637,00",[counterparty_dc430ed78e],Расход продуктов (фудкост),
3,14.03.2024,,"90 453,50",[counterparty_dc430ed78e],Расход продуктов (фудкост),
3,07.03.2024,,"985,00",[counterparty_dc430ed78e],Расход продуктов (фудкост),
3,07.03.2024,,"126 153,20",[counterparty_dc430ed78e],Расход продуктов (фудкост),
3,28.03.2024,,"91 360,00",[counterparty_6e66cfc0d7],Расход продуктов (фудкост),
3,26.03.2024,,"3 164,50",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
3,25.03.2024,,"2 476,65",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
3,18.03.2024,,"3 812,00",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
3,18.03.2024,,"559,78",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
3,11.03.2024,,"1 260,00",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
3,08.03.2024,,"1 205,55",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
3,05.03.2024,,"180,00",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
3,01.03.2024,,"4 626,75",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
3,29.03.2024,,"6 095,00",[counterparty_5ea766e786],Расход продуктов (фудкост),
3,21.03.2024,,"6 901,75",[counterparty_5ea766e786],Расход продуктов (фудкост),
3,14.03.2024,,"5 815,00",[counterparty_5ea766e786],Расход продуктов (фудкост),
3,06.03.2024,,"6 460,00",[counterparty_5ea766e786],Расход продуктов (фудкост),
4,25.04.2024,,"44 439,80",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
4,18.04.2024,,"49 450,81",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
4,11.04.2024,,"41 927,40",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
4,04.04.2024,,"52 933,40",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
4,26.04.2024,,"7 092,00",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
4,26.04.2024,,"560,88",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
4,26.04.2024,,"48 049,36",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
4,19.04.2024,,"60 705,68",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
4,19.04.2024,,"34 800,00",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
4,12.04.2024,,"59 936,92",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
4,05.04.2024,,"85 432,48",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
4,05.04.2024,,"6 953,67",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
4,05.04.2024,,"6 664,02",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
4,26.04.2024,,"2 365,92",[counterparty_6d6a37d791],Расход продуктов (фудкост),
4,12.04.2024,,"4 343,12",[counterparty_6d6a37d791],Расход продуктов (фудкост),
4,05.04.2024,,"5 005,32",[counterparty_6d6a37d791],Расход продуктов (фудкост),
4,16.04.2024,,"5 896,80",[counterparty_07485de87e],Расход продуктов (фудкост),
4,22.04.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
4,14.04.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
4,08.04.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
4,18.04.2024,,"31 505,90",[counterparty_bb8cb2d348],Расход продуктов (фудкост),
4,04.04.2024,,"27 856,00",[counterparty_bb8cb2d348],Расход продуктов (фудкост),
4,24.04.2024,,"57 303,64",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
4,17.04.2024,,"29 334,62",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
4,11.04.2024,,"38 186,63",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
4,03.04.2024,,"37 087,62",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
4,25.04.2024,,"13 255,16",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
4,25.04.2024,,"11 475,48",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
4,18.04.2024,,"10 795,22",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
4,18.04.2024,,"11 151,96",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
4,11.04.2024,,"15 639,18",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
4,11.04.2024,,"13 884,53",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
4,04.04.2024,,"12 641,70",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
4,04.04.2024,,"20 557,88",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
4,25.04.2024,,"106 275,00",[counterparty_dc430ed78e],Расход продуктов (фудкост),
4,25.04.2024,,"7 177,50",[counterparty_dc430ed78e],Расход продуктов (фудкост),
4,18.04.2024,,"945,00",[counterparty_dc430ed78e],Расход продуктов (фудкост),
4,17.04.2024,,"104 285,00",[counterparty_dc430ed78e],Расход продуктов (фудкост),
4,11.04.2024,,"105 278,10",[counterparty_dc430ed78e],Расход продуктов (фудкост),
4,04.04.2024,,"118 770,10",[counterparty_dc430ed78e],Расход продуктов (фудкост),
4,29.04.2024,,"1 273,33",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,26.04.2024,,"3 663,34",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,25.04.2024,,"221,19",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,24.04.2024,,"368,13",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,22.04.2024,,"4 668,00",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,21.04.2024,,"513,00",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,18.04.2024,,"868,00",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,18.04.2024,,"28,54",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,13.04.2024,,"218,00",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,10.04.2024,,"312,00",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,08.04.2024,,"2 234,50",[counterparty_b2323408fa],Упаковка и вспомогательные товары,
4,25.04.2024,,"6 096,50",[counterparty_5ea766e786],Расход продуктов (фудкост),
4,17.04.2024,,"6 764,00",[counterparty_5ea766e786],Расход продуктов (фудкост),
4,10.04.2024,,"7 650,00",[counterparty_5ea766e786],Расход продуктов (фудкост),
4,30.04.2024,,"208 272,77",[counterparty_d7a35ccc36],Расход продуктов(фудкост),
4,30.04.2024,,"11 606,43",[counterparty_d7a35ccc36],Содержание торговых точек,
4,30.04.2024,,"21 303,62",[counterparty_d7a35ccc36],Расходы на питание персонала,
4,30.04.2024,,"4 700,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
3,31.03.2024,,"6 755,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
5,30.05.2024,,"55 202,60",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
5,23.05.2024,,"83 911,80",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
5,16.05.2024,,"68 609,30",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
5,09.05.2024,,"54 178,80",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
5,02.05.2024,,"56 771,38",[counterparty_c4e92b27e2],Расход продуктов (фудкост),
5,24.05.2024,,"5 845,50",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,24.05.2024,,"67 027,35",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,17.05.2024,,"55 752,00",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,17.05.2024,,"7 863,75",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,10.05.2024,,"58 670,43",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,10.05.2024,,"7 518,00",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,03.05.2024,,"68 334,18",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,03.05.2024,,"3 396,00",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,03.05.2024,,"6 941,05",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,03.05.2024,,"2 268,00",[counterparty_fb5384e8b9],Расход продуктов (фудкост),
5,24.05.2024,,"5 422,70",[counterparty_6d6a37d791],Расход продуктов (фудкост),
5,17.05.2024,,"846,00",[counterparty_6d6a37d791],Расход продуктов (фудкост),
5,17.05.2024,,"3 816,35",[counterparty_6d6a37d791],Расход продуктов (фудкост),
5,10.05.2024,,"4 807,68",[counterparty_6d6a37d791],Расход продуктов (фудкост),
5,24.05.2024,,"6 223,44",[counterparty_07485de87e],Расход продуктов (фудкост),
5,01.05.2024,,"9 346,68",[counterparty_07485de87e],Расход продуктов (фудкост),
5,31.05.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
5,24.05.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
5,19.05.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
5,12.05.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
5,06.05.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
5,01.05.2024,,"2 000,00",[counterparty_903a43fe3c],Расход продуктов (фудкост),
5,30.05.2024,,"49 435,07",[counterparty_bb8cb2d348],Расход продуктов (фудкост),
5,23.05.2024,,"30 657,59",[counterparty_bb8cb2d348],Расход продуктов (фудкост),
5,16.05.2024,,"23 062,00",[counterparty_bb8cb2d348],Расход продуктов (фудкост),
5,02.05.2024,,"28 125,00",[counterparty_bb8cb2d348],Расход продуктов (фудкост),
5,30.05.2024,,"35 343,81",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
5,22.05.2024,,"40 255,33",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
5,15.05.2024,,"24 894,11",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
5,08.05.2024,,"21 131,33",[counterparty_8e70032df8],Упаковка и вспомогательные товары,
5,30.05.2024,,"11 998,80",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
5,30.05.2024,,"17 084,33",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
5,23.05.2024,,"13 904,86",[counterparty_19f4d4c15b],Расход продуктов (фудкост),
