11,,660 064,2 305 283,,,-2 565 870,,399 477,
№,Контрагент - поставщик,"Задолженность за
прошлые месяцы (с «+» - кредиторка, с «-» - дебиторка)",Сумма отгрузок и оказанных услуг (ОПИУ),Дата документа,Номер документа,Оплачено в текущем месяце (ДДС),Дата оплат,"Остаток задолженности
на конец месяца (с «+» - кредиторка, с «-» - дебиторка) - БАЛАНС",Статья ОПиУ
1,[counterparty_c4e92b27e2],72 639,204 698,"07.11.2024
14.11.2024
21.11.2024
28.11.2024",,-144 892,"01.11.2024
08.11.2024
15.11.2024
22.11.2024",132 445,Расход продуктов (фудкост)
2,[counterparty_fb5384e8b9],52 151,342 898,"01.11.2024
01.11.2024
08.11.2024
08.11.2024
15.11.2024
15.11.2024
15.11.2024
22.11.2024
22.11.2024
29.11.2024
29.11.2024",,-274 504,"01.11.2024
01.11.2024
08.11.2024
08.11.2024
15.11.2024
15.11.2024
22.11.2024
22.11.2024
22.11.2024
30.11.2024",120 544,Расход продуктов (фудкост)
3,[counterparty_e08d6e58b9],-1 069,216 305,"30.11.2024
30.11.2024
30.11.2024
30.11.2024
30.11.2024",,-220 850,"01.11.2024
05.11.2024
19.11.2024
25.11.2024
27.11.2024
29.11.2024",-5 614,Аренда и комуналка
4,[counterparty_416f60a5fd],0,7 700,30.11.2024,,-7 700,"13.11.2024
18.11.2024
20.11.2024",0,Прочие маркетинговые услуги
5,[counterparty_7394704068],0,0,,,0,,0,Расход продуктов (фудкост)
6,[counterparty_6d6a37d791],0,2 000,08.11.2024,,-2 000,15.11.2024,0,Расход продуктов (фудкост)
7,[counterparty_07485de87e],0,9 807,09.11.2024,,-9 807,26.11.2024,0,Расход продуктов (фудкост)
8,[counterparty_903a43fe3c],0,0,,,0,,0,Расход продуктов (фудкост)
9,[counterparty_d7a35ccc36],0,245 357,"30.11.2024
30.11.2024
30.11.2024",,-245 357,"01.11.2024
01.11.2024
01.11.2024
03.11.2024
01.11.2024
03.11.2024
03.11.2024
03.11.2024
05.11.2024
05.11.2024
05.11.2024
05.11.2024
05.11.2024
05.11.2024
07.11.2024
06.11.2024
06.11.2024
07.11.2024
07.11.2024
07.11.2024
09.11.2024
09.11.2024
09.11.2024
09.11.2024
11.11.2024
11.11.2024
12.11.2024
11.11.2024
11.11.2024
12.11.2024
12.11.2024
12.11.2024
12.11.2024
13.11.2024
13.11.2024
13.11.2024
13.11.2024
13.11.2024
14.11.2024
15.11.2024
15.11.2024
17.11.2024
15.11.2024
15.11.2024
16.11.2024
16.11.2024
17.11.2024
17.11.2024
17.11.2024
17.11.2024
18.11.2024
19.11.2024
19.11.2024
19.11.2024
19.11.2024
19.11.2024
20.11.2024
21.11.2024
21.11.2024
21.11.2024
21.11.2024
22.11.2024
25.11.2024
30.11.2024
23.11.2024
23.11.2024
25.11.2024
25.11.2024
25.11.2024
27.11.2024
27.11.2024
29.11.2024
29.11.2024
23.11.2024
23.11.2024
25.11.2024
25.11.2024
26.11.2024
27.11.2024
27.11.2024
28.11.2024
29.11.2024
29.11.2024",0,РУЧКАМИ !!!
10,[counterparty_bb8cb2d348],51 947,192 076,"08.11.2024
14.11.2024
21.11.2024
28.11.2024",,-197 575,"01.11.2024
08.11.2024
15.11.2024
22.11.2024",46 447,Расход продуктов (фудкост)
11,[counterparty_8e70032df8],47 872,106 001,"06.11.2024
13.11.2024
20.11.2024
27.11.2024",,-134 736,"01.11.2024
08.11.2024
15.11.2024
22.11.2024
30.11.2024",19 137,Упаковка и вспомогательные товары
12,[counterparty_19f4d4c15b],93 524,119 649,"07.11.2024
07.11.2024
14.11.2024
14.11.2024
21.11.2024
21.11.2024
21.11.2024
27.11.2024
27.11.2024",,-126 562,"01.11.2024
08.11.2024
15.11.2024
22.11.2024",86 611,Расход продуктов (фудкост)
13,[counterparty_dc430ed78e],377 518,471 394,"07.11.2024
14.11.2024
14.11.2024
21.11.2024
21.11.2024
28.11.2024
28.11.2024
28.11.2024
29.11.2024
29.11.2024",,-622 225,"01.11.2024
08.11.2024
15.11.2024
22.11.2024
30.11.2024",226 687,Расход продуктов (фудкост)
14,[counterparty_6e66cfc0d7],0,0,,,0,,0,Расход продуктов (фудкост)
15,[counterparty_b2323408fa],12 009,67 467,"03.11.2024
05.11.2024
05.11.2024
07.11.2024
08.11.2024
11.11.2024
13.11.2024
15.11.2024
15.11.2024
18.11.2024
22.11.2024
25.11.2024
27.11.2024
29.11.2024
30.11.2024",,-67 415,"03.11.2024
05.11.2024
07.11.2024
08.11.2024
11.11.2024
11.11.2024
13.11.2024
15.11.2024
15.11.2024
22.11.2024
27.11.2024
30.11.2024
30.11.2024
30.11.2024",12 060,Упаковка и вспомогательные товары
16,[counterparty_5ea766e786],1,31 647,"04.11.2024
12.11.2024
15.11.2024
18.11.2024
25.11.2024
29.11.2024",,-31 647,"04.11.2024
12.11.2024
15.11.2024
18.11.2024
25.11.2024
29.11.2024",0,Расход продуктов (фудкост)
17,[counterparty_50d958815d],-5 818,18 230,30.11.2024,,-15 000,"08.11.2024
17.11.2024
25.11.2024",-2 588,Телекоммуникации
18,[counterparty_c7f82a55d3],0,0,,,0,,0,Транспортные услуги
19,[counterparty_ea5804ea3c],0,0,,,0,,0,Прочие маркетинговые услуги
20,[counterparty_347b901ee4],-69 681,50 484,30.11.2024,,-72 000,27.11.2024,-91 197,Контекстная реклама
21,[counterparty_9147d41bbb],-5 000,7 387,"30.11.2024
30.11.2024",,-4 887,"07.11.2024
07.11.2024
13.11.2024
15.11.2024",-2 500,Коммунальные платежи 
22,[counterparty_1c967c7874],-5 400,5 650,30.11.2024,,-9 820,"05.11.2024
05.11.2024",-9 570,Комиссия агрегатору
23,[counterparty_e3d41d1621],-2 640,2 200,30.11.2024,,-3 064,11.11.2024,-3 504,Телекоммуникации
24,[counterparty_cb93f56848],98 380,104 797,30.11.2024,,-99 588,05.11.2024,103 589,Сайт и приложение
25,[counterparty_483af3edc2],-32 800,0,,,-32 800,18.11.2024,-65 600,Листовки
26,[counterparty_449fa47f79],-6 885,16 425,"30.11.2024
30.11.2024",,-19 425,"07.11.2024
11.11.2024
18.11.2024",-9 885,Оплата систем автоматизации
27,[counterparty_33844b2195],0,0,,,-28 000,01.11.2024,-28 000,Прочие маркетинговые услуги
28,[counterparty_ab325eb126],-10 000,10 000,30.11.2024,,-12 100,"07.11.2024
07.11.2024",-12 100,Оплата систем автоматизации
29,[counterparty_a8c88d8a2c],-10 000,10 000,30.11.2024,,-10 000,27.11.2024,-10 000,SEO - оптимизация
30,[counterparty_45d6b05c94],-243,215,30.11.2024,,-700,06.11.2024,-728,Поиск и найм персонала
31,[counterparty_0dd12f5640],0,0,,,0,,0,Листовки
32,[counterparty_cd0c8c2f69],0,0,,,0,,0,Услуги ФД
33,[counterparty_3feb526b66],0,0,,,0,,0,Расход продуктов (фудкост)
34,[counterparty_ecf3465a86],4 210,4 210,"30.11.2024
30.11.2024",,-4 210,"07.11.2024
07.11.2024",4 210,Коммунальные платежи 
35,[counterparty_d1d2f948bb],-2 500,2 500,30.11.2024,,0,,0,Оплата систем автоматизации
36,[counterparty_8ee68081e8],0,0,,,0,,0,Телекоммуникации
37,[counterparty_6a1a6347e5],0,0,,,0,,0,Телекоммуникации
38,[counterparty_61340e8f89],0,0,,,0,,0,Телекоммуникации
39,[counterparty_81cfe2f35c],0,0,,,-112 819,"13.11.2024
13.11.2024",-112 819,Расход продуктов (фудкост)
40,[counterparty_00d169637c],0,5 000,30.11.2024,,-5 000,27.11.2024,0,Контекстная реклама
41,[counterparty_d2a9714437],0,30 836,"01.11.2024
08.11.2024
15.11.2024
22.11.2024
29.11.2024",,-30 836,"01.11.2024
08.11.2024
15.11.2024
22.11.2024
29.11.2024",0,Расход продуктов (фудкост)
42,[counterparty_3f7ad1a68b],1 850,20 350,"01.11.2024
04.11.2024
07.11.2024
10.11.2024
13.11.2024
16.11.2024
18.11.2024
24.11.2024
27.11.2024
29.11.2024",,-20 350,"01.11.2024
08.11.2024
15.11.2024
22.11.2024
30.11.2024",1 850,Расход продуктов (фудкост)
43,,,0,,,0,,0,
44,,,0,,,0,,0,
45,,,0,,,0,,0,
46,,,0,,,0,,0,
47,,,0,,,0,,0,
48,,,0,,,0,,0,
49,,,0,,,0,,0,
50,,,0,,,0,,0,
51,,,0,,,0,,0,
52,,,0,,,0,,0,
53,,,0,,,0,,0,
54,,,0,,,0,,0,
55,,,0,,,0,,0,
56,,,0,,,0,,0,
57,,,0,,,0,,0,
58,,,0,,,0,,0,
59,,,0,,,0,,0,
60,,,0,,,0,,0,
61,,,0,,,0,,0,
62,,,0,,,0,,0,
63,,,0,,,0,,0,
64,,,0,,,0,,0,
65,,,0,,,0,,0,
66,,,0,,,0,,0,
67,,,0,,,0,,0,
68,,,0,,,0,,0,
69,,,0,,,0,,0,
70,,,0,,,0,,0,
71,,,0,,,0,,0,
72,,,0,,,0,,0,
73,,,0,,,0,,0,
74,,,0,,,0,,0,
75,,,0,,,0,,0,
76,,,0,,,0,,0,
77,,,0,,,0,,0,
78,,,0,,,0,,0,
79,,,0,,,0,,0,
80,,,0,,,0,,0,
81,,,0,,,0,,0,
