Период,01,02,03,04,05,06,07,08,09,10,11,12
,D,,,,,,,,,,,
Расходы для ОПиУ,,,,,,,,,,,,
Расход продуктов (фудкост),0,0,1 547 411,1 400 445,1 712 366,1 243 434,1 292 609,1 855 637,1 168 536,1 514 916,1 425 355,1 893 018
Аренда и комуналка,0,0,256 916,226 147,241 061,261 560,279 280,282 187,264 853,256 749,216 305,222 277
Транспортные услуги,0,0,6 000,0,7 000,0,0,0,0,0,0,0
Расходы на питание персонала,0,0,0,0,0,0,0,0,0,0,0,0
Оплата систем автоматизации,0,0,25 385,25 385,25 385,25 385,31 205,28 385,29 285,29 285,28 925,31 025
Содержание торговых точек,0,0,0,0,0,0,0,0,0,0,0,0
Аренда склада,0,0,0,0,0,0,0,0,0,0,0,0
Упаковка и вспомогательные товары,0,0,143 246,176 281,179 505,126 267,175 849,155 387,134 905,170 789,173 468,210 179
Коммунальные платежи ,0,0,8 606,9 339,9 171,8 606,10 066,9 210,10 066,9 210,11 597,7 566
Услуги ФД,0,0,75 000,75 000,75 000,75 000,75 000,75 000,0,0,0,0
Поиск и найм персонала,0,0,0,4 000,920,3 524,3 085,1 270,8 893,1 389,215,3 771
Листовки,0,0,0,0,0,0,0,54 800,0,0,0,80 800
SEO - оптимизация,0,0,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000,10 000
Прочие маркетинговые услуги,0,0,21 900,52 432,37 500,0,34 000,28 000,7 400,42 700,7 700,29 600
Сайт и приложение,0,0,95 254,88 884,101 927,100 202,93 286,98 782,97 321,99 588,104 797,109 863
Телекоммуникации,0,0,19 444,19 974,21 102,27 516,20 947,25 622,20 021,23 600,20 430,21 790
Комиссия агрегатору,0,0,6 950,4 700,0,4 950,5 550,5 300,4 750,5 400,5 650,5 850
Контекстная реклама,0,0,72 018,81 425,68 449,73 138,51 806,49 514,46 973,62 746,55 484,64 294
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
Итого,0,0,2 288 130,2 174 011,2 489 387,1 959 582,2 082 683,2 679 095,1 803 003,2 226 372,2 059 926,2 690 032
,,,,,,,,,,,,
,,,,,,,,,,,,
Кредиторка (поставщики) для Баланса,,,,,,,,,,,,
Расход продуктов (фудкост),614 636,614 636,374 690,367 869,387 914,402 325,338 308,591 250,342 753,649 629,614 586,714 483
Аренда и комуналка,22 485,22 485,11 584,41 337,0,3 560,780,24 387,7 055,0,0,24 942
Транспортные услуги,0,0,0,0,0,0,0,0,0,0,0,0
Расходы на питание персонала,0,0,0,0,0,0,0,0,0,0,0,0
Оплата систем автоматизации,0,0,0,0,0,0,0,0,0,0,0,0
Содержание торговых точек,0,0,0,0,0,0,0,0,0,0,0,0
Аренда склада,0,0,0,0,0,0,0,0,0,0,0,0
Упаковка и вспомогательные товары,63 291,63 291,31 250,65 798,46 085,20 858,62 504,33 386,34 077,59 881,31 197,45 604
Коммунальные платежи ,3 613,3 613,3 606,4 339,3 606,3 606,5 065,4 210,5 065,4 210,4 210,5 065
Услуги ФД,0,0,0,0,0,0,0,0,0,0,0,0
Поиск и найм персонала,0,0,0,0,0,0,0,0,0,0,0,0
Листовки,0,0,0,0,0,0,0,0,0,0,0,0
SEO - оптимизация,0,0,0,0,0,0,0,0,0,0,0,0
Прочие маркетинговые услуги,0,0,0,0,0,0,0,0,0,0,0,0
Сайт и приложение,83 348,83 348,95 254,88 884,100 719,98 994,92 078,97 574,96 113,98 380,103 589,108 655
Телекоммуникации,0,0,0,0,0,0,0,0,0,0,0,0
Комиссия агрегатору,0,0,0,0,0,0,0,0,0,0,0,0
Контекстная реклама,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
Итого,787 374,787 374,516 384,568 228,538 324,529 343,498 736,750 808,485 064,812 100,753 582,898 749
,,,,,,,,,,,,
,,,,,,,,,,,,
Дебиторка (авансы поставщикам) для Баланса,,,,,,,,,,,,
Расход продуктов (фудкост),0,0,0,0,2 611,1 810,264,71 600,0,0,112 820,0
Аренда и комуналка,0,0,0,0,4 271,0,0,0,0,1 069,5 614,0
Транспортные услуги,0,0,0,0,0,0,0,0,0,0,0,0
Расходы на питание персонала,0,0,0,0,0,0,0,0,0,0,0,0
Оплата систем автоматизации,30 385,30 385,27 885,25 385,10 000,27 885,25 385,30 385,24 885,19 385,21 985,24 985
Содержание торговых точек,0,0,0,0,0,0,0,0,0,0,0,0
Аренда склада,0,0,0,0,0,0,0,0,0,0,0,0
Упаковка и вспомогательные товары,0,0,0,0,0,0,0,0,0,0,0,8 053
Коммунальные платежи ,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,2 500,2 500
Услуги ФД,75 000,75 000,75 000,75 000,0,75 000,75 000,0,0,0,0,0
Поиск и найм персонала,1 000,1 000,1 000,813,893,252,252,982,632,243,728,340
Листовки,0,0,0,0,30 800,30 800,30 800,32 800,32 800,32 800,65 600,65 600
SEO - оптимизация,10 000,10 000,10 000,10 000,10 000,10 000,0,10 000,10 000,10 000,10 000,10 000
Прочие маркетинговые услуги,14 000,14 000,28 000,0,0,0,0,0,0,0,28 000,28 000
Сайт и приложение,0,0,0,0,0,0,0,0,0,0,0,0
Телекоммуникации,2 400,2 400,5 356,7 782,4 080,5 404,7 097,3 615,6 234,8 458,6 092,7 102
Комиссия агрегатору,5 000,5 000,4 050,5 350,5 350,7 400,7 850,9 550,4 800,5 400,9 570,9 720
Контекстная реклама,70 750,70 750,73 732,77 307,83 858,75 720,83 914,94 400,82 927,69 681,91 197,72 904
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
Итого,213 535,213 535,230 023,206 637,156 863,239 272,235 562,258 332,167 278,152 036,354 105,229 204
