Месяц,Мсц (цифрой),Дата,Сумма,Кошелек,Направление бизнеса,[counterparty_1ef22baea0],Назначение платежа,Статья
Январь,1,03.01.2024,"-20 000,00",ТК Черникова,Общее,,,Выбытие — Перевод между счетами
Январь,1,03.01.2024,"-1 000,00",ТК Черникова,Общее,,,Корретировки кассы -
Январь,1,03.01.2024,"-6 540,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,03.01.2024,"8 880,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,03.01.2024,"131,00",ТК Гагарина,Общее,,,Корретировки кассы +
Январь,1,03.01.2024,"-7 980,00",ТК Гагарина,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,03.01.2024,"21 591,00",ТК Гагарина,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-6 260,00",ТК Гагарина,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,04.01.2024,"21 718,00",ТК Гагарина,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-10 033,00",ТК Гагарина,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,04.01.2024,"16 770,00",ТК Черникова,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-6 440,00",ТК Черникова,Общее,[counterparty_552231dcd7],,Курьерская служба -
Январь,1,04.01.2024,"-7 959,00",ТК Черникова,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,03.01.2024,"-37 953,00",Сбербанк,Общее,,,Выбытие — Перевод между счетами
Январь,1,03.01.2024,"-62 000,00",Сбербанк,Общее,[counterparty_41bef12399],,Зарплата административного персонала
Январь,1,03.01.2024,"-30 000,00",Сбербанк,Общее,[counterparty_7e3a73c9be],,Зарплата административного персонала
Январь,1,03.01.2024,"37 953,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Январь,1,03.01.2024,"92 000,00",Сбербанк,Общее,,,Поступление — Перевод между счетами
Январь,1,02.01.2024,"13 580,76",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,02.01.2024,"-28,14",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,03.01.2024,"14 838,64",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,03.01.2024,"-45,29",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,03.01.2024,"-121 900,00",Альфа,Общее,,,Выбытие — Перевод между счетами
Январь,1,04.01.2024,"28 686,06",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-27,43",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,01.01.2024,"-2 469,19",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,01.01.2024,"-90,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,01.01.2024,"164 594,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,03.01.2024,"258 122,38",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,03.01.2024,"-27 132,23",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,03.01.2024,"-37 953,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Январь,1,03.01.2024,"-132 951,08",Тинькофф,Общее,[counterparty_dc430ed78e],,Оплата поставщикам 
Январь,1,03.01.2024,"-105 068,07",Тинькофф,Общее,[counterparty_fb5384e8b9],,Оплата поставщикам 
Январь,1,03.01.2024,"-35 592,98",Тинькофф,Общее,[counterparty_19f4d4c15b],,Оплата поставщикам 
Январь,1,03.01.2024,"-12 372,00",Тинькофф,Общее,[counterparty_c4e92b27e2],,Оплата поставщикам 
Январь,1,03.01.2024,"-22 680,00",Тинькофф,Общее,[counterparty_fb5384e8b9],,Оплата поставщикам 
Январь,1,03.01.2024,"-39 091,21",Тинькофф,Общее,[counterparty_8e70032df8],,Оплата поставщикам 
Январь,1,03.01.2024,"-37 745,62",Тинькофф,Общее,[counterparty_8e70032df8],,Оплата поставщикам 
Январь,1,03.01.2024,"121 900,00",Тинькофф,Общее,,,Поступление — Перевод между счетами
Январь,1,03.01.2024,"529,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,03.01.2024,"-92 000,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Январь,1,03.01.2024,"37 953,00",Сейф,Общее,,,Поступление — Перевод между счетами
Январь,1,03.01.2024,"20 000,00",Сейф,Общее,,,Поступление — Перевод между счетами
Январь,1,03.01.2024,"-22 500,00",Сейф,Общее,[counterparty_552231dcd7],,Зарплата административного персонала
Январь,1,03.01.2024,"-137 253,00",Сейф,Общее,[counterparty_552231dcd7],,Зарплата производственного персонала
Январь,1,04.01.2024,"-3 600,00",Сейф,Общее,[counterparty_45d6b05c94],,Поиск и найм персонала
Январь,1,05.01.2024,"32 607,90",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,05.01.2024,"-40,23",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,06.01.2024,"30 659,84",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,06.01.2024,"-34,73",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,07.01.2024,"29 740,35",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,07.01.2024,"-39,61",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,08.01.2024,"25 933,26",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,08.01.2024,"-18,19",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,09.01.2024,"13 257,54",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,09.01.2024,"-168 000,00",Альфа,Общее,,,Выбытие — Перевод между счетами
Январь,1,09.01.2024,"-1,57",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,10.01.2024,"-299,00",Альфа,Общее,[counterparty_831a0f4ab6],,РКО
Январь,1,10.01.2024,"12 162,32",Альфа,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,10.01.2024,"-23,47",Альфа,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,04.01.2024,"115 571,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,04.01.2024,"-2,12",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,04.01.2024,"-490,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,04.01.2024,"-590,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,04.01.2024,"-1 733,82",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,04.01.2024,"-5 297,66",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,04.01.2024,"-2 333,51",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,04.01.2024,"-42,95",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,05.01.2024,"-112 755,06",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,05.01.2024,"-80 863,98",Тинькофф,Общее,[counterparty_831a0f4ab6],,Погашение овердрафта
Январь,1,05.01.2024,"250,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,05.01.2024,"7 674,12",Тинькофф,Общее,[counterparty_831a0f4ab6],,Получение овердрафта
Январь,1,05.01.2024,"82 390,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,05.01.2024,"-250,00",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,05.01.2024,"-290,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,05.01.2024,"-1 236,02",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,06.01.2024,"-1 366,49",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,06.01.2024,"91 089,30",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,06.01.2024,"-190,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Овердрафт
Январь,1,06.01.2024,"125,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,06.01.2024,"-0,50",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,06.01.2024,"-1 784,86",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Январь,1,06.01.2024,"-1 840,62",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Январь,1,06.01.2024,"-633,65",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Январь,1,07.01.2024,"-1 491,45",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,07.01.2024,"99 418,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,07.01.2024,"-5 000,00",Тинькофф,Общее,[counterparty_50d958815d],,Телекоммуникации
Январь,1,07.01.2024,"1 199,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Январь,1,07.01.2024,"-4,80",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Январь,1,07.01.2024,"250,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
