Контрагенты список,Статья ОПиУ,Статус,"Задолженность на 1 марта 2024 г (с «+» - кредиторка, с «-» - дебиторка)"
[counterparty_c4e92b27e2],Расход продуктов (фудкост),Работаем,63 918
[counterparty_fb5384e8b9],Расход продуктов (фудкост),Работаем,75 268
[counterparty_e08d6e58b9],Аренда и комуналка,Работаем,22 485
[counterparty_416f60a5fd],Прочие маркетинговые услуги,Работаем,0
[counterparty_7394704068],Расход продуктов (фудкост),Не работаем,0
[counterparty_6d6a37d791],Расход продуктов (фудкост),Работаем,3 164
[counterparty_07485de87e],Расход продуктов (фудкост),Работаем,0
[counterparty_903a43fe3c],Расход продуктов (фудкост),Работаем,0
[counterparty_d7a35ccc36],РУЧКАМИ !!!,Работаем,0
[counterparty_bb8cb2d348],Расход продуктов (фудкост),Работаем,29 001
[counterparty_8e70032df8],Упаковка и вспомогательные товары,Работаем,63 291
[counterparty_19f4d4c15b],Расход продуктов (фудкост),Работаем,97 514
[counterparty_dc430ed78e],Расход продуктов (фудкост),Работаем,345 771
[counterparty_6e66cfc0d7],Расход продуктов (фудкост),Работаем,0
[counterparty_b2323408fa],Упаковка и вспомогательные товары,Работаем,0
[counterparty_5ea766e786],Расход продуктов (фудкост),Работаем,0
[counterparty_50d958815d],Телекоммуникации,Работаем,
[counterparty_c7f82a55d3],Транспортные услуги,Работаем,0
[counterparty_ea5804ea3c],Прочие маркетинговые услуги,Работаем,0
[counterparty_347b901ee4],Контекстная реклама,Работаем,-70 750
[counterparty_9147d41bbb],Коммунальные платежи ,Работаем,-5 000
[counterparty_1c967c7874],Комиссия агрегатору,Работаем,-5 000
[counterparty_e3d41d1621],Телекоммуникации,Работаем,-2 400
[counterparty_cb93f56848],Сайт и приложение,Работаем,83 348
[counterparty_483af3edc2],Листовки,Работаем,0
[counterparty_449fa47f79],Оплата систем автоматизации,Работаем,-12 885
[counterparty_33844b2195],Прочие маркетинговые услуги,Работаем,-14 000
[counterparty_ab325eb126],Оплата систем автоматизации,Работаем,-10 000
[counterparty_a8c88d8a2c],SEO - оптимизация,Работаем,-10 000
[counterparty_45d6b05c94],Поиск и найм персонала,Работаем,-1 000
[counterparty_0dd12f5640],Листовки,Работаем,0
[counterparty_cd0c8c2f69],Услуги ФД,Работаем,-75 000
[counterparty_3feb526b66],Расход продуктов (фудкост),Работаем,0
[counterparty_ecf3465a86],Коммунальные платежи ,Работаем,3 613
[counterparty_d1d2f948bb],Оплата систем автоматизации,Работаем,-7 500
[counterparty_8ee68081e8],Телекоммуникации,Работаем,
[counterparty_6a1a6347e5],Телекоммуникации,Работаем,
[counterparty_61340e8f89],Телекоммуникации,Работаем,
[counterparty_81cfe2f35c],Расход продуктов (фудкост),Работаем,
[counterparty_00d169637c],Контекстная реклама,Работаем,
[counterparty_d2a9714437],Расход продуктов (фудкост),Работаем,
[counterparty_3f7ad1a68b],Расход продуктов (фудкост),Работаем,
,,Работаем,
