№,Статья ОПиУ,Статус
1,Расход продуктов (фудкост),Работаем
2,Аренда и комуналка,Не работаем
3,Транспортные услуги,
4,Расходы на питание персонала,
5,Оплата систем автоматизации,
6,Содержание торговых точек,
7,Аренда склада,
8,Упаковка и вспомогательные товары,
9,Коммунальные платежи ,
10,Услуги ФД,
11,Поиск и найм персонала,
12,Листовки,
13,SEO - оптимизация,
14,Прочие маркетинговые услуги,
15,Сайт и приложение,
16,Телекоммуникации,
17,Комиссия агрегатору,
18,Контекстная реклама,
19,,
20,,
