period,source_system,source_sheet,article,source_type,management_block,amount_signed,amount_abs,source_row_or_scope,comment
2023-10,Google Sheets ОПиУ,Факт,Расход продуктов (фудкост) Черникова,Переменные,переменные / себестоимость,763101.0,763101.0,Факт!A15:M15,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Расход продуктов (фудкост) Гагарина,Переменные,переменные / себестоимость,678297.0,678297.0,Факт!A16:M16,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Аренда торговой точки Гагарина,Общепроизводственные,аренда,50000.0,50000.0,Факт!A66:M66,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Аренда торговой точки Черникова,Общепроизводственные,аренда,100000.0,100000.0,Факт!A67:M67,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Списание продукции и сырья,Общепроизводственные,общепроизводственные / постоянные,61385.06,61385.06,Факт!A70:M70,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Результаты ревизии,Общепроизводственные,общепроизводственные / постоянные,7386.02,7386.02,Факт!A71:M71,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Траты на курьерскую службу,Общепроизводственные,доставка / логистика,305620.0,305620.0,Факт!A72:M72,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Комиссия за эквайринг,Общепроизводственные,общепроизводственные / постоянные,36895.52,36895.52,Факт!A73:M73,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Транспортные услуги,Общепроизводственные,доставка / логистика,8850.0,8850.0,Факт!A74:M74,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
2023-10,Google Sheets ОПиУ,Факт,Расходы на питание персонала,Общепроизводственные,ФОТ / персонал,24802.12,24802.12,Факт!A75:M75,"ОПиУ: знак сохранен как в сводном листе; расходы обычно положительные, отрицательные значения являются корректировками."
