period,metric_code,metric_name,article_or_source_row,amount,source_file,source_sheet,source_row,data_status,comment
2023-10,revenue,Выручка,Выручка,3757956.4500000002,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,4,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,revenue_gagarina_ex_discounts,Выручка без учета скидок Гагарина,Выручка без учета скидок Гагарина,1864519,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,5,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,revenue_gagarina_after_discounts,Выручка с учетом скидок Гагарина,Выручка с учетом скидок Гагарина,1774228.8300000001,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,6,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,revenue_chernikova_ex_discounts,Выручка без учета скидок Черникова,Выручка без учета скидок Черникова,2136177,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,7,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,revenue_chernikova_after_discounts,Выручка с учетом скидок Черникова,Выручка с учетом скидок Черникова,2032960.22,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,8,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,variable_expenses,Себестоимость / переменные расходы,Переменные,1441398,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,14,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,food_cost_chernikova,Food cost Черникова,Расход продуктов (фудкост) Черникова,763101,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,15,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,food_cost_gagarina,Food cost Гагарина,Расход продуктов (фудкост) Гагарина,678297,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,16,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,gross_profit,Валовая прибыль,Валовая прибыль,1573923.79,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,84,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,gross_margin_pct,Рентабельность по валовой прибыли,"Рентабельность по валовой прибыли, %",0.4188243826,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,85,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,overhead_expenses,Общепроизводственные расходы,Общепроизводственные,742634.66,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,65,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,indirect_expenses,Косвенные расходы,Косвенные расходы,479134.18,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,87,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,admin_expenses,Административные расходы,Административные,225623.18,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,88,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,commercial_expenses,Маркетинг / коммерческие расходы,Коммерческие,253511,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,104,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,delivery_couriers,Доставка / курьеры,Траты на курьерскую службу,305620,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,72,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,delivery_transport,Доставка / транспорт,Транспортные услуги,8850,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,74,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,below_ebitda_expenses,Расходы ниже EBITDA,Расходы ниже EBITDA,99842,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,124,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,other_expenses,Прочие расходы,Прочие расходы,0,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,125,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-10,operating_profit,Операционная прибыль,Операционная прибыль,1094789.6100000001,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,116,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
