period_start,period_end,category,dish_group_top,dish_category,revenue,product_cost,food_cost_pct,gross_margin,gross_margin_pct,source_product_cost,promo_recovered_component_cost_added,promo_component_cost_reallocated_out,orders,dish_amount,gross_sum,risk_comment
2025-11-01,2026-05-17,Сеты,Сеты,Сеты,8647536.82,3180295.4,0.367769,5467241.42,0.632231,3180295.4,0.0,0.0,6705.0,7247.0,10450670.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Пицца,Пицца,Пицца,4930988.57,1587485.68,0.321941,3343502.89,0.678059,1587485.68,0.0,0.0,5632.0,8620.0,6002782.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Роллы,Роллы,Роллы,3461686.7,1096887.97,0.316865,2364798.73,0.683135,1096887.97,0.0,0.0,5372.0,12207.0,4235500.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Акционные предложения / Акционные товары,Акционные предложения,Акционные товары,2098361.75,842361.41,0.401438,1256000.34,0.598562,0.0,842361.41,0.0,1320.0,1350.0,2564350.0,использована восстановленная себестоимость promo-компонентов; применять вместо 0 cost родителя
2025-11-01,2026-05-17,Закуски,Закуски,Закуски,1606346.96,452568.35,0.281738,1153778.61,0.718262,452568.35,0.0,0.0,3023.0,8809.0,1888363.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Комбо наборы / Комбо-набор,Комбо наборы,Комбо-набор,1561707.54,280050.26,0.179323,1281657.28,0.820677,280050.26,0.0,0.0,1187.0,1329.0,1901726.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Шаурма,Шаурма,Шаурма,1178072.33,413582.63,0.351067,764489.7,0.648933,413582.63,0.0,0.0,2244.0,3515.0,1442756.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Специи / Все блюда,Специи,Все блюда,811813.09,331509.41,0.408357,480303.68,0.591643,331509.41,0.0,0.0,8804.0,23205.0,988890.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Проработки / (пусто),Проработки,(пусто),338941.66,119648.18,0.353005,219293.48,0.646995,119648.18,0.0,0.0,265.0,482.0,674118.0,пустая категория; проверить справочник категорий
2025-11-01,2026-05-17,Соусы / Все блюда,Соусы,Все блюда,267057.28,54562.27,0.204309,212495.01,0.795691,54562.27,0.0,0.0,2102.0,3315.0,315725.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Пицца / (пусто),Пицца,(пусто),171225.22,50301.93,0.293776,120923.29,0.706224,50301.93,0.0,0.0,309.0,330.0,226947.0,пустая категория; проверить справочник категорий
2025-11-01,2026-05-17,Доставка / Услуги доставки,Доставка,Услуги доставки,139148.63,0.0,0.0,139148.63,1.0,0.0,0.0,0.0,1503.0,1680.0,219080.0,0 cost при значимой выручке; проверить техкарту/модификаторы
2025-11-01,2026-05-17,Напитки / (пусто),Напитки,(пусто),87178.16,53662.8,0.615553,33515.36,0.384447,53662.8,0.0,0.0,702.0,935.0,123764.0,food cost выше 45%; пустая категория; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Напитки,Напитки,Напитки,49130.13,18143.84,0.369302,30986.29,0.630698,18143.84,0.0,0.0,242.0,345.0,59730.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Дополнительно / Все блюда,Дополнительно,Все блюда,45448.36,12789.48,0.281407,32658.88,0.718593,12789.48,0.0,0.0,927.0,1226.0,56365.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,(пусто) / Все блюда,(пусто),Все блюда,44834.19,104461.97,2.329962,-59627.78,-1.329962,104461.97,0.0,0.0,12465.0,32216.0,55075.0,food cost выше 45%; отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Добавки в шаурму / Шаурма,Добавки в шаурму,Шаурма,35494.68,9546.62,0.268959,25948.06,0.731041,9546.62,0.0,0.0,884.0,1989.0,42070.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Доставка / (пусто),Доставка,(пусто),31710.21,0.0,0.0,31710.21,1.0,0.0,0.0,0.0,1329.0,1518.0,186660.0,пустая категория; проверить справочник категорий
2025-11-01,2026-05-17,Добавки для пиццы / Пицца,Добавки для пиццы,Пицца,13597.65,6114.2,0.449651,7483.45,0.550349,6114.2,0.0,0.0,239.0,407.0,16455.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Соусы / (пусто),Соусы,(пусто),4065.14,1038.68,0.255509,3026.46,0.744491,1038.68,0.0,0.0,96.0,138.0,5980.0,пустая категория; проверить справочник категорий
2025-11-01,2026-05-17,(пусто),(пусто),(пусто),65.35,294.26,4.502831,-228.91,-3.502831,294.26,0.0,0.0,43.0,45.0,2140.0,food cost выше 45%; отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Ингредиенты / (пусто),Ингредиенты,(пусто),45.0,11.27,0.250444,33.73,0.749556,11.27,0.0,0.0,1.0,1.0,45.0,пустая категория; проверить справочник категорий
2025-11-01,2026-05-17,Пиццы / Пицца,Пиццы,Пицца,0.0,0.0,0.0,-0.0,0.0,64169.75,0.0,64169.75,234.0,238.0,0.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Сет в наборе / (пусто),Сет в наборе,(пусто),0.0,0.0,0.0,0.0,0.0,243748.4,0.0,243748.4,525.0,531.0,0.0,пустая категория; проверить справочник категорий
2025-11-01,2026-05-17,Сет в наборе / Сеты,Сет в наборе,Сеты,0.0,0.0,0.0,0.0,0.0,379542.35,0.0,379542.35,808.0,819.0,0.0,без явных рисков по заданным правилам
2025-11-01,2026-05-17,Пицца 30см на выбор / (пусто),Пицца 30см на выбор,(пусто),0.0,180.11,0.0,-180.11,0.0,23760.51,0.0,23580.4,164.0,165.0,0.0,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Пицца 30см на выбор / Пицца,Пицца 30см на выбор,Пицца,0.0,632.84,0.0,-632.84,0.0,131952.17,0.0,131319.33,940.0,955.0,0.0,отрицательная валовая маржа; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Комбо из маленьких пицц / Комбо-набор,Комбо из маленьких пицц,Комбо-набор,0.0,1818.27,0.0,-1818.27,0.0,1818.27,0.0,0.0,10.0,26.0,0.0,отрицательная валовая маржа; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Промокоды / (пусто),Промокоды,(пусто),0.0,2962.77,0.0,-2962.77,0.0,2962.77,0.0,0.0,28.0,28.0,0.0,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Комбо из больших пицц / Комбо-набор,Комбо из больших пицц,Комбо-набор,0.0,3128.37,0.0,-3128.37,0.0,3128.37,0.0,0.0,3.0,41.0,0.0,отрицательная валовая маржа; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Пиццы 30см на выбор / Пицца,Пиццы 30см на выбор,Пицца,0.0,36254.87,0.0,-36254.87,0.0,36254.87,0.0,0.0,234.0,283.0,0.0,отрицательная валовая маржа; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Пиццы 40см на выбор / Комбо-набор,Пиццы 40см на выбор,Комбо-набор,0.0,60017.51,0.0,-60017.51,0.0,60017.51,0.0,0.0,83.0,251.0,0.0,отрицательная валовая маржа; проверить техкарту и списание себестоимости
2025-11-01,2026-05-17,Пиццы 30см на выбор / Комбо-набор,Пиццы 30см на выбор,Комбо-набор,0.0,140574.07,0.0,-140574.07,0.0,140574.07,0.0,0.0,417.0,850.0,0.0,отрицательная валовая маржа; проверить техкарту и списание себестоимости
