level,item_name,dish_group_top,dish_category,revenue,product_cost,food_cost_pct,gross_margin,risk_flags,risk_comment,recommended_action
category,(пусто) / Все блюда,(пусто),Все блюда,44834.19,104461.97,2.329962,-59627.78,food_cost_gt_45pct;negative_gross_margin;empty_category,food cost выше 45%; отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
category,(пусто),(пусто),(пусто),65.35,294.26,4.502831,-228.91,food_cost_gt_45pct;negative_gross_margin;empty_category,food cost выше 45%; отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
category,Комбо из больших пицц / Комбо-набор,Комбо из больших пицц,Комбо-набор,0.0,3128.37,0.0,-3128.37,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
category,Комбо из маленьких пицц / Комбо-набор,Комбо из маленьких пицц,Комбо-набор,0.0,1818.27,0.0,-1818.27,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
category,Пицца 30см на выбор / (пусто),Пицца 30см на выбор,(пусто),0.0,180.11,0.0,-180.11,negative_gross_margin;empty_category,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
category,Пицца 30см на выбор / Пицца,Пицца 30см на выбор,Пицца,0.0,632.84,0.0,-632.84,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
category,Пиццы 30см на выбор / Комбо-набор,Пиццы 30см на выбор,Комбо-набор,0.0,140574.07,0.0,-140574.07,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
category,Пиццы 30см на выбор / Пицца,Пиццы 30см на выбор,Пицца,0.0,36254.87,0.0,-36254.87,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
category,Пиццы 40см на выбор / Комбо-набор,Пиццы 40см на выбор,Комбо-набор,0.0,60017.51,0.0,-60017.51,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
category,Промокоды / (пусто),Промокоды,(пусто),0.0,2962.77,0.0,-2962.77,negative_gross_margin;empty_category,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,4 мяса 30см,Пицца 30см на выбор,Пицца,0.0,58479.86,0.0,-58479.86,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Chicken 30см,Комбо из маленьких пицц,Комбо-набор,0.0,711.28,0.0,-711.28,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Chicken 40см,Комбо из больших пицц,Комбо-набор,0.0,1080.68,0.0,-1080.68,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Барбекю 30см,Комбо из маленьких пицц,Комбо-набор,0.0,531.51,0.0,-531.51,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Бургер чиз 30см,Пиццы 30см на выбор,Комбо-набор,0.0,27992.23,0.0,-27992.23,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Бургер чиз 40см,Пиццы 40см на выбор,Комбо-набор,0.0,8222.34,0.0,-8222.34,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Ветчина-грибы 30см,Пиццы 30см на выбор,Комбо-набор,0.0,27485.22,0.0,-27485.22,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Ветчина-грибы 40см,Пиццы 40см на выбор,Комбо-набор,0.0,10405.35,0.0,-10405.35,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Грибная 30см,Комбо из маленьких пицц,Комбо-набор,0.0,254.6,0.0,-254.6,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Деревенская 30см,Пиццы 30см на выбор,Комбо-набор,0.0,20732.72,0.0,-20732.72,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Деревенская 30см и Пепперони лайт 30см,Пиццы,Пицца,0.0,64169.75,0.0,-64169.75,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Деревенская 40см,Пиццы 40см на выбор,Комбо-набор,0.0,6307.18,0.0,-6307.18,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Зип-лок L,(пусто),Все блюда,0.0,59044.22,0.0,-59044.22,negative_gross_margin;empty_category,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Зип-лок S,(пусто),Все блюда,0.0,13496.29,0.0,-13496.29,negative_gross_margin;empty_category,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Карбонара 30см,Комбо из маленьких пицц,Комбо-набор,0.0,177.33,0.0,-177.33,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Карбонара 40см,Комбо из больших пицц,Комбо-набор,0.0,1035.08,0.0,-1035.08,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Классическая 30см,Комбо из маленьких пицц,Комбо-набор,0.0,143.55,0.0,-143.55,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Классическая 30см,Пиццы 30см на выбор,Комбо-набор,0.0,10185.14,0.0,-10185.14,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Классическая 40см,Комбо из больших пицц,Комбо-набор,0.0,1012.61,0.0,-1012.61,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Классическая 40см,Пиццы 40см на выбор,Комбо-набор,0.0,2652.69,0.0,-2652.69,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Креветки в шаурму 15гр,(пусто),(пусто),0.0,260.02,0.0,-260.02,negative_gross_margin;empty_category,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Лук маринованный,Добавки в шаурму,Шаурма,0.0,267.1,0.0,-267.1,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Маргарита 30см,Пиццы 30см на выбор,Комбо-набор,0.0,4503.84,0.0,-4503.84,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Маргарита 40см,Пиццы 40см на выбор,Комбо-набор,0.0,2063.29,0.0,-2063.29,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Мини мясная 30см,Пиццы 30см на выбор,Комбо-набор,0.0,19238.83,0.0,-19238.83,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Мини мясная 40см,Пиццы 40см на выбор,Комбо-набор,0.0,6692.96,0.0,-6692.96,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Мясника 30см,Пиццы 30см на выбор,Комбо-набор,0.0,30436.1,0.0,-30436.1,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Палермо 30см,Пиццы 30см на выбор,Пицца,0.0,11398.07,0.0,-11398.07,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Палермо 40см,Пиццы 40см на выбор,Комбо-набор,0.0,3897.07,0.0,-3897.07,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Пепперони лайт 30см,Пицца 30см на выбор,Пицца,0.0,25365.64,0.0,-25365.64,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Пепперони лайт 30см,Пиццы 30см на выбор,Пицца,0.0,13493.16,0.0,-13493.16,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Пепперони лайт в подарок,Промокоды,(пусто),0.0,487.53,0.0,-487.53,negative_gross_margin;empty_category,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Пикник 30 см,Пицца 30см на выбор,(пусто),0.0,23760.51,0.0,-23760.51,negative_gross_margin;empty_category,отрицательная валовая маржа; пустая категория; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Пицца Мясника 40см,Пиццы 40см на выбор,Комбо-набор,0.0,14925.57,0.0,-14925.57,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
dish,Сет Большой куш,Сет в наборе,Сеты,0.0,177037.33,0.0,-177037.33,negative_gross_margin,отрицательная валовая маржа; проверить техкарту и списание себестоимости,Разобрать техкарту/модификаторы и родительскую продажную строку; не использовать маржу строки без сверки.
