"pnl_line","component","source_endpoint","source_scope","excel_group","excel_row","include_status","iiko_product_id","iiko_product_code","iiko_product_name","march_2026_api_sum","march_2026_excel_group_sum","control_status","notes"
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","чековая лента","15","include","359e2307-c04e-4782-a765-2b2edd13aa30","456","Чековая лента бол. 80х80","1769.82","1769.82","verified_march_2026","Входит в строку 15 мартовского Excel; item.sum по накладным."
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","чековая лента","15","include","574f3e9b-7c7b-4f44-bec5-be4ed40dc7e4","455","Чековая лента мал. 57х40","0.00","1769.82","include_zero_march","Включать как чековую ленту в будущих месяцах; в марте 2026 покупок не было."
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","туалетная бумага","16","include","05c838e1-12c6-4bf4-9485-5f88b45b83f9","463","Туалетная бумага","575.00","575.00","verified_march_2026","Входит в строку 16 мартовского Excel."
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","полотенца бумажные","17","include","d8ad323b-86b1-4c52-9b82-1befd7817863","464","Полотенца бумажные","3387.60","3387.60","verified_march_2026","Входит в строку 17 мартовского Excel."
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","полотенце вафельное","18","include","36ec61ec-f94e-4c14-b0af-55e2c092af4d","446","Вафельное полотенце рулон","6169.86","6169.86","verified_march_2026","Входит в строку 18 мартовского Excel."
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","мешки для мусора","19","include","69046eca-2ff9-4da5-a2d2-db72bebaa0c5","439","Мешок для мусора 240л","3276.78","3353.54","verified_march_2026","Один из товаров группы строки 19."
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","мешки для мусора","19","include","7e0a982f-54a7-4527-acc3-317fb80ef95d","711","Мешок для мусора 120л","34.85","3353.54","verified_march_2026","Один из товаров группы строки 19."
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","мешки для мусора","19","include","7e705430-de25-43c5-add1-74fd84ae3c87","445","Мусорный пакет 60л","41.91","3353.54","verified_march_2026","Один из товаров группы строки 19."
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","моющие","20","include","f7990363-d9bd-4e1c-bd81-5622fd5f7324","432","Моющие и чистящие средства","8406.18","8406.18","verified_march_2026","Входит в строку 20 мартовского Excel."
"Содержание торговых точек","Закупка расходников на торговые точки","/documents/export/incomingInvoice","2026-03-01..2026-03-31, status=PROCESSED","мешки кондитерские","21","include","f547156c-f479-47ad-b7dc-d9223cd4c6f2","1113","Мешок кондитерский одноразовый","884.21","884.21","verified_march_2026","Входит в строку 21 мартовского Excel."
