Тип ОС,Описание,Ответственный,Помещение
Тепловое оборудование,"Пицце печи, контактные грили, грили Саламандра, жарочные поверхности, индукционные плиты, Фритюрницы, рисоварки, термосы для риса",Шеф-повар,Склад Гагарина
Холодильное/морозильное оборудование,"Холодильные шкафы, саладетты, морозильные лари, холодильные столы и салат бары",Технический директор,ТЗ Гагарина
Кассовое оборудование,"Принтеры чеков, фискальные регистраторы, ФН",Администратор,Склад (гараж)
Оборудование торговых залов,"Телефоны мобильные, IP телефоны, ПОС терминалы",Директор по развитию,Ф-л Черникова
Вспомогательное оборудование,"Стелажи, производственные столы, вытяжное оборудование, мойки для посуды, мусорные баки",,Места временного хранения
Электромеханическое оборудование,"Блендеры, Слайсеры, Тестомесы, овощерезки, кухонные комбайны, оборудование для сувида, выкуматоры",,
Электроника и оргтехника,"Принтеры, компьютеры",,
Системы кондиционирования,Системы кондиционирования,,
Прочий кухонный инвентарь,Прочий кухонный инвентарь,,
Не работающее оборудование,Не работающее оборудование,,
Мебель и предметы интерьера,Мебель и предметы интерьера,,
