2024,1,2,3,4,5,6,7,8,9,10,11,12
Амортизация,-60 983,-60 983,-60 983,-60 983,-64 055,-64 055,-64 055,-64 055,-64 055,-63 764,-62 805,-62 805
Тепловое оборудование,-15 626,-15 626,-15 626,-15 626,-18 699,-18 699,-18 699,-18 699,-18 699,-18 699,-17 866,-17 866
Холодильное/морозильное оборудование,-22 555,-22 555,-22 555,-22 555,-22 555,-22 555,-22 555,-22 555,-22 555,-22 555,-22 555,-22 555
Кассовое оборудование,-792,-792,-792,-792,-792,-792,-792,-792,-792,-792,-792,-792
Оборудование торговых залов,-4 866,-4 866,-4 866,-4 866,-4 866,-4 866,-4 866,-4 866,-4 866,-4 866,-4 866,-4 866
Вспомогательное оборудование,-8 578,-8 578,-8 578,-8 578,-8 578,-8 578,-8 578,-8 578,-8 578,-8 286,-8 286,-8 286
Электромеханическое оборудование,-4 333,-4 333,-4 333,-4 333,-4 333,-4 333,-4 333,-4 333,-4 333,-4 333,-4 208,-4 208
Электроника и оргтехника,-389,-389,-389,-389,-389,-389,-389,-389,-389,-389,-389,-389
Системы кондиционирования,-810,-810,-810,-810,-810,-810,-810,-810,-810,-810,-810,-810
Прочий кухонный инвентарь,0,0,0,0,0,0,0,0,0,0,0,0
Не работающее оборудование,0,0,0,0,0,0,0,0,0,0,0,0
Мебель и предметы интерьера,-3 033,-3 033,-3 033,-3 033,-3 033,-3 033,-3 033,-3 033,-3 033,-3 033,-3 033,-3 033
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,
Не работающее оборудование,,,,,,,,,,,,
Стоимость ОС,3 628 707,3 567 725,3 506 742,3 477 632,3 413 576,3 349 521,3 315 013,3 250 958,3 186 903,3 118 639,3 055 834,2 993 029
Тепловое оборудование,574 737,559 110,543 484,559 729,541 030,522 331,519 012,500 312,481 613,462 914,445 048,427 183
Холодильное/морозильное оборудование,1 466 275,1 443 720,1 421 164,1 398 609,1 376 054,1 353 499,1 345 110,1 322 555,1 300 000,1 277 445,1 254 890,1 232 334
Кассовое оборудование,105 938,105 147,104 355,103 563,102 772,101 980,101 188,100 397,99 605,98 813,98 022,97 230
Оборудование торговых залов,209 539,204 672,199 806,194 939,190 073,185 206,180 340,175 473,170 607,165 740,160 874,156 007
Вспомогательное оборудование,662 023,653 445,644 868,636 290,627 712,619 134,610 556,601 978,593 401,580 614,572 328,564 042
Электромеханическое оборудование,271 630,267 297,262 964,258 630,254 297,249 964,245 631,241 298,236 965,232 632,228 424,224 215
Электроника и оргтехника,16 444,16 055,15 666,15 277,14 889,14 500,14 111,13 722,13 333,12 944,12 555,12 166
Системы кондиционирования,69 238,68 429,67 619,66 810,66 000,65 191,64 381,63 572,62 762,61 953,61 143,60 334
Прочий кухонный инвентарь,0,0,0,0,0,0,0,0,0,0,0,0
Не работающее оборудование,0,0,0,0,0,0,0,0,0,0,0,0
