COUNTA из Тип ОС,,Месяц введения в эксплуатацию,,,,
Ответственный,Тип ОС,0,1,4,7,Итого
,,0,,,,0
Всего (),,0,,,,0
Директор по развитию,Вспомогательное оборудование,,1,,,1
,Тепловое оборудование,,1,,,1
Всего (Директор по развитию),,,2,,,2
Технический директор,Вспомогательное оборудование,,35,,,35
,Кассовое оборудование,,8,,,8
,Мебель и предметы интерьера,,22,,,22
,Оборудование торговых залов,,13,,,13
,Системы кондиционирования,,2,,,2
,Тепловое оборудование,,30,2,1,33
,Холодильное/морозильное оборудование,,18,,1,19
,Электромеханическое оборудование,,11,,,11
,Электроника и оргтехника,,2,,,2
Всего (Технический директор),,,141,2,2,145
Итого,,0,143,2,2,147
