SUM из Кол-во ОС,,Месяц введения в эксплуатацию,,,,
Помещение,Тип ОС,0,1,4,7,Итого
,,"0,00",,,,"0,00"
Всего (),,"0,00",,,,"0,00"
Склад (гараж),Мебель и предметы интерьера,,"8,00",,,"8,00"
,Тепловое оборудование,,"1,00",,,"1,00"
Всего (Склад (гараж)),,,"9,00",,,"9,00"
Склад Гагарина,Вспомогательное оборудование,,"5,00",,,"5,00"
,Мебель и предметы интерьера,,"3,00",,,"3,00"
,Тепловое оборудование,,"7,00",,,"7,00"
,Холодильное/морозильное оборудование,,"4,00",,,"4,00"
Всего (Склад Гагарина),,,"19,00",,,"19,00"
ТЗ Гагарина,Вспомогательное оборудование,,"17,00",,,"17,00"
,Кассовое оборудование,,"5,00",,,"5,00"
,Мебель и предметы интерьера,,"6,00",,,"6,00"
,Оборудование торговых залов,,"4,00",,,"4,00"
,Системы кондиционирования,,"1,00",,,"1,00"
,Тепловое оборудование,,"8,00",,,"8,00"
,Холодильное/морозильное оборудование,,"8,00",,,"8,00"
,Электромеханическое оборудование,,"4,00",,,"4,00"
Всего (ТЗ Гагарина),,,"53,00",,,"53,00"
Ф-л Черникова,Вспомогательное оборудование,,"34,00",,,"34,00"
,Кассовое оборудование,,"5,00",,,"5,00"
,Мебель и предметы интерьера,,"21,00",,,"21,00"
,Оборудование торговых залов,,"16,00",,,"16,00"
,Системы кондиционирования,,"1,00",,,"1,00"
,Тепловое оборудование,,"21,00","3,00","1,00","25,00"
,Холодильное/морозильное оборудование,,"15,00",,"1,00","16,00"
,Электромеханическое оборудование,,"7,00",,,"7,00"
,Электроника и оргтехника,,"2,00",,,"2,00"
Всего (Ф-л Черникова),,,"122,00","3,00","2,00","127,00"
Итого,,"0,00","203,00","3,00","2,00","208,00"
