№,Наименование,Инв. № ,Кол-во ОС,Цена ед.,Ответственный,Помещение,Тип ОС,Дата введения ,Месяц введения в эксплуатацию,Дата покупки или постановки,Месяц покупки,Текущая стоимость,Срок полезного использования (лет),Срок полезного использования (месяц),Переоценка ОС,Сумма,дата переоценки,Месяц переоценки,Дата продажи,Месяц продажи,цена продажи,Количество Проданных ОС,1,2,3,4,5,6,7,8,9,10,11,12,Оставшийся срок ПИ,Оставшаяся стоимость,Прибыль/убыток от продажи,1,2,3,4,5,6,7,8,9,10,11,12,Год покупки,Сумма проданного
1,Стелаж 198х150х70,,"3,00",9 750,Технический директор,Склад Гагарина,Мебель и предметы интерьера,01.01.2025,1,21.12.2020,12,29 250,10,117,,0,,0,,0,,,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,105,26 250,0,29 000,28 750,28 500,28 250,28 000,27 750,27 500,27 250,27 000,26 750,26 500,26 250,,
2,Мойка 1 секционная 87х50х50,,"1,00",4 875,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,10.03.2020,3,4 875,10,117,,0,,0,16.10.2024,10,"5 000,00","1,00",-42,-42,-42,-42,-42,-42,-42,-42,-42,0,0,0,0,0,458,4 833,4 792,4 750,4 708,4 667,4 625,4 583,4 542,4 500,0,0,0,,
3,Стелаж 160х155х35,,"1,00",7 800,Технический директор,Склад Гагарина,Вспомогательное оборудование,01.01.2025,1,01.10.2020,10,7 800,10,117,,0,,0,,0,,,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,105,7 000,0,7 733,7 667,7 600,7 533,7 467,7 400,7 333,7 267,7 200,7 133,7 067,7 000,,
4,Холодильник Капри МХМ 700 л,,"2,00",47 500,Технический директор,ТЗ Гагарина,Холодильное/морозильное оборудование,01.01.2025,1,21.12.2020,12,95 000,5,57,,0,,0,,0,,,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,-1 667,45,75 000,0,93 333,91 667,90 000,88 333,86 667,85 000,83 333,81 667,80 000,78 333,76 667,75 000,,
5,Холодильник Polair CM 107-S,,"1,00",60 375,Технический директор,Склад Гагарина,Холодильное/морозильное оборудование,01.01.2025,1,10.03.2020,3,60 375,6,69,,0,,0,,0,,,-875,-875,-875,-875,-875,-875,-875,-875,-875,-875,-875,-875,57,49 875,0,59 500,58 625,57 750,56 875,56 000,55 125,54 250,53 375,52 500,51 625,50 750,49 875,,
6,Фритюрница Airhot EF6+6 (Ремонт),,"1,00",7 600,Технический директор,Склад Гагарина,Тепловое оборудование,01.01.2025,1,21.12.2020,12,7 600,5,57,,0,,0,,0,,,-133,-133,-133,-133,-133,-133,-133,-133,-133,-133,-133,-133,45,6 000,0,7 467,7 333,7 200,7 067,6 933,6 800,6 667,6 533,6 400,6 267,6 133,6 000,,
7,Гриль саламандра AIRHOT SGE-938,,"1,00",9 444,Технический директор,ТЗ Гагарина,Тепловое оборудование,01.01.2025,1,20.04.2023,4,9 444,3,34,,0,,0,,0,,,-278,-278,-278,-278,-278,-278,-278,-278,-278,-278,-278,-278,22,6 111,0,9 166,8 888,8 611,8 333,8 055,7 777,7 500,7 222,6 944,6 666,6 389,6 111,,
8,Блендер Bosh погружной,,"1,00",0,Технический директор,ТЗ Гагарина,Электромеханическое оборудование,01.01.2025,1,10.06.2020,6,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,Тестомес спиральный Hurakan HKN-30SN2V,,"1,00",67 813,Технический директор,ТЗ Гагарина,Электромеханическое оборудование,01.01.2025,1,21.12.2020,12,67 813,8,93,,0,,0,,0,,,-729,-729,-729,-729,-729,-729,-729,-729,-729,-729,-729,-729,81,59 063,0,67 084,66 355,65 625,64 896,64 167,63 438,62 709,61 980,61 250,60 521,59 792,59 063,,
10,Слайсер Airhot SL-220,,"1,00",14 250,Технический директор,ТЗ Гагарина,Электромеханическое оборудование,01.01.2025,1,21.12.2020,12,14 250,5,57,,0,,0,,0,,,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,-250,45,11 250,0,14 000,13 750,13 500,13 250,13 000,12 750,12 500,12 250,12 000,11 750,11 500,11 250,,
