section,line_name,last_filled_period,value_at_last_filled_period,formula_or_source,notes
Прочее,Месяц —,2024-12-31,12.00,manual_or_blank_value,source_sheet=Баланс ; source_row=2
Активы / Внеоборотные активы / Основные средства,Активы ↓,2024-12-31,4454050.10,=M4+M18,source_sheet=Баланс ; source_row=3
Активы / Внеоборотные активы / Основные средства,Внеоборотные активы,2024-12-31,3478042.00,=M5,source_sheet=Баланс ; source_row=4
Активы / Внеоборотные активы / Основные средства,Основные средства,2024-12-31,3478042.00,=SUM(M6:M16),source_sheet=Баланс ; source_row=5
Активы / Внеоборотные активы / Основные средства,Тепловое оборудование,2024-12-31,570623.00,source: Учет основных средств,source_sheet=Баланс ; source_row=6
Активы / Внеоборотные активы / Основные средства,Холодильное/морозильное оборудование,2024-12-31,1332077.00,source: Учет основных средств,source_sheet=Баланс ; source_row=7
Активы / Внеоборотные активы / Основные средства,Кассовое оборудование,2024-12-31,106729.00,source: Учет основных средств,source_sheet=Баланс ; source_row=8
Активы / Внеоборотные активы / Основные средства,Оборудование торговых залов,2024-12-31,214406.00,source: Учет основных средств,source_sheet=Баланс ; source_row=9
Активы / Внеоборотные активы / Основные средства,Вспомогательное оборудование,2024-12-31,676646.00,source: Учет основных средств,source_sheet=Баланс ; source_row=10
Активы / Внеоборотные активы / Основные средства,Электромеханическое оборудование,2024-12-31,250763.00,source: Учет основных средств,source_sheet=Баланс ; source_row=11
Активы / Внеоборотные активы / Основные средства,Электроника и оргтехника,2024-12-31,16833.00,source: Учет основных средств,source_sheet=Баланс ; source_row=12
Активы / Внеоборотные активы / Основные средства,Системы кондиционирования,2024-12-31,70048.00,source: Учет основных средств,source_sheet=Баланс ; source_row=13
Активы / Внеоборотные активы / Основные средства,Прочий кухонный инвентарь,2024-12-31,0.00,source: Учет основных средств,source_sheet=Баланс ; source_row=14
Активы / Внеоборотные активы / Основные средства,Не работающее оборудование,2024-12-31,0.00,source: Учет основных средств,source_sheet=Баланс ; source_row=15
Активы / Внеоборотные активы / Основные средства,Мебель и предметы интерьера,2024-12-31,239917.00,source: Учет основных средств,source_sheet=Баланс ; source_row=16
Активы / Оборотные активы / Запасы,Оборотные активы,2024-12-31,976008.10,=M19+M26+M36+M46+M42,source_sheet=Баланс ; source_row=18
Активы / Оборотные активы / Запасы,Запасы,2024-12-31,613027.28,=sum(M20:M24),source_sheet=Баланс ; source_row=19
Активы / Оборотные активы / Запасы,Товар для перепродажи,2024-12-31,24248.63,source: Инвентаризация,source_sheet=Баланс ; source_row=20
Активы / Оборотные активы / Запасы,Сырье и материалы,2024-12-31,445000.00,source: Айко,source_sheet=Баланс ; source_row=21
Активы / Оборотные активы / Запасы,Готовая продукция,2024-12-31,9626.69,source: Инвентаризация,source_sheet=Баланс ; source_row=22
Активы / Оборотные активы / Запасы,Вспомогательные товары,2024-12-31,8651.96,source: Айко,source_sheet=Баланс ; source_row=23
Активы / Оборотные активы / Запасы,Упаковка,2024-12-31,125500.00,source: Айко,source_sheet=Баланс ; source_row=24
Активы / Оборотные активы / Денежные средства,Денежные средства,2024-12-31,317480.82,=sum(M27:M35),source_sheet=Баланс ; source_row=26
Активы / Оборотные активы / Денежные средства,Р/счета,2024-12-31,104162.66,source: ДДС,source_sheet=Баланс ; source_row=27
Активы / Оборотные активы / Денежные средства,Наличные,2024-12-31,213318.16,manual_or_blank_value,source_sheet=Баланс ; source_row=28
Активы / Оборотные активы / Дебиторская задолженность,Дебиторская задолженность,2024-12-31,0.00,=sum(M37:M41),source_sheet=Баланс ; source_row=36
Активы / Оборотные активы / Дебиторская задолженность,Задолженность клиентов,2024-12-31,0.00,manual_or_blank_value,source_sheet=Баланс ; source_row=37
Активы / Оборотные активы / Дебиторская задолженность,Выданные авансы поставщикам,2024-12-31,0.00,manual_or_blank_value,source_sheet=Баланс ; source_row=38
Активы / Оборотные активы / Дебиторская задолженность,Задолженность сотрудников,2024-12-31,0.00,manual_or_blank_value,source_sheet=Баланс ; source_row=39
Активы / Оборотные активы / Дебиторская задолженность,Прочая задолженность в нашу пользу,2024-12-31,0.00,manual_or_blank_value,source_sheet=Баланс ; source_row=40
Активы / Оборотные активы / Краткосрочные финансовые вложения,Краткосрочные финансовые вложения,2024-12-31,0.00,=sum(M43:M45),source_sheet=Баланс ; source_row=42
Активы / Оборотные активы / Краткосрочные финансовые вложения,Депозиты,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=43; blank_at_last_filled_period
Активы / Оборотные активы / Краткосрочные финансовые вложения,Овернайт,2024-12-31,,manual_or_blank_value,source_sheet=Баланс ; source_row=44; blank_at_last_filled_period
Активы / Оборотные активы / Прочие активы,Прочие активы,2024-12-31,45500.00,=sum(M47:M50),source_sheet=Баланс ; source_row=46
Активы / Оборотные активы / Прочие активы,Расходы будущих периодов,2024-12-31,45500.00,manual_or_blank_value,source_sheet=Баланс ; source_row=47
Пассивы / Капитал,Пассивы ↓,2024-12-31,4551637.04,=M52+M69,source_sheet=Баланс ; source_row=51
