asset_id,name,location,category,acquired_at,initial_cost,accumulated_depreciation,residual_value,method,useful_life_months,status,source_sheet,source_row,last_update_in_source,notes
FA-HIST-0002,Стелаж 198х150х70,Склад Гагарина,Мебель и предметы интерьера,2020-12-21,30000.00,750.00,29250.00,linear_monthly_formula,120,in_work,Учёт ОС,2,2024-06-11,source_no=1.0; qty=3; unit_price=10000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0003,Мойка 1 секционная 87х50х50,ТЗ Гагарина,Вспомогательное оборудование,2020-03-10,5000.00,125.00,4875.00,linear_monthly_formula,120,in_work,Учёт ОС,3,2024-06-11,source_no=2.0; qty=1; unit_price=5000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0004,Стелаж 160х155х35,Склад Гагарина,Вспомогательное оборудование,2020-10-01,8000.00,200.00,7800.00,linear_monthly_formula,120,in_work,Учёт ОС,4,2024-06-11,source_no=3.0; qty=1; unit_price=8000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0005,Холодильник Капри МХМ 700 л,ТЗ Гагарина,Холодильное/морозильное оборудование,2020-12-21,100000.00,5000.00,95000.00,linear_monthly_formula,60,in_work,Учёт ОС,5,2024-06-11,source_no=4.0; qty=2; unit_price=50000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0006,Холодильник Polair CM 107-S,Склад Гагарина,Холодильное/морозильное оборудование,2020-03-10,63000.00,2625.00,60375.00,linear_monthly_formula,72,in_work,Учёт ОС,6,2024-06-11,source_no=5.0; qty=1; unit_price=63000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0007,Фритюрница Airhot EF6+6 (Ремонт),Склад Гагарина,Тепловое оборудование,2020-12-21,8000.00,400.00,7600.00,linear_monthly_formula,60,in_work,Учёт ОС,7,2024-06-11,source_no=6.0; qty=1; unit_price=8000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0008,Гриль саламандра AIRHOT SGE-938,ТЗ Гагарина,Тепловое оборудование,2023-04-20,10000.00,555.56,9444.44,linear_monthly_formula,36,in_work,Учёт ОС,8,2024-06-11,source_no=7.0; qty=1; unit_price=10000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0009,Блендер Bosh погружной,ТЗ Гагарина,Электромеханическое оборудование,2020-06-10,0.00,0.00,0.00,linear_monthly_formula,,in_work,Учёт ОС,9,2024-06-11,source_no=8.0; qty=1; unit_price=0; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0010,Тестомес спиральный Hurakan HKN-30SN2V,ТЗ Гагарина,Электромеханическое оборудование,2020-12-21,70000.00,2187.50,67812.50,linear_monthly_formula,96,in_work,Учёт ОС,10,2024-06-11,source_no=9.0; qty=1; unit_price=70000; introduced_at=2023-10-31; monthly_depreciation_formula_present
FA-HIST-0011,Слайсер Airhot SL-220,ТЗ Гагарина,Электромеханическое оборудование,2020-12-21,15000.00,750.00,14250.00,linear_monthly_formula,60,in_work,Учёт ОС,11,2024-06-11,source_no=10.0; qty=1; unit_price=15000; introduced_at=2023-10-31; monthly_depreciation_formula_present
