endpoint,field_path,type,nullable,example_redacted,business_meaning
/employees,address,decimal,true,<redacted PII>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,birthday,datetime,true,2001-10-07T00:00:00+04:00,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,cardNumber,string,true,,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,cellPhone,string,true,<redacted PII>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,code,string,true,dxbx168759,business code of reference item
/employees,deleted,boolean,false,false,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,departmentCodes,decimal,true,2,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,email,string,true,<redacted PII>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,firstName,string,true,<redacted PII>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,hireDate,datetime,true,2025-05-06T00:00:00+03:00,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,id,uuid,false,<id>,technical row identifier in iiko
/employees,lastName,string,true,<redacted PII>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,login,string,true,<redacted PII>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,mainRoleCode,string,true,ADM,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,mainRoleId,uuid,false,<id>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,middleName,string,true,<redacted PII>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,name,string,false,<redacted PII>,reference display name; redacted for employee records
/employees,phone,string,true,<redacted PII>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,preferredDepartmentCode,decimal,true,2,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,responsibilityDepartmentCodes,decimal,true,2,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,roleCodes,string,true,ADM,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,rolesIds,uuid,false,<id>,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,snils,string,true,,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,supplier,boolean,false,false,field observed in iiko response; confirm business semantics before using in payroll rules
/employees,taxpayerIdNumber,string,true,,field observed in iiko response; confirm business semantics before using in payroll rules
/employees/attendance,attendanceType,string,false,Р,short attendance type code from iiko
/employees/attendance,attendanceTypeId,uuid,false,<id>,attendance type foreign key
/employees/attendance,comment,string,true,,free-form comment; may contain PII and is not exported to processed aggregates
/employees/attendance,created,datetime,false,2025-11-01T09:14:26.048+03:00,row creation timestamp
/employees/attendance,dateFrom,datetime,false,2025-11-01T09:14:00+03:00,attendance or schedule interval start
/employees/attendance,dateTo,datetime,true,2025-11-01T15:00:00+03:00,attendance or schedule interval end; missing means open/unclosed entry
/employees/attendance,departmentId,uuid,false,<id>,department foreign key
/employees/attendance,departmentName,string,false,active_chernikova,department/location; mapped to active_chernikova/historical_gagarina
/employees/attendance,employeeId,uuid,false,<employee_id_hash>,employee foreign key; stored only as employee_id_hash in processed
/employees/attendance,id,uuid,false,<id>,technical row identifier in iiko
/employees/attendance,modified,datetime,true,2025-11-01T15:00:24.278+03:00,row modification timestamp
/employees/attendance,personalDateFrom,datetime,false,2025-11-01T09:14:00+03:00,personal attendance interval start before department-level normalization
/employees/attendance,personalDateTo,datetime,true,2025-11-01T15:00:00+03:00,personal attendance interval end before department-level normalization
/employees/attendance,roleId,uuid,false,<id>,employee role foreign key
/employees/attendance,userModified,uuid,true,<id>,user who last modified the row; redacted in processed schema
/employees/attendance/types,code,string,false,В,business code of reference item
/employees/attendance/types,id,uuid,false,<id>,technical row identifier in iiko
