month,employee_id_hash,role_code,department,planned_minutes,fact_minutes,attendance_type_count_breakdown,status,source_endpoint
2025-11,4c056be8eda2,ADM,active_chernikova,,15,Р:2,schedule_endpoint_returned_zero,/employees/attendance
2025-11,0b0f34913f95,CO1,active_chernikova,,15995,Р:21,schedule_endpoint_returned_zero,/employees/attendance
2025-11,254abdefbe76,CO1,active_chernikova,,12450,Р:20,schedule_endpoint_returned_zero,/employees/attendance
2025-11,41819df3e5c6,CO1,active_chernikova,,15799,Р:23,schedule_endpoint_returned_zero,/employees/attendance
2025-11,5a1f5c27f736,CO1,active_chernikova,,503,Р:1,schedule_endpoint_returned_zero,/employees/attendance
2025-11,7a22c29b80d4,CO1,active_chernikova,,1518,Р:2,schedule_endpoint_returned_zero,/employees/attendance
2025-11,7db3606f5e6e,CO1,active_chernikova,,11443,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2025-11,9d93d8402ea3,CO1,active_chernikova,,3180,Р:5,schedule_endpoint_returned_zero,/employees/attendance
2025-11,a0dc40b9bf8b,CO1,active_chernikova,,11329,Р:14,schedule_endpoint_returned_zero,/employees/attendance
2025-11,ca0355cb0bf4,CO1,active_chernikova,,13567,Р:20,schedule_endpoint_returned_zero,/employees/attendance
2025-11,e004d202c31a,CO1,active_chernikova,,17202,Р:23,schedule_endpoint_returned_zero,/employees/attendance
2025-11,ef88d5864834,CO1,active_chernikova,,13635,Р:19,schedule_endpoint_returned_zero,/employees/attendance
2025-11,fccff7eacba2,CO1,active_chernikova,,2262,Р:3,schedule_endpoint_returned_zero,/employees/attendance
2025-11,fee1cfc4af2a,CO1,active_chernikova,,13567,Р:17,schedule_endpoint_returned_zero,/employees/attendance
2025-11,14710cf14f60,CS1,active_chernikova,,12397,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2025-11,4df1fe15b678,CS1,active_chernikova,,12289,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2025-11,6db37dfd55ec,CS1,active_chernikova,,11902,Р:15,schedule_endpoint_returned_zero,/employees/attendance
2025-11,6e78a693ec09,CS1,active_chernikova,,10118,Р:13,schedule_endpoint_returned_zero,/employees/attendance
2025-11,083e1f32b4a7,Курьер,active_chernikova,,4482,Р:10,schedule_endpoint_returned_zero,/employees/attendance
2025-11,14d53f760309,Курьер,active_chernikova,,401,Р:1,schedule_endpoint_returned_zero,/employees/attendance
2025-11,22a86a745286,Курьер,active_chernikova,,3693,Р:6,schedule_endpoint_returned_zero,/employees/attendance
2025-11,23dfb0bf877e,Курьер,active_chernikova,,1273,Р:3,schedule_endpoint_returned_zero,/employees/attendance
2025-11,29b036111b00,Курьер,active_chernikova,,948,Р:4,schedule_endpoint_returned_zero,/employees/attendance
2025-11,2b1ba13b1e3f,Курьер,active_chernikova,,2587,Р:4,schedule_endpoint_returned_zero,/employees/attendance
2025-11,399f42b408cf,Курьер,active_chernikova,,649,Р:1,schedule_endpoint_returned_zero,/employees/attendance
2025-11,4e6f04831b81,Курьер,active_chernikova,,253,Р:2,schedule_endpoint_returned_zero,/employees/attendance
2025-11,730da6178f46,Курьер,active_chernikova,,663,Р:2,schedule_endpoint_returned_zero,/employees/attendance
2025-11,8969648f8034,Курьер,active_chernikova,,11384,Р:18,schedule_endpoint_returned_zero,/employees/attendance
2025-11,c5ad3f0fb30e,Курьер,active_chernikova,,12841,Р:21,schedule_endpoint_returned_zero,/employees/attendance
2025-11,cec0e9cf5a3e,Курьер,active_chernikova,,4869,Р:9,schedule_endpoint_returned_zero,/employees/attendance
2025-11,dcde79c64210,Курьер,active_chernikova,,2033,Р:4,schedule_endpoint_returned_zero,/employees/attendance
2025-11,e546525d6e65,Курьер,active_chernikova,,675,Р:1,schedule_endpoint_returned_zero,/employees/attendance
2025-12,0b0f34913f95,CO1,active_chernikova,,18892,Р:24,schedule_endpoint_returned_zero,/employees/attendance
2025-12,1408c6aecf38,CO1,active_chernikova,,530,Р:1,schedule_endpoint_returned_zero,/employees/attendance
2025-12,254abdefbe76,CO1,active_chernikova,,15422,Р:20,schedule_endpoint_returned_zero,/employees/attendance
2025-12,41819df3e5c6,CO1,active_chernikova,,17460,Р:23,schedule_endpoint_returned_zero,/employees/attendance
2025-12,5a1f5c27f736,CO1,active_chernikova,,2166,Р:4,schedule_endpoint_returned_zero,/employees/attendance
2025-12,7db3606f5e6e,CO1,active_chernikova,,11161,Р:15,schedule_endpoint_returned_zero,/employees/attendance
2025-12,8ade5bfeffff,CO1,active_chernikova,,2008,Р:3,schedule_endpoint_returned_zero,/employees/attendance
2025-12,9eff9daadd69,CO1,active_chernikova,,652,Р:1,schedule_endpoint_returned_zero,/employees/attendance
2025-12,a0dc40b9bf8b,CO1,active_chernikova,,13337,Р:18,schedule_endpoint_returned_zero,/employees/attendance
2025-12,ca0355cb0bf4,CO1,active_chernikova,,10050,Р:14,schedule_endpoint_returned_zero,/employees/attendance
2025-12,d2c15be5c309,CO1,active_chernikova,,5372,Р:8,schedule_endpoint_returned_zero,/employees/attendance
2025-12,de7f2e7a57ba,CO1,active_chernikova,,5058,Р:7,schedule_endpoint_returned_zero,/employees/attendance
2025-12,e004d202c31a,CO1,active_chernikova,,17001,Р:22,schedule_endpoint_returned_zero,/employees/attendance
2025-12,ef88d5864834,CO1,active_chernikova,,6307,Р:8,schedule_endpoint_returned_zero,/employees/attendance
2025-12,fee1cfc4af2a,CO1,active_chernikova,,14645,Р:19,schedule_endpoint_returned_zero,/employees/attendance
2025-12,14710cf14f60,CS1,active_chernikova,,12193,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2025-12,4df1fe15b678,CS1,active_chernikova,,13875,Р:19,schedule_endpoint_returned_zero,/employees/attendance
2025-12,6db37dfd55ec,CS1,active_chernikova,,11294,Р:17,schedule_endpoint_returned_zero,/employees/attendance
2025-12,6e78a693ec09,CS1,active_chernikova,,10111,Р:13,schedule_endpoint_returned_zero,/employees/attendance
2025-12,083e1f32b4a7,Курьер,active_chernikova,,3181,Р:7,schedule_endpoint_returned_zero,/employees/attendance
2025-12,22a86a745286,Курьер,active_chernikova,,4004,Р:9,schedule_endpoint_returned_zero,/employees/attendance
2025-12,23dfb0bf877e,Курьер,active_chernikova,,3217,Р:6,schedule_endpoint_returned_zero,/employees/attendance
2025-12,29b036111b00,Курьер,active_chernikova,,688,Р:3,schedule_endpoint_returned_zero,/employees/attendance
2025-12,399f42b408cf,Курьер,active_chernikova,,1884,Р:7,schedule_endpoint_returned_zero,/employees/attendance
2025-12,62747990d38d,Курьер,active_chernikova,,11307,Р:18,schedule_endpoint_returned_zero,/employees/attendance
2025-12,8969648f8034,Курьер,active_chernikova,,9263,Р:14,schedule_endpoint_returned_zero,/employees/attendance
2025-12,c5ad3f0fb30e,Курьер,active_chernikova,,11255,Р:20,schedule_endpoint_returned_zero,/employees/attendance
2025-12,cec0e9cf5a3e,Курьер,active_chernikova,,4076,Р:9,schedule_endpoint_returned_zero,/employees/attendance
2025-12,dcde79c64210,Курьер,active_chernikova,,3611,Р:8,schedule_endpoint_returned_zero,/employees/attendance
2026-01,0b0f34913f95,CO1,active_chernikova,,15840,Р:20,schedule_endpoint_returned_zero,/employees/attendance
2026-01,1408c6aecf38,CO1,active_chernikova,,12104,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2026-01,254abdefbe76,CO1,active_chernikova,,11098,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2026-01,41819df3e5c6,CO1,active_chernikova,,6041,Р:10,schedule_endpoint_returned_zero,/employees/attendance
2026-01,5a1f5c27f736,CO1,active_chernikova,,3377,Р:5,schedule_endpoint_returned_zero,/employees/attendance
2026-01,74cc367bbf60,CO1,active_chernikova,,15127,Р:20,schedule_endpoint_returned_zero,/employees/attendance
2026-01,7db3606f5e6e,CO1,active_chernikova,,10732,Р:14,schedule_endpoint_returned_zero,/employees/attendance
2026-01,8ade5bfeffff,CO1,active_chernikova,,2995,Р:5,schedule_endpoint_returned_zero,/employees/attendance
2026-01,a0dc40b9bf8b,CO1,active_chernikova,,12566,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2026-01,c56ac3a17e61,CO1,active_chernikova,,6133,Р:8,schedule_endpoint_returned_zero,/employees/attendance
2026-01,ca0355cb0bf4,CO1,active_chernikova,,12052,Р:17,schedule_endpoint_returned_zero,/employees/attendance
2026-01,de7f2e7a57ba,CO1,active_chernikova,,10397,Р:14,schedule_endpoint_returned_zero,/employees/attendance
2026-01,e004d202c31a,CO1,active_chernikova,,8703,Р:11,schedule_endpoint_returned_zero,/employees/attendance
2026-01,fee1cfc4af2a,CO1,active_chernikova,,10768,Р:14,schedule_endpoint_returned_zero,/employees/attendance
2026-01,14710cf14f60,CS1,active_chernikova,,11611,Р:15,schedule_endpoint_returned_zero,/employees/attendance
2026-01,4df1fe15b678,CS1,active_chernikova,,11374,Р:15,schedule_endpoint_returned_zero,/employees/attendance
2026-01,6db37dfd55ec,CS1,active_chernikova,,11250,Р:14,schedule_endpoint_returned_zero,/employees/attendance
2026-01,6e78a693ec09,CS1,active_chernikova,,12418,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2026-01,083e1f32b4a7,Курьер,active_chernikova,,5817,Р:11,schedule_endpoint_returned_zero,/employees/attendance
2026-01,0b504ee536e4,Курьер,active_chernikova,,2043,Р:3,schedule_endpoint_returned_zero,/employees/attendance
2026-01,22a86a745286,Курьер,active_chernikova,,1449,Р:5,schedule_endpoint_returned_zero,/employees/attendance
2026-01,23dfb0bf877e,Курьер,active_chernikova,,716,Р:1,schedule_endpoint_returned_zero,/employees/attendance
2026-01,29b036111b00,Курьер,active_chernikova,,222,Р:1,schedule_endpoint_returned_zero,/employees/attendance
2026-01,399f42b408cf,Курьер,active_chernikova,,3352,Р:7,schedule_endpoint_returned_zero,/employees/attendance
2026-01,62747990d38d,Курьер,active_chernikova,,958,Р:2,schedule_endpoint_returned_zero,/employees/attendance
2026-01,7d83bd34584c,Курьер,active_chernikova,,2536,Р:9,schedule_endpoint_returned_zero,/employees/attendance
2026-01,8969648f8034,Курьер,active_chernikova,,10061,Р:17,schedule_endpoint_returned_zero,/employees/attendance
2026-01,bbe28a02aeb3,Курьер,active_chernikova,,6148,Р:11,schedule_endpoint_returned_zero,/employees/attendance
2026-01,c455b16b739b,Курьер,active_chernikova,,1545,Р:3,schedule_endpoint_returned_zero,/employees/attendance
2026-01,c5ad3f0fb30e,Курьер,active_chernikova,,7767,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2026-01,cec0e9cf5a3e,Курьер,active_chernikova,,4321,Р:9,schedule_endpoint_returned_zero,/employees/attendance
2026-01,dcde79c64210,Курьер,active_chernikova,,562,Р:1,schedule_endpoint_returned_zero,/employees/attendance
2026-01,e546525d6e65,Курьер,active_chernikova,,2459,Р:5,schedule_endpoint_returned_zero,/employees/attendance
2026-02,4c056be8eda2,ADM,active_chernikova,,13,Р:4,schedule_endpoint_returned_zero,/employees/attendance
2026-02,0b0f34913f95,CO1,active_chernikova,,11989,Р:16,schedule_endpoint_returned_zero,/employees/attendance
2026-02,254abdefbe76,CO1,active_chernikova,,11691,Р:17,schedule_endpoint_returned_zero,/employees/attendance
2026-02,25bc733c82fc,CO1,active_chernikova,,9219,Р:12,schedule_endpoint_returned_zero,/employees/attendance
2026-02,5a1f5c27f736,CO1,active_chernikova,,935,Р:2,schedule_endpoint_returned_zero,/employees/attendance
2026-02,74cc367bbf60,CO1,active_chernikova,,19598,Р:25,schedule_endpoint_returned_zero,/employees/attendance
2026-02,7db3606f5e6e,CO1,active_chernikova,,5311,Р:7,schedule_endpoint_returned_zero,/employees/attendance
2026-02,8ade5bfeffff,CO1,active_chernikova,,1440,Р:2,schedule_endpoint_returned_zero,/employees/attendance
2026-02,9fe49e1f0839,CO1,active_chernikova,,6174,Р:9,schedule_endpoint_returned_zero,/employees/attendance
2026-02,a0dc40b9bf8b,CO1,active_chernikova,,13779,Р:18,schedule_endpoint_returned_zero,/employees/attendance
2026-02,b2d1e43a02ee,CO1,active_chernikova,,4032,Р:6,schedule_endpoint_returned_zero,/employees/attendance
2026-02,c56ac3a17e61,CO1,active_chernikova,,13185,Р:17,schedule_endpoint_returned_zero,/employees/attendance
2026-02,ca0355cb0bf4,CO1,active_chernikova,,9010,Р:12,schedule_endpoint_returned_zero,/employees/attendance
2026-02,de7f2e7a57ba,CO1,active_chernikova,,14802,Р:19,schedule_endpoint_returned_zero,/employees/attendance
2026-02,fee1cfc4af2a,CO1,active_chernikova,,11067,Р:14,schedule_endpoint_returned_zero,/employees/attendance
2026-02,14710cf14f60,CS1,active_chernikova,,11447,Р:15,schedule_endpoint_returned_zero,/employees/attendance
