endpoint,method,status_code,returned_records,date_format,mandatory_params,notes
/application.wadl,GET,200,0,,,WADL discovery
/v2/reports/olap/presets,GET,200,40,,,filter staff/revenue presets
/v2/reports/olap/columns,GET,404,0,,reportType,error: reportType=LABOUR
/v2/reports/olap/columns,GET,404,0,,reportType,error: reportType=ATTENDANCE
/corporation/departments,GET,200,4,,includeDeleted optional,department lookup for active Черникова
/employees/roles,GET,200,14,,includeDeleted optional,role dictionary
/employees/attendance/types,GET,200,6,,includeDeleted optional,attendance type dictionary
/employees/schedule/types,GET,200,34,,,schedule type dictionary
/employees/salary,GET,200,39,,,current salary/payment settings
/employees,GET,200,260,,includeDeleted optional,employee lookup; raw may contain PII
/employees/attendance,GET,200,69,yyyy-MM-dd,"from,to",pilot no department
/employees/attendance,GET,400,0,dd.MM.yyyy,"from,to",error: pilot alternate date format
/employees/schedule,GET,200,0,yyyy-MM-dd,"from,to",pilot no department; endpoint_returned_zero
/employees/schedule,GET,400,0,dd.MM.yyyy,"from,to",error: pilot alternate date format
/v2/payrolls/list,GET,200,0,yyyy-MM-dd,"dateFrom,dateTo,department",payroll list pilot by active department; endpoint_returned_zero
/v2/entities/periodSchedules,GET,200,1,,none,period schedule dictionary
/v2/entities/scheduleTypes,GET,200,72,,none,v2 schedule type dictionary
/employees/availability/list,GET,400,0,,none,error: availability endpoint
/rmsSettings/getEmployees,GET,500,0,,none,error: legacy employee lookup
/employees/attendance/byDepartment/{id},GET,409,0,yyyy-MM-dd,"departmentId,from,to",error: pilot active department path
/employees/attendance/department/{id},GET,200,68,yyyy-MM-dd,"departmentId,from,to",pilot active department alternate path
/employees/schedule/byDepartment/{id},GET,409,0,yyyy-MM-dd,"departmentId,from,to",error: pilot active department path
/employees/byDepartment/{id},GET,200,99,,departmentId,employee lookup by active department; raw may contain PII
/employees/attendance/byEmployee/{id},GET,200,5,yyyy-MM-dd,"employeeId,from,to",pilot employee path
/employees/schedule/byEmployee/{id},GET,200,0,yyyy-MM-dd,"employeeId,from,to",pilot employee path; endpoint_returned_zero
/employees/salary/byId/{id},GET,200,1,,employeeId,current salary by employee
/employees/salary/byId/{id}/2026-04-01,GET,200,1,,"employeeId,date",salary by employee at date
/employees/attendance/byDepartment/{id}/byEmployee/{id},GET,409,0,yyyy-MM-dd,"departmentId,employeeId,from,to",error: pilot active department + employee path
/employees/attendance,GET,200,333,yyyy-MM-dd,"from,to",target monthly attendance export
/employees/schedule,GET,200,0,yyyy-MM-dd,"from,to",target monthly schedule check; endpoint_returned_zero
/employees/attendance,GET,200,354,yyyy-MM-dd,"from,to",target monthly attendance export
/employees/schedule,GET,200,0,yyyy-MM-dd,"from,to",target monthly schedule check; endpoint_returned_zero
/employees/attendance,GET,200,348,yyyy-MM-dd,"from,to",target monthly attendance export
/employees/schedule,GET,200,0,yyyy-MM-dd,"from,to",target monthly schedule check; endpoint_returned_zero
/employees/attendance,GET,200,336,yyyy-MM-dd,"from,to",target monthly attendance export
/employees/schedule,GET,200,0,yyyy-MM-dd,"from,to",target monthly schedule check; endpoint_returned_zero
/employees/attendance,GET,200,331,yyyy-MM-dd,"from,to",target monthly attendance export
/employees/schedule,GET,200,0,yyyy-MM-dd,"from,to",target monthly schedule check; endpoint_returned_zero
/employees/attendance,GET,200,288,yyyy-MM-dd,"from,to",target monthly attendance export
/employees/schedule,GET,200,0,yyyy-MM-dd,"from,to",target monthly schedule check; endpoint_returned_zero
/employees/attendance,GET,200,204,yyyy-MM-dd,"from,to",target monthly attendance export
/employees/schedule,GET,200,0,yyyy-MM-dd,"from,to",target monthly schedule check; endpoint_returned_zero
/v2/reports/olap/byPresetId/{id},GET,200,5,yyyy-MM-dd,"dateFrom,dateTo,summary",pilot saved preset: revenue by waiters; raw may contain employee names
