corr_account,debit_count,debit_sum_abs,credit_count,credit_sum_abs,hypothesized_dds_article,status
Торговые кассы,92,830260.00,0,0.00,Наличная торговая выручка,rule_candidate_sales_cash
Текущие расчеты с сотрудниками,0,0.00,43,828282.00,Расходы на персонал,rule_candidate_owner_review
Алиса наличные,3,417023.00,0,0.00,Партнерская дебиторка до фактического получения денег,partner_receivable
Прочие расходы,0,0.00,1,156938.00,Прочие операционные расходы,owner_review
Перемещения,0,0.00,4,84000.00,Legacy-перемещения времен точки Гагарина,legacy_internal_transfer_review
Задолженность перед поставщиками,0,0.00,19,66648.28,Оплата поставщикам,iiko_auto_classified
Всякое Черникова,0,0.00,25,53567.92,Мелкие расходы Черникова; нужен review-слой,requires_owner_review
Депозиты сотрудников,51,24100.00,6,24500.00,DDS/control source депозитов курьеров,deposit_control_source
Прочие доходы,15,22850.92,0,0.00,Прочие поступления,owner_review
Основные средства,0,0.00,1,9977.00,Не определено,owner_review
Затраты на персонал,0,0.00,1,3071.14,Расходы на персонал,rule_candidate_owner_review
Актуализация,12,511.15,5,53.73,Техническая корректировка,owner_review
Всякое Гагарина,0,0.00,1,100.00,Исторический хвост старой точки,legacy_reference
