month,corr_account,debit_sum,credit_sum,operation_count,source_endpoint
2026-02,Актуализация,507.11,52.60,6,/reports/olap
2026-02,Алиса наличные,131070.00,0.00,1,/reports/olap
2026-02,Всякое Черникова,0.00,12150.00,4,/reports/olap
2026-02,Депозиты сотрудников,7000.00,5000.00,17,/reports/olap
2026-02,Задолженность перед поставщиками,0.00,22139.43,4,/reports/olap
2026-02,Основные средства,0.00,9977.00,1,/reports/olap
2026-02,Перемещения,0.00,13500.00,2,/reports/olap
2026-02,Прочие доходы,1100.92,0.00,3,/reports/olap
2026-02,Текущие расчеты с сотрудниками,0.00,123007.00,12,/reports/olap
2026-02,Торговые кассы,194755.00,0.00,26,/reports/olap
2026-03,Актуализация,1.96,0.00,4,/reports/olap
2026-03,Всякое Черникова,0.00,36665.99,12,/reports/olap
2026-03,Депозиты сотрудников,11400.00,6500.00,24,/reports/olap
2026-03,Задолженность перед поставщиками,0.00,14224.97,4,/reports/olap
2026-03,Перемещения,0.00,1000.00,1,/reports/olap
2026-03,Прочие доходы,10000.00,0.00,3,/reports/olap
2026-03,Текущие расчеты с сотрудниками,0.00,358465.00,16,/reports/olap
2026-03,Торговые кассы,257325.00,0.00,24,/reports/olap
2026-04,Актуализация,1.71,0.27,5,/reports/olap
2026-04,Алиса наличные,160746.00,0.00,1,/reports/olap
2026-04,Всякое Гагарина,0.00,100.00,1,/reports/olap
2026-04,Всякое Черникова,0.00,2331.96,7,/reports/olap
2026-04,Депозиты сотрудников,1300.00,0.00,3,/reports/olap
2026-04,Задолженность перед поставщиками,0.00,25804.34,9,/reports/olap
2026-04,Затраты на персонал,0.00,3071.14,1,/reports/olap
2026-04,Прочие доходы,9650.00,0.00,6,/reports/olap
2026-04,Прочие расходы,0.00,156938.00,1,/reports/olap
2026-04,Текущие расчеты с сотрудниками,0.00,214917.00,10,/reports/olap
2026-04,Торговые кассы,232770.00,0.00,25,/reports/olap
2026-05,Актуализация,0.37,0.86,2,/reports/olap
2026-05,Алиса наличные,125207.00,0.00,1,/reports/olap
2026-05,Всякое Черникова,0.00,2419.97,2,/reports/olap
2026-05,Депозиты сотрудников,4400.00,13000.00,13,/reports/olap
2026-05,Задолженность перед поставщиками,0.00,4479.54,2,/reports/olap
2026-05,Перемещения,0.00,69500.00,1,/reports/olap
2026-05,Прочие доходы,2100.00,0.00,3,/reports/olap
2026-05,Текущие расчеты с сотрудниками,0.00,131893.00,5,/reports/olap
2026-05,Торговые кассы,145410.00,0.00,17,/reports/olap
