month,pnl_line,component,product_name,sum_total,item_count,source
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Вилки,347.50,4,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Лента для датера,33.99,1,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Ложка чайная,68.00,1,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет вакуум 25/35,1386.00,1,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет фасовка,492.69,1,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет фасовка 10+6,418.08,2,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки винил,8339.84,11,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки хоз плотные,1196.53,6,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пищевая пленка широкая,797.13,3,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Фольга 29см,3675.96,5,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Шпажки,334.74,4,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Содержание торговых точек,Закупка расходников на торговые точки,Вафельное полотенце рулон,5967.44,2,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 120л,30.37,1,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 240л,4700.66,4,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Содержание торговых точек,Закупка расходников на торговые точки,Мешок кондитерский одноразовый,640.00,2,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Содержание торговых точек,Закупка расходников на торговые точки,Моющие и чистящие средства,9348.72,23,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Содержание торговых точек,Закупка расходников на торговые точки,Полотенца бумажные,4338.60,5,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Содержание торговых точек,Закупка расходников на торговые точки,Туалетная бумага,607.88,6,research/raw/iiko/incoming_invoice/2025-11.json
2025-11,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента бол. 80х80,2436.48,4,research/raw/iiko/incoming_invoice/2025-11.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Вилки,199.50,2,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Лента для датера,749.04,3,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Ложка чайная,114.00,2,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет вакуум 16х25,1205.00,3,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет вакуум 25/35,2179.00,2,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет фасовка,1174.98,1,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет фасовка 10+6,1149.72,3,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки винил,9707.62,10,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пищевая пленка широкая,669.87,3,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Фольга 29см,3309.36,4,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Шпажки,725.78,7,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Вафельное полотенце рулон,8951.16,2,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 120л,34.18,1,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 240л,3212.55,3,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Мешок кондитерский одноразовый,725.00,3,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Моющие и чистящие средства,12146.65,20,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Мусорный пакет 60л,21.72,1,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Полотенца бумажные,4487.10,4,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Туалетная бумага,886.32,4,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента бол. 80х80,2818.80,3,research/raw/iiko/incoming_invoice/2025-12.json
2025-12,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента мал. 57х40,939.60,2,research/raw/iiko/incoming_invoice/2025-12.json
2026-01,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Вилки,266.00,2,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Ложка чайная,46.00,1,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки винил,7504.51,9,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки хоз плотные,279.42,2,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пищевая пленка широкая,1047.99,3,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Фольга 29см,2250.35,3,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Шпажки,270.69,3,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Содержание торговых точек,Закупка расходников на торговые точки,Вафельное полотенце рулон,2983.72,1,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 240л,3178.56,2,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Содержание торговых точек,Закупка расходников на торговые точки,Моющие и чистящие средства,3972.10,10,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Содержание торговых точек,Закупка расходников на торговые точки,Мусорный пакет 60л,104.58,2,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Содержание торговых точек,Закупка расходников на торговые точки,Полотенца бумажные,4074.85,4,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Содержание торговых точек,Закупка расходников на торговые точки,Туалетная бумага,339.00,2,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента бол. 80х80,825.00,2,research/raw/iiko/incoming_invoice/2026-01.json
2026-01,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента мал. 57х40,452.16,1,research/raw/iiko/incoming_invoice/2026-01.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Вилки,332.50,4,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Ложка чайная,93.00,2,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет вакуум 16х25,759.00,2,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет вакуум 25/35,743.00,1,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет фасовка,798.98,1,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет фасовка 10+6,633.66,2,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки винил,8650.20,11,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Перчатки хоз плотные,136.22,1,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пищевая пленка широкая,481.88,1,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Фольга 29см,3656.77,4,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Шпажки,488.25,4,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Содержание торговых точек,Закупка расходников на торговые точки,Вафельное полотенце рулон,6319.93,2,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 120л,65.22,2,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Содержание торговых точек,Закупка расходников на торговые точки,Мешок для мусора 240л,3276.78,3,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Содержание торговых точек,Закупка расходников на торговые точки,Моющие и чистящие средства,7716.25,17,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Содержание торговых точек,Закупка расходников на торговые точки,Мусорный пакет 60л,41.91,1,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Содержание торговых точек,Закупка расходников на торговые точки,Полотенца бумажные,934.05,1,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Содержание торговых точек,Закупка расходников на торговые точки,Туалетная бумага,678.00,4,research/raw/iiko/incoming_invoice/2026-02.json
2026-02,Содержание торговых точек,Закупка расходников на торговые точки,Чековая лента бол. 80х80,2729.88,4,research/raw/iiko/incoming_invoice/2026-02.json
2026-03,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Вилки,305.50,2,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Ложка чайная,47.00,1,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет вакуум 16х25,230.00,1,research/raw/iiko/incoming_invoice/2026-03.json
2026-03,Вспомогательные товары(учет по факту оплаты),Вспомогательные товары,Пакет вакуум 25/35,1428.00,1,research/raw/iiko/incoming_invoice/2026-03.json
