month,pnl_line,total_sum,components_breakdown_json
2025-11,Вспомогательные товары(учет по факту оплаты),17090.46,"{""Вспомогательные товары"": {""item_count"": 39, ""sum_total"": ""17090.46""}}"
2025-11,Содержание торговых точек,28070.15,"{""Закупка расходников на торговые точки"": {""item_count"": 47, ""sum_total"": ""28070.15""}}"
2025-12,Вспомогательные товары(учет по факту оплаты),21183.87,"{""Вспомогательные товары"": {""item_count"": 40, ""sum_total"": ""21183.87""}}"
2025-12,Содержание торговых точек,34223.08,"{""Закупка расходников на торговые точки"": {""item_count"": 43, ""sum_total"": ""34223.08""}}"
2026-01,Вспомогательные товары(учет по факту оплаты),11664.96,"{""Вспомогательные товары"": {""item_count"": 23, ""sum_total"": ""11664.96""}}"
2026-01,Содержание торговых точек,15929.97,"{""Закупка расходников на торговые точки"": {""item_count"": 24, ""sum_total"": ""15929.97""}}"
2026-02,Вспомогательные товары(учет по факту оплаты),16773.46,"{""Вспомогательные товары"": {""item_count"": 33, ""sum_total"": ""16773.46""}}"
2026-02,Содержание торговых точек,21762.02,"{""Закупка расходников на торговые точки"": {""item_count"": 34, ""sum_total"": ""21762.02""}}"
2026-03,Вспомогательные товары(учет по факту оплаты),13215.00,"{""Вспомогательные товары"": {""item_count"": 21, ""sum_total"": ""13215.00""}}"
2026-03,Содержание торговых точек,24546.21,"{""Закупка расходников на торговые точки"": {""item_count"": 35, ""sum_total"": ""24546.21""}}"
2026-04,Вспомогательные товары(учет по факту оплаты),7967.21,"{""Вспомогательные товары"": {""item_count"": 23, ""sum_total"": ""7967.21""}}"
2026-04,Содержание торговых точек,29733.80,"{""Закупка расходников на торговые точки"": {""item_count"": 46, ""sum_total"": ""29733.80""}}"
2026-05,Вспомогательные товары(учет по факту оплаты),5711.39,"{""Вспомогательные товары"": {""item_count"": 20, ""sum_total"": ""5711.39""}}"
2026-05,Содержание торговых точек,12600.39,"{""Закупка расходников на торговые точки"": {""item_count"": 18, ""sum_total"": ""12600.39""}}"
