month,pnl_line,total_sum,document_count
2025-11,Результаты ревизии,-13411.85,4
2025-11,Результаты инвентаризации упаковки (кроме коробок для пиццы),-35692.27,1
2025-11,Результаты инвентаризации коробки д/пиццы,-3070.79,1
2025-12,Результаты ревизии,1896.95,5
2025-12,Результаты инвентаризации упаковки (кроме коробок для пиццы),-35239.13,1
2025-12,Результаты инвентаризации коробки д/пиццы,1564.81,1
2026-01,Результаты ревизии,26959.28,4
2026-01,Результаты инвентаризации упаковки (кроме коробок для пиццы),-41072.80,1
2026-01,Результаты инвентаризации коробки д/пиццы,-6122.06,1
2026-02,Результаты ревизии,40255.79,4
2026-02,Результаты инвентаризации упаковки (кроме коробок для пиццы),-33516.26,1
2026-02,Результаты инвентаризации коробки д/пиццы,5769.20,1
2026-03,Результаты ревизии,10922.15,5
2026-03,Результаты инвентаризации упаковки (кроме коробок для пиццы),-28414.92,1
2026-03,Результаты инвентаризации коробки д/пиццы,2234.69,1
2026-04,Результаты ревизии,-7806.94,4
2026-04,Результаты инвентаризации упаковки (кроме коробок для пиццы),-39327.36,1
2026-04,Результаты инвентаризации коробки д/пиццы,3488.75,1
2026-05,Результаты ревизии,-27432.20,2
2026-05,Результаты инвентаризации упаковки (кроме коробок для пиццы),-22050.61,1
2026-05,Результаты инвентаризации коробки д/пиццы,4190.19,1
