dish,top_group,group,me_class,verdict,units_standalone,units_inset_line,set_phantom_units,effective_units,n_sets,sets_structural,sets_behavioral,revenue_standalone,margin_standalone_est,margin_pct,recent3_units,months_active,orders,verdict_reason
Уратама,Роллы,Запеченные,Собака,Под наблюдением,16,0,0,16,0,0,0,5423,3739,68.9,11,5,16,"розница слабая (16 шт), сет-роль малая (+0)"
Салями,Пицца,Пицца,Собака,Под наблюдением,17,0,0,17,0,0,0,10189,7135,70.0,6,6,17,"розница слабая (17 шт), сет-роль малая (+0)"
Огненный жемчуг,Роллы,Фирменные роллы,Собака,Под наблюдением,18,0,0,18,0,0,0,7774,5531,71.1,8,5,18,"розница слабая (18 шт), сет-роль малая (+0)"
Фудзивара,Роллы,Фирменные роллы,Собака,Под наблюдением,18,0,0,18,0,0,0,9175,4735,51.6,6,5,18,"розница слабая (18 шт), сет-роль малая (+0)"
Лава угорь,Роллы,Фирменные роллы,Собака,Под наблюдением,20,0,0,20,0,0,0,8885,6850,77.1,11,6,19,"розница слабая (20 шт), сет-роль малая (+0)"
Классический с угрем,Роллы,Классические,Собака,Под наблюдением,20,0,0,20,0,0,0,4386,2320,52.9,10,5,20,"розница слабая (20 шт), сет-роль малая (+0)"
Бонито,Роллы,Фирменные роллы,Собака,Под наблюдением,20,0,0,20,0,0,0,7298,5329,73.0,8,6,20,"розница слабая (20 шт), сет-роль малая (+0)"
Айдахо,Роллы,Фирменные роллы,Собака,Под наблюдением,21,0,0,21,0,0,0,9629,6558,68.1,10,7,21,"розница слабая (21 шт), сет-роль малая (+0)"
Фукусима,Роллы,Запеченные,Собака,Под наблюдением,21,0,0,21,0,0,0,10162,7528,74.1,12,7,21,"розница слабая (21 шт), сет-роль малая (+0)"
Калифорния с угрём,Роллы,Калифорния,Собака,Под наблюдением,25,0,0,25,0,0,0,9512,5991,63.0,15,7,24,"розница слабая (25 шт), сет-роль малая (+0)"
Акита,Роллы,Фирменные роллы,Собака,Под наблюдением,19,0,53,72,1,1,0,3827,2817,73.6,11,6,19,"розница слабая (19 шт), сет-роль малая (+53)"
Мидии том ям,Роллы,Запеченные,Собака,Под наблюдением,20,0,53,73,1,1,0,6315,4304,68.2,14,6,20,"розница слабая (20 шт), сет-роль малая (+53)"
Якимото,Роллы,Запеченные,Собака,Под наблюдением,20,0,63,83,1,1,0,7201,5430,75.4,12,7,20,"розница слабая (20 шт), сет-роль малая (+63)"
Жульен,Пицца,Пицца,Собака,Кандидат на удаление,1,0,0,1,0,0,0,0,0,,1,1,1,"розница 1 шт (<0.5/нед), проникновение в сеты незначимо (+0)"
Невада,Роллы,Фирменные роллы,Собака,Кандидат на удаление,6,0,0,6,0,0,0,3670,2219,60.4,1,3,6,"розница 6 шт (<0.5/нед), проникновение в сеты незначимо (+0)"
Салмон,Роллы,Фирменные роллы,Собака,Кандидат на удаление,7,0,0,7,0,0,0,2544,1887,74.2,3,4,7,"розница 7 шт (<0.5/нед), проникновение в сеты незначимо (+0)"
Широкий с угрем,Роллы,Запеченные,Собака,Кандидат на удаление,8,0,0,8,0,0,0,3037,2074,68.3,6,3,8,"розница 8 шт (<0.5/нед), проникновение в сеты незначимо (+0)"
