dish,top_group,group,me_class,verdict,units_standalone,units_inset_line,set_phantom_units,effective_units,n_sets,sets_structural,sets_behavioral,revenue_standalone,margin_standalone_est,margin_pct,recent3_units,months_active,orders,verdict_reason
Цезарь,Пицца,Пицца,Звезда,Оставить,379,0,4361,4740,9,9,0,202700,144362,71.2,221,7,330,нормальная проходимость в рознице
Картофель фри,Закуски,Закуски,Звезда,Оставить,3927,410,0,4337,8,0,8,567475,407395,71.8,2318,7,1992,нормальная проходимость в рознице
Хоккайдо,Роллы,Запеченные,Собака,Оставить,83,0,4208,4291,5,5,0,18807,12467,66.3,37,7,78,нормальная проходимость в рознице
Камчатский,Роллы,Фирменные роллы,Звезда,Оставить,1014,0,2682,3696,9,9,0,278146,228775,82.3,487,7,979,нормальная проходимость в рознице
Жареная калифорния,Роллы,Жареные,Звезда,Оставить,228,0,3412,3640,8,8,0,64173,52138,81.2,112,7,184,нормальная проходимость в рознице
Честер,Роллы,Фирменные роллы,Звезда,Оставить,153,0,3034,3187,6,6,0,40762,31261,76.7,76,7,144,нормальная проходимость в рознице
Тори Яки,Роллы,Запеченные,Собака,Оставить,40,0,2894,2934,7,7,0,12452,8652,69.5,18,7,40,нормальная проходимость в рознице
Запеченная Калифорния,Роллы,Запеченные,Звезда,Оставить,170,0,2480,2650,4,4,0,45001,30371,67.5,71,7,169,нормальная проходимость в рознице
Классический с крабом,Роллы,Классические,Собака,Оставить,76,0,2421,2497,2,2,0,11579,8041,69.4,41,7,75,нормальная проходимость в рознице
Чикен,Роллы,Жареные,Собака,Оставить,89,0,2338,2427,3,3,0,21718,16731,77.0,46,7,86,нормальная проходимость в рознице
Фиеста,Роллы,Фирменные роллы,Звезда,Оставить,269,0,2040,2309,2,2,0,88661,58438,65.9,126,7,252,нормальная проходимость в рознице
Наггетсы,Закуски,Закуски,Звезда,Оставить,2216,0,0,2216,0,0,0,405948,290773,71.6,1207,7,758,нормальная проходимость в рознице
Пикник,Пицца,Пицца,Звезда,Оставить,2184,0,0,2184,0,0,0,976190,660404,67.7,1086,7,2126,нормальная проходимость в рознице
Мидии темпура,Роллы,Фирменные роллы,Собака,Оставить,33,0,2130,2163,3,3,0,7844,6036,76.9,16,7,32,нормальная проходимость в рознице
Сакура,Роллы,Жареные,Звезда,Оставить,130,0,2007,2137,6,6,0,32808,25742,78.5,69,7,127,нормальная проходимость в рознице
Лава краб,Роллы,Фирменные роллы,Рабочая лошадка,Оставить,107,0,2025,2132,2,2,0,30010,23587,78.6,45,7,100,нормальная проходимость в рознице
Яки краб,Роллы,Запеченные,Звезда,Оставить,189,0,1937,2126,2,2,0,41692,25880,62.1,98,7,178,нормальная проходимость в рознице
