dish,category,band,verdict,units_standalone,recent3_units,units_inset,set_phantom,in_sets_units,n_sets,revenue,margin,margin_pct,months_active
Трайфл с тунцом,закуски,0 · мёртвая,Удалить — не продаётся,0,0,0,0,0,0,0,0,,0
Трайфл с лососем,закуски,0 · мёртвая,Удалить — не продаётся,0,0,0,0,0,0,0,0,,0
Трайфл с креветкой,закуски,0 · мёртвая,Удалить — не продаётся,0,0,0,0,0,0,0,0,,0
Трайфл с курицей,закуски,0 · мёртвая,Удалить — не продаётся,0,0,0,0,0,0,0,0,,0
Трайфл с крабом,закуски,0 · мёртвая,Удалить — не продаётся,0,0,0,0,0,0,0,0,,0
Трайфл с масляной рыбой,закуски,0 · мёртвая,Удалить — не продаётся,0,0,0,0,0,0,0,0,,0
Жульен,пицца,<1/мес,Удалить — почти мёртвая,1,1,0,0,0,0,0,0,,1
Невада,роллы,<1/мес,Удалить — почти мёртвая,6,1,0,0,0,0,3670,2219,60.4,3
Салмон,роллы,1–3/мес,Кандидат на удаление,7,3,0,0,0,0,2544,1887,74.2,4
Широкий с угрем,роллы,1–3/мес,Кандидат на удаление,8,6,0,0,0,0,3037,2074,68.3,3
Мидии с крабом,роллы,1–3/мес,Оставить — несёт сеты,9,6,0,818,818,1,2747,2127,77.4,5
Флори,роллы,1–3/мес,Оставить — несёт сеты,16,6,0,186,186,1,6136,4372,71.2,7
Уратама,роллы,1–3/мес,Слабая — под наблюдением,16,7,0,0,0,0,5423,3739,68.9,5
Салями,пицца,1–3/мес,Слабая — под наблюдением,17,5,0,0,0,0,10189,7135,70.0,6
Острый с крабом,роллы,1–3/мес,Оставить — несёт сеты,18,9,0,651,651,4,4934,3865,78.3,6
Фудзивара,роллы,1–3/мес,Слабая — под наблюдением,18,1,0,0,0,0,9175,4735,51.6,5
Огненный жемчуг,роллы,1–3/мес,Слабая — под наблюдением,18,8,0,0,0,0,7774,5531,71.1,5
Акита,роллы,3–5/мес,Слабая — под наблюдением,19,10,0,53,53,1,3827,2817,73.6,6
Хикару,роллы,3–5/мес,Оставить — несёт сеты,20,9,0,136,136,1,7418,5358,72.2,7
Якимото,роллы,3–5/мес,Слабая — под наблюдением,20,8,0,63,63,1,7201,5430,75.4,7
Мидии том ям,роллы,3–5/мес,Слабая — под наблюдением,20,8,0,53,53,1,6315,4304,68.2,6
Классический с угрем,роллы,3–5/мес,Слабая — под наблюдением,20,7,0,0,0,0,4386,2320,52.9,5
Лава угорь,роллы,3–5/мес,Слабая — под наблюдением,20,5,0,0,0,0,8885,6850,77.1,6
Бонито,роллы,3–5/мес,Слабая — под наблюдением,20,4,0,0,0,0,7298,5329,73.0,6
Айдахо,роллы,3–5/мес,Слабая — под наблюдением,21,6,0,0,0,0,9629,6558,68.1,7
Фукусима,роллы,3–5/мес,Слабая — под наблюдением,21,9,0,0,0,0,10162,7528,74.1,7
Микадо,роллы,3–5/мес,Оставить — несёт сеты,22,6,0,671,671,2,5087,3464,68.1,6
Калифорния с лососем терияки,роллы,3–5/мес,Оставить — несёт сеты,23,9,0,171,171,2,6974,5010,71.8,6
Кензо,роллы,3–5/мес,Оставить — несёт сеты,24,8,0,191,191,2,8761,5863,66.9,7
Калифорния с угрём,роллы,3–5/мес,Слабая — под наблюдением,25,10,0,0,0,0,9512,5991,63.0,7
Креветка манго,роллы,3–5/мес,Слабая — под наблюдением,29,13,0,0,0,0,12171,8392,69.0,6
Мидии лосось,роллы,3–5/мес,Оставить,30,11,0,0,0,0,10798,7249,67.1,6
Мидии темпура,роллы,5–10/мес,Оставить,33,12,0,2130,2130,3,7844,6036,76.9,7
Банан апельсин,роллы,5–10/мес,Оставить,35,10,0,0,0,0,12938,9604,74.2,6
Тайланд,пицца,5–10/мес,Оставить,36,9,0,0,0,0,31904,23397,73.3,6
Креветки в шаурму 15гр,—,5–10/мес,Оставить,36,15,0,0,0,0,0,-187,,7
Прайм эсколар,роллы,5–10/мес,Оставить,37,13,0,0,0,0,10536,7086,67.3,6
Изуми эсколар,роллы,5–10/мес,Оставить,38,8,0,365,365,2,10246,7855,76.7,7
Акацуки,роллы,5–10/мес,Оставить,39,11,0,63,63,1,13034,8823,67.7,6
Пикантная креветка,роллы,5–10/мес,Оставить,39,19,0,0,0,0,14224,9242,65.0,7
Тори Яки,роллы,5–10/мес,Оставить,40,13,0,2894,2894,7,12452,8652,69.5,7
Калифорния с цыпленком,роллы,5–10/мес,Оставить,40,13,0,246,246,2,10778,7703,71.5,7
Хокусан,роллы,5–10/мес,Оставить,40,10,0,157,157,2,13751,8896,64.7,7
Якудза,роллы,5–10/мес,Оставить,42,8,0,1664,1664,1,13738,9674,70.4,7
Кацу,роллы,5–10/мес,Оставить,42,15,0,619,619,2,11337,8081,71.3,7
Фарерский,роллы,5–10/мес,Оставить,43,16,0,0,0,0,14681,9826,66.9,7
Запеченный с угрем,роллы,5–10/мес,Оставить,45,17,0,186,186,1,15559,11191,71.9,7
Фукуока,роллы,5–10/мес,Оставить,46,12,0,0,0,0,20782,14942,71.9,7
Небраска,роллы,5–10/мес,Оставить,47,16,0,79,79,1,16429,10520,64.0,7
Яритэ,роллы,5–10/мес,Оставить,47,20,0,0,0,0,12189,5550,45.5,7
Гринвич,роллы,5–10/мес,Оставить,50,16,0,248,248,2,16514,11055,66.9,6
Чили Пеппер,пицца,5–10/мес,Оставить,50,13,0,0,0,0,31009,20824,67.2,6
Вайт чикен,роллы,5–10/мес,Оставить,51,24,0,171,171,2,11363,8304,73.1,7
Бургер Чиз,пицца,5–10/мес,Оставить,51,22,0,0,0,0,36540,25650,70.2,7
Тайская креветка,роллы,5–10/мес,Оставить,55,15,0,0,0,0,16734,12126,72.5,7
Унагияма,роллы,5–10/мес,Оставить,59,31,0,366,366,3,15944,12251,76.8,6
Мидии Яки,роллы,5–10/мес,Оставить,59,21,0,0,0,0,18018,12881,71.5,6
Динамит,роллы,5–10/мес,Оставить,60,16,0,186,186,1,23078,18183,78.8,7
Чикен чиз,роллы,5–10/мес,Оставить,61,15,0,394,394,2,19803,15585,78.7,6
