period_start,period_end,dish_group_top,dish_category,orders,dish_amount,revenue,gross_sum,product_cost,food_cost_share_calc,gross_margin_calc,gross_margin_share_calc,product_profit_api,avg_check
2025-11-01,2026-05-17,Сеты,Сеты,6705.0,7247.0,8647536.819999998,10450670.0,3180295.3955887677,0.3677689337191823,5467241.424411231,0.6322310662808177,5467241.424411232,1289.714663683818
2025-11-01,2026-05-17,Пицца,Пицца,5632.0,8620.0,4930988.57,6002782.0,1587485.6802572543,0.32194065301945207,3343502.889742746,0.6780593469805479,3343502.889742746,875.5306409801137
2025-11-01,2026-05-17,Роллы,Роллы,5372.0,12207.0,3461686.7,4235500.0,1096887.9695497558,0.31686517718364166,2364798.7304502446,0.6831348228163584,2364798.7304502437,644.3943968726732
2025-11-01,2026-05-17,Акционные предложения,Акционные товары,1320.0,1350.0,2098361.75,2564350.0,0.0,0.0,2098361.75,1.0,2098361.75,1589.6679924242424
2025-11-01,2026-05-17,Закуски,Закуски,3023.0,8809.0,1606346.96,1888363.0,452568.3472422031,0.2817376062032097,1153778.612757797,0.7182623937967902,1153778.612757797,531.3751108170691
2025-11-01,2026-05-17,Комбо наборы,Комбо-набор,1187.0,1329.0,1561707.54,1901726.0,280050.25873809523,0.17932311368497025,1281657.2812619049,0.8206768863150298,1281657.2812619049,1315.676107834878
2025-11-01,2026-05-17,Шаурма,Шаурма,2244.0,3515.0,1178072.33,1442756.0,413582.63128172996,0.3510672653535033,764489.69871827,0.6489327346464966,764489.69871827,524.9876693404635
2025-11-01,2026-05-17,Специи,Все блюда,8804.0,23205.0,811813.09,988890.0,331509.41328640655,0.40835682174871873,480303.6767135934,0.5916431782512812,480303.6767135934,92.2095740572467
2025-11-01,2026-05-17,Проработки,(пусто),265.0,482.0,338941.66000000003,674118.0,119648.17597644022,0.35300522212713603,219293.4840235598,0.646994777872864,219293.48402355978,1279.025132075472
2025-11-01,2026-05-17,Соусы,Все блюда,2102.0,3315.0,267057.28,315725.0,54562.26538157297,0.20430922303100282,212495.01461842706,0.7956907769689971,212495.01461842703,127.04913415794483
2025-11-01,2026-05-17,Пицца,(пусто),309.0,330.0,171225.21999999997,226947.0,50301.93,0.2937764074708154,120923.28999999998,0.7062235925291847,120923.29,554.126925566343
2025-11-01,2026-05-17,Доставка,Услуги доставки,1503.0,1680.0,139148.63,219080.0,0.0,0.0,139148.63,1.0,139148.63,92.58059214903527
2025-11-01,2026-05-17,Напитки,(пусто),702.0,935.0,87178.16,123764.0,53662.80000000001,0.6155532532459965,33515.35999999999,0.3844467467540034,33515.36,124.1854131054131
2025-11-01,2026-05-17,Напитки,Напитки,242.0,345.0,49130.13,59730.0,18143.843333333338,0.36930175705485285,30986.28666666666,0.6306982429451471,30986.286666666667,203.01706611570248
2025-11-01,2026-05-17,Дополнительно,Все блюда,927.0,1226.0,45448.36,56365.0,12789.479907509156,0.2814068518095957,32658.880092490843,0.7185931481904043,32658.880092490843,49.02735706580367
2025-11-01,2026-05-17,(пусто),Все блюда,12465.0,32216.0,44834.19,55075.0,104461.97386534624,2.329962331545328,-59627.78386534624,-1.3299623315453282,-59627.783865346246,3.596806257521059
2025-11-01,2026-05-17,Добавки в шаурму,Шаурма,884.0,1989.0,35494.68,42070.0,9546.615166666668,0.2689590430641062,25948.06483333333,0.7310409569358938,25948.064833333337,40.152352941176474
2025-11-01,2026-05-17,Доставка,(пусто),1329.0,1518.0,31710.21,186660.0,0.0,0.0,31710.21,1.0,31710.21,23.86020316027088
2025-11-01,2026-05-17,Добавки для пиццы,Пицца,239.0,407.0,13597.650000000001,16455.0,6114.2,0.4496512264986964,7483.450000000002,0.5503487735013036,7483.450000000001,56.89393305439331
2025-11-01,2026-05-17,Соусы,(пусто),96.0,138.0,4065.14,5980.0,1038.68,0.25550903535917585,3026.46,0.7444909646408242,3026.46,42.34520833333333
2025-11-01,2026-05-17,(пусто),(пусто),43.0,45.0,65.35,2140.0,294.26,4.50283091048202,-228.91,-3.5028309104820203,-228.90999999999997,1.519767441860465
2025-11-01,2026-05-17,Ингредиенты,(пусто),1.0,1.0,45.0,45.0,11.27,0.2504444444444444,33.730000000000004,0.7495555555555556,33.73,45.0
2025-11-01,2026-05-17,Комбо из больших пицц,Комбо-набор,3.0,41.0,0.0,0.0,3128.37,0.0,-3128.37,0.0,-3128.37,0.0
2025-11-01,2026-05-17,Комбо из маленьких пицц,Комбо-набор,10.0,26.0,0.0,0.0,1818.27,0.0,-1818.27,0.0,-1818.27,0.0
2025-11-01,2026-05-17,Пицца 30см на выбор,(пусто),164.0,165.0,0.0,0.0,23760.51,0.0,-23760.51,0.0,-23760.51,0.0
2025-11-01,2026-05-17,Пицца 30см на выбор,Пицца,940.0,955.0,0.0,0.0,131952.1676547619,0.0,-131952.1676547619,0.0,-131952.1676547619,0.0
2025-11-01,2026-05-17,Пиццы,Пицца,234.0,238.0,0.0,0.0,64169.75416666667,0.0,-64169.75416666667,0.0,-64169.75416666667,0.0
2025-11-01,2026-05-17,Пиццы 30см на выбор,Комбо-набор,417.0,850.0,0.0,0.0,140574.07,0.0,-140574.07,0.0,-140574.07,0.0
