dish_name,period_start,period_end,dish_group_top,dish_category,orders,dish_amount,revenue,gross_sum,product_cost,food_cost_share_calc,gross_margin_calc,gross_margin_share_calc,product_profit_api,avg_check
"Сет ""Соломон""",2025-11-01,2026-05-17,Сеты,Сеты,1406.0,1412.0,1289887.62,1525688.0,486075.8856122168,0.3768358406387502,803811.7343877833,0.6231641593612498,803811.7343877833,917.4165149359887
"Сет ""Биг бэн""",2025-11-01,2026-05-17,Сеты,Сеты,648.0,649.0,1064138.33,1325551.0,437680.6424047619,0.41130051429005654,626457.6875952382,0.5886994857099436,626457.6875952381,1642.1887808641977
Пикник,2025-11-01,2026-05-17,Пицца,Пицца,2172.0,2236.0,965045.6,1232845.0,329042.15853930556,0.34096021839725044,636003.4414606944,0.6590397816027496,636003.4414606944,444.31197053407
"Сет ""Токио""",2025-11-01,2026-05-17,Сеты,Сеты,961.0,967.0,848143.51,999633.0,312139.66374639247,0.3680269436317357,536003.8462536075,0.6319730563682643,536003.8462536074,882.5634859521332
Акционный набор №2,2025-11-01,2026-05-17,Акционные предложения,Акционные товары,525.0,531.0,784115.8800000001,967269.0,0.0,0.0,784115.8800000001,1.0,784115.8800000001,1493.5540571428573
Акционный набор №1,2025-11-01,2026-05-17,Акционные предложения,Акционные товары,578.0,581.0,736488.73,877319.0,0.0,0.0,736488.73,1.0,736488.73,1274.201955017301
"Сет""Большой Куш""",2025-11-01,2026-05-17,Сеты,Сеты,324.0,326.0,638765.8200000001,770432.0,237193.38166666665,0.37133073536506167,401572.4383333334,0.6286692646349383,401572.4383333333,1971.4994444444446
Картофель фри,2025-11-01,2026-05-17,Закуски,Закуски,1806.0,4383.0,622880.4299999999,702839.0,174365.96503260353,0.27993489060589616,448514.4649673964,0.7200651093941038,448514.46496739646,344.89503322259134
"Сет ""Пятница""",2025-11-01,2026-05-17,Сеты,Сеты,481.0,482.0,621070.35,762950.0,221445.38486111112,0.35655443036543466,399624.96513888886,0.6434455696345653,399624.9651388889,1291.2065488565488
Акционный набор №3,2025-11-01,2026-05-17,Акционные предложения,Акционные товары,234.0,238.0,577757.14,719762.0,0.0,0.0,577757.14,1.0,577757.14,2469.047606837607
"Сет ""Манхэттен""",2025-11-01,2026-05-17,Сеты,Сеты,424.0,424.0,540970.7899999999,638261.0,193943.73083333333,0.3585105414533257,347027.0591666666,0.6414894585466743,347027.0591666667,1275.874504716981
3 пиццы за 1299р,2025-11-01,2026-05-17,Комбо наборы,Комбо-набор,401.0,423.0,489339.24,583977.0,168425.43873809525,0.3441895212370364,320913.80126190477,0.6558104787629636,320913.80126190477,1220.2973566084788
Наггетсы,2025-11-01,2026-05-17,Закуски,Закуски,839.0,2398.0,430299.6,487371.0,123705.6619238853,0.2874872807780563,306593.9380761147,0.7125127192219437,306593.9380761147,512.8719904648391
"Сет ""Аристократ""",2025-11-01,2026-05-17,Сеты,Сеты,203.0,203.0,400916.85000000003,482099.0,157867.84999999998,0.39376706167376097,243049.00000000006,0.606232938326239,243049.0,1974.959852216749
Шаурма классическая,2025-11-01,2026-05-17,Шаурма,Шаурма,1117.0,1509.0,398681.37,504975.0,147993.13728172996,0.3712065534482586,250688.23271827004,0.6287934465517414,250688.23271827007,356.92154879140554
"Сет"" Жареный""",2025-11-01,2026-05-17,Сеты,Сеты,302.0,304.0,372865.98,450246.0,110748.32958333334,0.2970191316014761,262117.65041666664,0.7029808683985239,262117.65041666667,1234.6555629139073
"Сет ""Нейросет""",2025-11-01,2026-05-17,Проработки,(пусто),265.0,482.0,338941.66000000003,674118.0,119648.17597644022,0.35300522212713603,219293.4840235598,0.646994777872864,219293.48402355978,1279.025132075472
"Сет""Эдо""",2025-11-01,2026-05-17,Сеты,Сеты,348.0,351.0,335647.06999999995,397049.0,118911.69071428572,0.3542759682492856,216735.37928571424,0.6457240317507145,216735.3792857143,964.5030747126435
Камчатский,2025-11-01,2026-05-17,Роллы,Роллы,1220.0,1238.0,320168.88,401315.0,63832.52931285381,0.19937143582741024,256336.3506871462,0.8006285641725898,256336.3506871462,262.43350819672133
Набор имбирь/васаби 100гр,2025-11-01,2026-05-17,Специи,Все блюда,3279.0,4503.0,303181.62999999995,370740.0,130807.72003831016,0.43145001904736174,172373.9099616898,0.5685499809526382,172373.90996168985,92.4616132967368
Chiken Kids,2025-11-01,2026-05-17,Пицца,Пицца,577.0,639.0,299798.67000000004,342101.0,94874.71055128204,0.3164614124248184,204923.959448718,0.6835385875751816,204923.95944871797,519.5817504332756
3 пиццы 30см,2025-11-01,2026-05-17,Комбо наборы,Комбо-набор,216.0,226.0,298764.57,362774.0,0.0,0.0,298764.57,1.0,298764.57,1383.1693055555556
"Сет ""Всё включено""",2025-11-01,2026-05-17,Сеты,Сеты,122.0,124.0,298603.17,376728.0,114606.805,0.38380973986310996,183996.365,0.61619026013689,183996.365,2447.566967213115
"Сет ""Лотос""",2025-11-01,2026-05-17,Сеты,Сеты,249.0,252.0,289025.2,345134.0,99541.30583333333,0.34440355316191573,189483.89416666667,0.6555964468380843,189483.8941666667,1160.7437751004018
"Сет ""Для двоих""",2025-11-01,2026-05-17,Сеты,Сеты,242.0,243.0,277310.71,327541.0,96982.23833333334,0.3497240994887407,180328.47166666668,0.6502759005112593,180328.47166666665,1145.9120247933886
"Сет ""Фестиваль""",2025-11-01,2026-05-17,Сеты,Сеты,168.0,168.0,275318.27,325432.0,96581.4075,0.35079912241203604,178736.86250000002,0.649200877587964,178736.8625,1638.7992261904762
Пепперони,2025-11-01,2026-05-17,Пицца,Пицца,316.0,344.0,269247.20999999996,312197.0,83818.91,0.31130836973203924,185428.29999999996,0.6886916302679608,185428.30000000002,852.0481329113923
"Сет ""Сушимания""",2025-11-01,2026-05-17,Сеты,Сеты,201.0,202.0,261783.22999999998,342706.0,102882.51699999999,0.3930065229923246,158900.713,0.6069934770076754,158900.713,1302.4041293532337
