period_start,period_end,month,status,reason_or_account,document_count,line_rows,stores_count_with_values,amount,sum_candidate
2026-02-01,2026-05-17,2026-02,PROCESSED,Расход продуктов,47.0,590.0,590.0,590.0,93208.90999999996
2026-02-01,2026-05-17,2026-02,PROCESSED,Удаление блюд со списанием,13.0,37.0,37.0,37.0,8485.1
2026-02-01,2026-05-17,2026-02,DELETED,Прочие расходы,1.0,1.0,1.0,1.0,0.0
2026-02-01,2026-05-17,2026-02,DELETED,Расход продуктов,1.0,1.0,1.0,1.0,0.0
2026-02-01,2026-05-17,2026-03,PROCESSED,Расход продуктов,52.0,665.0,665.0,665.0,95461.38999999996
2026-02-01,2026-05-17,2026-03,PROCESSED,Удаление блюд со списанием,8.0,42.0,42.0,42.0,5171.210000000002
2026-02-01,2026-05-17,2026-03,DELETED,Расход продуктов,1.0,1.0,1.0,1.0,0.0
2026-02-01,2026-05-17,2026-04,PROCESSED,Расход продуктов,96.0,568.0,568.0,568.0,89779.31999999998
2026-02-01,2026-05-17,2026-04,PROCESSED,Удаление блюд со списанием,4.0,10.0,10.0,10.0,1244.99
2026-02-01,2026-05-17,2026-04,PROCESSED,Оплата недорогих продуктов через фронт,1.0,7.0,7.0,7.0,528.64
2026-02-01,2026-05-17,2026-05,PROCESSED,Расход продуктов,40.0,326.0,326.0,326.0,41143.92999999998
2026-02-01,2026-05-17,2026-05,PROCESSED,Удаление блюд со списанием,3.0,7.0,7.0,7.0,1094.34
