period_start,period_end,order_deleted,cancel_cause,storned,removal_type,deleted_with_writeoff,cases_orders,known_return_loss_without_vat,canceled_order_amount,removal_amount,loss_amount_estimate
2025-11-01,2026-05-17,DELETED,Отказ клиента,FALSE,Без списания,DELETED_WITHOUT_WRITEOFF,119.0,0.0,0.0,242824.0,242824.0
2025-11-01,2026-05-17,NOT_DELETED,(пусто),TRUE,(пусто),NOT_DELETED,73.0,163092.99,0.0,0.0,163092.99
2025-11-01,2026-05-17,DELETED,Отказ клиента,FALSE,Со списанием,DELETED_WITH_WRITEOFF,74.0,0.0,0.0,82928.0,82928.0
2025-11-01,2026-05-17,NOT_DELETED,(пусто),FALSE,Без списания,DELETED_WITHOUT_WRITEOFF,88.0,0.0,0.0,46909.0,46909.0
2025-11-01,2026-05-17,NOT_DELETED,(пусто),FALSE,Со списанием,DELETED_WITH_WRITEOFF,7.0,0.0,0.0,8675.0,8675.0
2025-11-01,2026-05-17,NOT_DELETED,(пусто),TRUE,(пусто),DELETED_WITHOUT_WRITEOFF,17.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,DELETED,Отказ клиента,FALSE,(пусто),DELETED_WITHOUT_WRITEOFF,352.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,NOT_DELETED,(пусто),TRUE,Со списанием,DELETED_WITH_WRITEOFF,1.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,NOT_DELETED,(пусто),TRUE,Без списания,DELETED_WITHOUT_WRITEOFF,1.0,0.0,0.0,0.0,0.0
2025-11-01,2026-05-17,DELETED,(пусто),FALSE,(пусто),DELETED_WITHOUT_WRITEOFF,3.0,0.0,0.0,0.0,0.0
