period_start,period_end,department_scope,department,origin_name,order_type,service_type,pay_types,orders,revenue,avg_check,gross_sum,discount_sum,discount_share_of_gross
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка Курьер Стартер,COURIER,Банковские карты,5950.0,10730906.350000001,1803.5136722689078,12817732.64,1858349.18,0.14498267612484697
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка Курьер Стартер,COURIER,Оплата онлайн,2722.0,4792801.47,1760.7646840558411,5703873.390000001,817772.26,0.1433713906472247
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка Курьер Стартер,COURIER,Наличные,1353.0,2332179.65,1723.710014781966,2810747.9699999997,409091.0900000001,0.14554527633439868
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка курьером,COURIER,Банковские карты,922.0,1895246.2899999998,2055.5816594360085,2134425.54,87367.71,0.04093265769299219
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз Стартер,PICKUP,Банковские карты,1402.0,1890504.24,1348.4338373751782,2313982.1799999997,395178.85000000003,0.1707786919949401
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Доставка курьером,COURIER,Наличные,552.0,1632720.9300000002,2957.8277717391306,1749500.46,52855.07,0.03021152106470438
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Самовывоз,PICKUP,Банковские карты,921.0,908849.56,986.8073398479913,1060593.69,51729.39,0.048773993743070454
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз Стартер,PICKUP,Оплата онлайн,360.0,433041.0,1202.8916666666667,528585.12,89188.45,0.16873053482852488
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз Стартер,PICKUP,Наличные,279.0,418648.44999999995,1500.5320788530464,506689.7,85954.01000000001,0.1696383605192685
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,(пусто),Самовывоз,PICKUP,Наличные,303.0,281016.81,927.4482178217821,316291.31000000006,18844.24,0.05957874719985193
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Самовывоз,PICKUP,Банковские карты,50.0,94744.95,1894.899,112583.03,15490.08,0.1375880539011963
2025-11-01,2026-05-17,active_chernikova,Foodmarket Тепло Черникова,site,Доставка курьером,COURIER,Банковские карты,18.0,30959.0,1719.9444444444443,35732.0,4659.0,0.13038732788536886
