field,title,source_file,safe_for_aggregate_grouping,reason
Дата создания клиента,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
Комментарий к клиенту,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
НДС платит гость,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
Номер карты клиента,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
Отзыв клиента,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
Реклама клиента,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
Телефон клиента,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
Тип карты клиента,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
ФИО клиента,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
Ценовая категория клиента,,research/raw/iiko/orders_delivery/olap_columns_deliveries.json,False,schema candidate may be personal or unclear
