promo_set_name,promo_product_id,promo_deleted,promo_in_menu,promo_default_sale_price,promo_group_name,promo_category_name,discovery_scope,structure_row_type,component_group_name,component_name,component_product_id,component_type,component_deleted,modifier_level,modifier_minimum_amount,modifier_maximum_amount,modifier_default_amount,modifier_free_of_charge_amount,sales_orders,sales_amount,sales_revenue,sales_product_cost,component_has_own_cost,cooking_place,restaurant_section,source,comment,component_olap_top_group,component_olap_dish_group,component_olap_category,assembly_chart_count,assembly_item_count,prepared_chart_count
Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,False,True,1099,Акционные предложения,Акционные товары,active_group;active_category,promo_product,,Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,DISH,False,0,,,,,578.0,581.0,736488.73,0.0,False,Суши,Бар,products/list; OLAP parent line; assemblyCharts/getTree,"assemblyCharts: charts=1, items=0, prepared=1",Акционные предложения,Акционные предложения,Акционные товары,1,0,1
Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,False,True,1099,Акционные предложения,Акционные товары,active_group;active_category,modifier_group,Пицца 30см на выбор,Пицца 30см на выбор,3412e847-c825-4e10-b5ae-999f30b74e66,GROUP,False,1,1,1,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,False,True,1099,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Пицца 30см на выбор,Пепперони лайт 30см,fd44c116-d10b-4de7-af9d-331d757e3401,MODIFIER,False,2,0,0,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,False,True,1099,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Пицца 30см на выбор,Цыпленок гриль 30 см,f9b8f343-a91b-4784-bc0d-4ccd615f081f,MODIFIER,False,2,0,0,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,False,True,1099,Акционные предложения,Акционные товары,active_group;active_category,modifier_group,Сет в наборе,Сет в наборе,bcc2a138-ce97-4288-bde5-196cd05bda03,GROUP,False,1,1,1,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,False,True,1099,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Сет в наборе,Сет Эдо,713ab914-1ec9-4448-a5c2-85110f6361f3,MODIFIER,False,2,0,0,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,False,True,1999,Акционные предложения,Акционные товары,active_group;active_category,promo_product,,Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,DISH,False,0,,,,,525.0,531.0,784115.8800000001,0.0,False,Пицца,Бар,products/list; OLAP parent line; assemblyCharts/getTree,"assemblyCharts: charts=1, items=0, prepared=1",Акционные предложения,Акционные предложения,Акционные товары,1,0,1
Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,False,True,1999,Акционные предложения,Акционные товары,active_group;active_category,modifier_group,Пицца 30см на выбор,Пицца 30см на выбор,c3284cdb-ffb0-4e47-a213-e6ae84f01dfd,GROUP,False,1,1,1,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,False,True,1999,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Пицца 30см на выбор,4 мяса 30см,39ba6c71-8245-4275-ad43-c4bb5a6a8094,MODIFIER,False,2,0,0,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,False,True,1999,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Пицца 30см на выбор,Пикник 30 см,fb783a67-4aa7-4561-b8b9-2f767710f423,MODIFIER,False,2,0,0,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,False,True,1999,Акционные предложения,Акционные товары,active_group;active_category,modifier_group,Сет в наборе,Сет в наборе,5e23f834-94b3-46a4-9661-04a405477f6d,GROUP,False,1,1,1,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,False,True,1999,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Сет в наборе,Сет Пятница,d54ffd0d-058a-4bf9-aeb0-459975034e25,MODIFIER,False,2,0,0,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №3,18c85c8e-e8ad-4db9-9ffd-bc82f76bb7e4,False,True,2399,Акционные предложения,Акционные товары,active_group;active_category,promo_product,,Акционный набор №3,18c85c8e-e8ad-4db9-9ffd-bc82f76bb7e4,DISH,False,0,,,,,234.0,238.0,577757.14,0.0,False,Суши,Бар,products/list; OLAP parent line; assemblyCharts/getTree,"assemblyCharts: charts=1, items=0, prepared=1",Акционные предложения,Акционные предложения,Акционные товары,1,0,1
Акционный набор №3,18c85c8e-e8ad-4db9-9ffd-bc82f76bb7e4,False,True,2399,Акционные предложения,Акционные товары,active_group;active_category,modifier_group,Сет в наборе,Сет в наборе,557afd88-23aa-44fb-8809-1dbddd11d81d,GROUP,False,1,1,1,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №3,18c85c8e-e8ad-4db9-9ffd-bc82f76bb7e4,False,True,2399,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Сет в наборе,Сет Большой куш,173a2f48-4494-4fb4-91ef-cb006b99ed66,MODIFIER,False,2,0,0,1,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №3,18c85c8e-e8ad-4db9-9ffd-bc82f76bb7e4,False,True,2399,Акционные предложения,Акционные товары,active_group;active_category,modifier_group,Пиццы,Пиццы,91856745-cb59-43f2-82eb-592d261d4a7b,GROUP,False,1,1,1,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
