month,opiu_direction,olap_direction,revenue_without_discount,revenue_with_discount,discount_amount,food_cost,gross_margin,gm_pct,source
2025-11,Бар,Бар,79662.00,67105.95,12556.05,29203.82,37902.13,0.564810,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2025-11,ГЦ,Шаурма,580220.00,522995.08,57224.92,162185.86,360809.22,0.689890,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2025-11,Пицца,Пицца,1187831.00,1076745.39,111085.61,352487.45,724257.94,0.672636,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2025-11,Роллы,"Специи, роллы Черникова",132760.00,120770.15,11989.85,60221.34,60548.81,0.501356,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2025-11,Роллы,Суши,2259099.00,2027646.80,231452.20,806537.40,1221109.41,0.602230,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2025-12,Бар,Бар,91636.00,77717.33,13918.67,33544.83,44172.50,0.568374,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2025-12,ГЦ,Шаурма,661912.00,589029.80,72882.20,186015.21,403014.59,0.684201,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2025-12,Пицца,Пицца,1547460.00,1361108.91,186351.09,436854.11,924254.80,0.679045,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2025-12,Роллы,"Специи, роллы Черникова",145810.00,127409.01,18400.99,54996.65,72412.36,0.568346,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2025-12,Роллы,Суши,2548239.00,2209252.47,338986.53,842889.44,1366363.03,0.618473,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2026-01,Бар,Бар,75581.00,63444.54,12136.46,29158.79,34285.75,0.540405,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2026-01,ГЦ,Шаурма,564253.00,492766.26,71486.74,153372.47,339393.79,0.688752,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
2026-01,Пицца,Пицца,1374065.00,1204110.74,169954.26,366848.67,837262.07,0.695336,iiko OLAP byPresetId=73a25778-dafb-4065-a820-1e9c7da6fed6 (Отчет о выручки по направлениям)
