month,metric,Роллы,Пицца,ГЦ,Бар,Total
2025-11,revenue_without_discount,2391859.00,1187831.00,580220.00,79662.00,4239572.00
2025-11,revenue_with_discount,2148416.95,1076745.39,522995.08,67105.95,3815263.37
2025-11,discount,243442.05,111085.61,57224.92,12556.05,424308.63
2025-11,food_cost,866758.74,352487.45,162185.86,29203.82,1410635.87
2025-11,gross_margin,1281658.22,724257.94,360809.22,37902.13,2404627.51
2025-12,revenue_without_discount,2694049.00,1547460.00,661912.00,91636.00,4995057.00
2025-12,revenue_with_discount,2336661.48,1361108.91,589029.80,77717.33,4364517.52
2025-12,discount,357387.52,186351.09,72882.20,13918.67,630539.48
2025-12,food_cost,897886.09,436854.11,186015.21,33544.83,1554300.24
2025-12,gross_margin,1438775.39,924254.80,403014.59,44172.50,2810217.28
2026-01,revenue_without_discount,2675154.00,1374065.00,564253.00,75581.00,4689053.00
2026-01,revenue_with_discount,2335593.57,1204110.74,492766.26,63444.54,4095915.11
2026-01,discount,339560.43,169954.26,71486.74,12136.46,593137.89
2026-01,food_cost,841386.38,366848.67,153372.47,29158.79,1390766.31
2026-01,gross_margin,1494207.19,837262.07,339393.79,34285.75,2705148.80
2026-02,revenue_without_discount,2614845.00,1287464.00,536244.00,69239.00,4507792.00
2026-02,revenue_with_discount,2200596.20,1105319.76,468410.14,59271.72,3833597.82
2026-02,discount,414248.80,182144.24,67833.86,9967.28,674194.18
2026-02,food_cost,736706.27,311184.66,135951.05,24792.80,1208634.78
2026-02,gross_margin,1463889.93,794135.09,332459.09,34478.92,2624963.03
2026-03,revenue_without_discount,2694067.00,1396492.00,530437.00,68419.00,4689415.00
2026-03,revenue_with_discount,2280012.17,1213642.01,456792.15,56088.45,4006534.78
2026-03,discount,414054.83,182849.99,73644.85,12330.55,682880.22
2026-03,food_cost,736590.47,334972.54,130999.45,24454.66,1227017.12
2026-03,gross_margin,1543421.70,878669.47,325792.70,31633.79,2779517.66
2026-04,revenue_without_discount,2275346.00,1156682.00,486188.00,57306.00,3975522.00
2026-04,revenue_with_discount,1869890.00,988915.83,420492.99,46845.49,3326144.31
2026-04,discount,405456.00,167766.17,65695.01,10460.51,649377.69
2026-04,food_cost,609696.20,281239.59,120414.59,22611.82,1033962.20
2026-04,gross_margin,1260193.80,707676.24,300078.40,24233.67,2292182.11
2026-05,revenue_without_discount,1527667.00,823975.00,322554.00,38129.00,2712325.00
2026-05,revenue_with_discount,1273816.67,693728.35,278896.11,30567.77,2277008.90
2026-05,discount,253850.33,130246.65,43657.89,7561.23,435316.10
2026-05,food_cost,396388.09,226225.56,78325.21,15177.46,716116.32
2026-05,gross_margin,877428.58,467502.79,200570.90,15390.31,1560892.58
