month,metric,revenue_by_direction,iiko_monthly_gross_margin,delta,delta_pct
2025-11,revenue_without_discount,4239572.00,4468475.00,-228903.00,-0.051226
2025-11,revenue_with_discount,3815263.37,3815263.37,0.00,0.000000
2025-11,food_cost,1410635.87,1458906.73,-48270.86,-0.033087
2025-12,revenue_without_discount,4995057.00,5280739.00,-285682.00,-0.054099
2025-12,revenue_with_discount,4364517.52,4364517.52,0.00,0.000000
2025-12,food_cost,1554300.24,1620347.26,-66047.02,-0.040761
2026-01,revenue_without_discount,4689053.00,4934984.00,-245931.00,-0.049834
2026-01,revenue_with_discount,4095915.11,4095915.11,0.00,0.000000
2026-01,food_cost,1390766.31,1438805.96,-48039.65,-0.033389
2026-02,revenue_without_discount,4507792.00,4793059.00,-285267.00,-0.059517
2026-02,revenue_with_discount,3833597.82,3833597.82,0.00,0.000000
2026-02,food_cost,1208634.78,1268227.04,-59592.26,-0.046989
2026-03,revenue_without_discount,4689415.00,5133318.00,-443903.00,-0.086475
2026-03,revenue_with_discount,4006534.78,4006534.78,0.00,0.000000
2026-03,food_cost,1227017.12,1316669.50,-89652.38,-0.068090
2026-04,revenue_without_discount,3975522.00,4240671.00,-265149.00,-0.062525
2026-04,revenue_with_discount,3326144.31,3326144.31,0.00,0.000000
2026-04,food_cost,1033962.20,1081654.90,-47692.70,-0.044092
