date,weekday,department,orders,gross_sum,revenue,discount_sum,discount_without_vat,discount_share_of_gross,dish_amount,avg_check,product_cost,food_cost_pct,gross_margin
2025-05-01,Четверг,Foodmarket Тепло Черникова,101.0,182207.0,159343.7,20224.3,14172.3,0.11099628444571284,742.0,1577.6603960396042,58873.958050063186,0.36947778952078547,100469.74194993683
2025-05-02,Пятница,Foodmarket Тепло Черникова,112.0,176660.0,151771.2,21710.8,17726.8,0.12289595833805049,703.0,1355.1000000000001,57133.4170628018,0.37644439170805655,94637.78293719821
2025-05-03,Суббота,Foodmarket Тепло Черникова,94.0,129946.0,114982.0,11396.0,11396.0,0.08769796684776754,536.0,1223.212765957447,41354.341386824904,0.3596592630744369,73627.6586131751
2025-05-04,Воскресенье,Foodmarket Тепло Черникова,93.0,144941.0,124108.6,16931.4,14550.4,0.11681580781145433,580.0,1334.5010752688172,46720.77295908323,0.37645072911211014,77387.82704091677
2025-05-05,Понедельник,Foodmarket Тепло Черникова,63.0,115256.0,105189.05,9324.95,9324.95,0.08090641701950442,541.0,1669.6674603174604,37184.44748091603,0.3535011246980178,68004.60251908397
2025-05-06,Вторник,Foodmarket Тепло Черникова,65.0,110817.0,100892.2,8702.8,7554.8,0.07853307705496448,453.0,1552.1876923076923,35734.88486446886,0.3541887763818101,65157.315135531135
2025-05-07,Среда,Foodmarket Тепло Черникова,106.0,180979.0,146636.05,16811.95,13613.95,0.09289447946999375,807.0,1383.358962264151,57278.959258206,0.3906199004829031,89357.09074179399
2025-05-08,Четверг,Foodmarket Тепло Черникова,96.0,157638.0,138519.8,16419.2,11327.2,0.10415762696811683,715.0,1442.9145833333332,51916.8012407246,0.37479696939155704,86602.99875927539
2025-05-09,Пятница,Foodmarket Тепло Черникова,159.0,265112.0,234364.65,21051.35,21016.35,0.07940549654485651,1091.0,1473.9915094339622,87790.33311269143,0.3745886297813746,146574.31688730855
2025-05-10,Суббота,Foodmarket Тепло Черникова,83.0,145126.0,127509.41,11789.59,10571.59,0.08123692515469316,571.0,1536.257951807229,46329.62801851852,0.3633428153931425,81179.78198148149
2025-05-11,Воскресенье,Foodmarket Тепло Черникова,75.0,120914.0,106180.1,12902.9,11433.9,0.10671138164315133,514.0,1415.7346666666667,39233.277579015965,0.36949746307468123,66946.82242098404
2025-05-12,Понедельник,Foodmarket Тепло Черникова,65.0,112185.0,103672.05,7656.95,6516.95,0.06825288585818068,449.0,1594.9546153846154,36228.52977652782,0.3494532014803201,67443.52022347218
2025-05-13,Вторник,Foodmarket Тепло Черникова,63.0,101124.0,87996.0,9149.0,8520.0,0.09047308255211424,450.0,1396.7619047619048,32243.533586466165,0.366420446230126,55752.46641353384
2025-05-14,Среда,Foodmarket Тепло Черникова,67.0,125363.0,99273.9,9387.1,9387.1,0.07487935036653558,574.0,1481.6999999999998,39327.9651037629,0.39615614077580213,59945.93489623709
2025-05-15,Четверг,Foodmarket Тепло Черникова,72.0,112819.0,94070.0,11179.0,10271.0,0.09908791958801266,520.0,1306.5277777777778,36739.060089324616,0.3905502295027598,57330.939910675384
2025-05-16,Пятница,Foodmarket Тепло Черникова,91.0,148088.0,136093.0,8031.0,7472.0,0.054231267894765275,676.0,1495.5274725274726,48620.53033751209,0.3572595970219783,87472.46966248791
2025-05-17,Суббота,Foodmarket Тепло Черникова,107.0,194213.0,177831.05,12225.95,10258.95,0.06295124425244449,847.0,1661.972429906542,63937.52266457951,0.35954082633251905,113893.52733542048
2025-05-18,Воскресенье,Foodmarket Тепло Черникова,69.0,104131.0,95035.0,7137.0,7137.0,0.06853866763979986,474.0,1377.3188405797102,32653.622345238095,0.34359575256734987,62381.377654761905
2025-05-19,Понедельник,Foodmarket Тепло Черникова,74.0,139470.0,116150.35,10641.65,10633.65,0.07630063813006381,539.0,1569.5993243243245,43545.11462394105,0.3749029996374617,72605.23537605896
2025-05-20,Вторник,Foodmarket Тепло Черникова,51.0,71856.0,62375.15,6532.85,5863.85,0.09091585949677132,309.0,1223.042156862745,22353.285668498167,0.35836844750671004,40021.864331501834
2025-05-21,Среда,Foodmarket Тепло Черникова,65.0,97671.0,80049.9,7976.1,5215.1,0.08166292963110852,447.0,1231.536923076923,30901.016398496242,0.3860219238062289,49148.88360150375
2025-05-22,Четверг,Foodmarket Тепло Черникова,89.0,162259.0,141578.85,11043.15,11043.15,0.06805878256367906,733.0,1590.773595505618,50790.10687761415,0.3587407785669551,90788.74312238586
2025-05-23,Пятница,Foodmarket Тепло Черникова,122.0,211117.0,181399.65,15091.35,14811.35,0.07148334809607942,856.0,1486.8823770491804,67295.25506318673,0.3709778660718846,114104.39493681326
2025-05-24,Суббота,Foodmarket Тепло Черникова,163.0,380511.0,283949.93,16625.07,16625.07,0.043691430733934104,1262.0,1742.0241104294478,123522.81426678061,0.43501618143304566,160427.11573321937
2025-05-25,Воскресенье,Foodmarket Тепло Черникова,77.0,130578.0,117417.65,12258.35,8689.35,0.0938776057222503,601.0,1524.9045454545453,42307.21495926245,0.36031393030998704,75110.43504073755
2025-05-26,Понедельник,Foodmarket Тепло Черникова,72.0,118612.0,108516.0,7531.0,6512.0,0.0634927326071561,519.0,1507.1666666666667,37426.192246699036,0.34489100452190496,71089.80775330096
2025-05-27,Вторник,Foodmarket Тепло Черникова,104.0,191645.0,126831.55,21110.45,6078.95,0.1101539304443111,816.0,1219.5341346153846,58485.701370459035,0.46112896491810623,68345.84862954097
2025-05-28,Среда,Foodmarket Тепло Черникова,78.0,164797.0,148866.75,6760.25,6760.25,0.04102168121992512,699.0,1908.548076923077,49582.050411922166,0.33306329594702755,99284.69958807784
2025-05-29,Четверг,Foodmarket Тепло Черникова,73.0,139145.0,128983.5,9411.5,8722.5,0.06763807538898271,621.0,1766.8972602739725,43829.7752481203,0.3398091635606128,85153.7247518797
2025-05-30,Пятница,Foodmarket Тепло Черникова,114.0,215312.0,196665.2,13475.8,12686.8,0.06258731515196551,1015.0,1725.1333333333334,68084.04277556963,0.3461926297869152,128581.15722443038
2025-05-31,Суббота,Foodmarket Тепло Черникова,103.0,194837.0,173729.1,13017.9,12457.9,0.06681431145008392,804.0,1686.690291262136,60628.16501133359,0.3489810573550061,113100.93498866641
2025-06-01,Воскресенье,Foodmarket Тепло Черникова,151.0,255395.0,225935.7,16724.3,16198.3,0.06548405411225748,1073.0,1496.2629139072849,80543.09630206626,0.35648680709629443,145392.60369793375
2025-06-02,Понедельник,Foodmarket Тепло Черникова,78.0,118851.0,100585.55,13710.45,13091.45,0.11535830577782266,467.0,1289.5583333333334,36618.307357142854,0.3640513707698855,63967.24264285715
2025-06-03,Вторник,Foodmarket Тепло Черникова,72.0,101973.0,81551.55,17115.45,15757.45,0.1678429584301727,438.0,1132.6604166666666,31669.63482142857,0.38833884606029645,49881.915178571435
2025-06-04,Среда,Foodmarket Тепло Черникова,74.0,110616.0,97704.25,10152.75,10152.75,0.09178373833803428,499.0,1320.3277027027027,35271.37,0.3610013893970836,62432.88
2025-06-05,Четверг,Foodmarket Тепло Черникова,65.0,107166.0,97059.3,8913.7,7824.7,0.08317656719481926,418.0,1493.22,34624.20708578143,0.3567325035909123,62435.09291421857
2025-06-06,Пятница,Foodmarket Тепло Черникова,94.0,150539.0,134954.25,7914.75,7364.75,0.05257607663130485,652.0,1435.6835106382978,47870.62084795784,0.35471740125233436,87083.62915204215
2025-06-07,Суббота,Foodmarket Тепло Черникова,97.0,155408.0,136444.05,13561.95,12169.95,0.08726674302481212,712.0,1406.6396907216495,49621.78238184319,0.36367860952414705,86822.2676181568
2025-06-08,Воскресенье,Foodmarket Тепло Черникова,61.0,86059.0,79911.0,5110.0,5110.0,0.05937786867149281,415.0,1310.016393442623,27819.001403547096,0.34812480639144916,52091.998596452904
2025-06-09,Понедельник,Foodmarket Тепло Черникова,45.0,82339.0,75948.87,4991.13,4991.13,0.06061684013650882,363.0,1687.7526666666665,26589.5475,0.35009800014141096,49359.322499999995
2025-06-10,Вторник,Foodmarket Тепло Черникова,76.0,126745.0,114367.05,9192.95,9162.95,0.07253106631425303,554.0,1504.8296052631579,40722.41460479063,0.3560677188472609,73644.63539520936
2025-06-11,Среда,Foodmarket Тепло Черникова,120.0,176532.0,162608.1,11789.9,11401.9,0.0667861917386083,752.0,1355.0675,57045.685464290436,0.3508169978266177,105562.41453570957
2025-06-12,Четверг,Foodmarket Тепло Черникова,109.0,189457.0,171446.0,11632.0,11482.0,0.06139651741556131,858.0,1572.8990825688074,59482.62037519361,0.3469466792762363,111963.37962480639
2025-06-13,Пятница,Foodmarket Тепло Черникова,75.0,122563.0,111233.85,6884.15,6884.15,0.056168256325318404,473.0,1483.1180000000002,38894.08042036125,0.3496604713435815,72339.76957963876
2025-06-14,Суббота,Foodmarket Тепло Черникова,84.0,125633.0,103655.85,11079.15,11009.15,0.08818662294142462,535.0,1233.9982142857143,37929.99024356436,0.36592233090138526,65725.85975643565
2025-06-15,Воскресенье,Foodmarket Тепло Черникова,82.0,137182.0,113615.45,9625.55,7203.55,0.07016627545887943,617.0,1385.554268292683,42887.000000376436,0.3774750705152903,70728.44999962355
2025-06-16,Понедельник,Foodmarket Тепло Черникова,71.0,120694.0,103458.2,9106.8,7589.8,0.0754536265265879,515.0,1457.1577464788732,36294.20857251465,0.35081036179360026,67163.99142748534
2025-06-17,Вторник,Foodmarket Тепло Черникова,69.0,112131.0,102633.9,8214.1,5437.1,0.07325449697229135,402.0,1487.4478260869564,35845.058254591066,0.34925164350756494,66788.84174540892
2025-06-18,Среда,Foodmarket Тепло Черникова,69.0,127617.0,99232.4,14435.6,7891.6,0.11311659104978178,489.0,1438.1507246376812,40184.12515497076,0.40494964502491887,59048.274845029235
2025-06-19,Четверг,Foodmarket Тепло Черникова,77.0,123019.0,112528.65,7510.35,7510.35,0.06105032555946643,520.0,1461.411038961039,38642.81457074814,0.34340423146237103,73885.83542925186
2025-06-20,Пятница,Foodmarket Тепло Черникова,116.0,183532.0,166971.5,12532.5,10993.5,0.06828509469738248,787.0,1439.4094827586207,59560.318812805,0.3567094912173934,107411.181187195
2025-06-21,Суббота,Foodmarket Тепло Черникова,82.0,132140.0,120230.45,9741.55,9741.55,0.07372143181474193,598.0,1466.225,42811.565384513895,0.3560792243937696,77418.88461548611
2025-06-22,Воскресенье,Foodmarket Тепло Черникова,68.0,107726.0,95085.1,10680.9,9361.9,0.09914876631453873,461.0,1398.3102941176471,34308.55492857143,0.36081946517983815,60776.545071428576
2025-06-23,Понедельник,Foodmarket Тепло Черникова,83.0,133641.0,116669.3,10620.7,9991.7,0.07947186866306,589.0,1405.6542168674698,43025.514696362705,0.36878180203672006,73643.7853036373
2025-06-24,Вторник,Foodmarket Тепло Черникова,72.0,127375.0,111797.2,7857.8,7707.8,0.06169028459273798,593.0,1552.7388888888888,39728.46693983957,0.3553619137137564,72068.73306016042
2025-06-25,Среда,Foodmarket Тепло Черникова,79.0,136362.0,118614.7,8335.3,7646.3,0.06112626684853551,560.0,1501.4518987341771,42968.22223321785,0.36225039757481875,75646.47776678215
2025-06-26,Четверг,Foodmarket Тепло Черникова,62.0,100169.0,92390.35,6447.65,5368.65,0.06436771855564097,454.0,1490.1669354838712,32616.993129120878,0.3530346310964389,59773.35687087913
2025-06-27,Пятница,Foodmarket Тепло Черникова,125.0,215589.0,201208.75,9743.25,9673.25,0.04519363232818001,987.0,1609.67,69307.98067865247,0.3444580848429925,131900.76932134753
2025-06-28,Суббота,Foodmarket Тепло Черникова,102.0,182350.0,166902.15,12064.85,12004.85,0.06616314779270634,747.0,1636.295588235294,58922.27482284854,0.35303484600317336,107979.87517715145
2025-06-29,Воскресенье,Foodmarket Тепло Черникова,85.0,132534.0,119617.09,9219.91,9219.91,0.06956637542064678,568.0,1407.259882352941,42270.04265602837,0.3533779550733793,77347.04734397163
2025-06-30,Понедельник,Foodmarket Тепло Черникова,63.0,101403.0,94140.97,6249.03,5521.03,0.06162569154758735,451.0,1494.3011111111111,32939.891728537725,0.3498996422974792,61201.07827146228
2025-07-01,Вторник,Foodmarket Тепло Черникова,83.0,137867.0,125057.49,9198.51,9198.51,0.06672017234000885,588.0,1506.7167469879519,44912.00998645564,0.3591309084042518,80145.48001354437
2025-07-02,Среда,Foodmarket Тепло Черникова,91.0,144560.0,120185.25,16504.75,14936.75,0.11417231599335916,607.0,1320.717032967033,46331.240363837525,0.3854985563023543,73854.00963616247
2025-07-03,Четверг,Foodmarket Тепло Черникова,65.0,114053.0,101109.5,10529.5,8574.5,0.09232111386811395,473.0,1555.5307692307692,37114.503549723144,0.36707236757894307,63994.996450276856
2025-07-04,Пятница,Foodmarket Тепло Черникова,103.0,174214.0,149477.9,18156.1,18156.1,0.1042172270885233,697.0,1451.2417475728155,56891.82334338405,0.38060357647106396,92586.07665661594
2025-07-05,Суббота,Foodmarket Тепло Черникова,111.0,171079.0,150969.05,14134.95,12416.95,0.08262235575377458,735.0,1360.0815315315315,55521.780487692005,0.367769291041389,95447.26951230798
2025-07-06,Воскресенье,Foodmarket Тепло Черникова,65.0,103044.0,91311.25,8273.75,7081.75,0.08029336982260006,451.0,1404.7884615384614,33384.885002927105,0.36561633974923247,57926.364997072895
2025-07-07,Понедельник,Foodmarket Тепло Черникова,72.0,114900.0,106235.8,6804.2,6804.2,0.059218450826805914,486.0,1475.4972222222223,36521.5201388814,0.3437778991534059,69714.2798611186
2025-07-08,Вторник,Foodmarket Тепло Черникова,89.0,150847.0,130724.87,12607.13,10149.13,0.08357560972375982,686.0,1468.8187640449437,48890.51903234483,0.37399554524204026,81834.35096765516
2025-07-09,Среда,Foodmarket Тепло Черникова,59.0,96226.0,79398.5,7638.5,7518.5,0.07938083262319955,396.0,1345.7372881355932,29580.783342172635,0.3725609846807261,49817.71665782736
2025-07-10,Четверг,Foodmarket Тепло Черникова,67.0,105237.0,94781.0,7171.0,5861.0,0.06814143314613681,509.0,1414.641791044776,35810.208481525784,0.3778205387316633,58970.791518474216
2025-07-11,Пятница,Foodmarket Тепло Черникова,97.0,143729.0,132396.75,9298.25,9059.25,0.06469292905398354,642.0,1364.9149484536083,48061.33971879882,0.36300996602106034,84335.41028120118
2025-07-12,Суббота,Foodmarket Тепло Черникова,102.0,176780.0,162211.75,10764.25,10826.25,0.06089065505147641,823.0,1590.311274509804,58891.8271598419,0.3630552482162476,103319.9228401581
2025-07-13,Воскресенье,Foodmarket Тепло Черникова,68.0,105183.0,92801.45,6925.55,7123.55,0.06584286434119582,426.0,1364.7272058823528,33809.72877011869,0.3643232812646644,58991.72122988131
2025-07-14,Понедельник,Foodmarket Тепло Черникова,73.0,112214.0,103172.4,5819.6,6089.6,0.05186162154454881,543.0,1413.3205479452054,36852.034280832355,0.35718888269374716,66320.36571916763
