date,weekday,hour,department,orders,revenue,gross_sum,discount_sum,dish_amount,avg_check
2025-11-01,Суббота,8,Foodmarket Тепло Черникова,1.0,1100.0,1100.0,0.0,5.0,1100.0
2025-11-01,Суббота,9,Foodmarket Тепло Черникова,2.0,6785.0,6785.0,0.0,40.0,3392.5
2025-11-01,Суббота,10,Foodmarket Тепло Черникова,6.0,10580.0,11189.0,609.0,38.0,1763.3333333333333
2025-11-01,Суббота,11,Foodmarket Тепло Черникова,4.0,6174.0,6452.0,278.0,28.0,1543.5
2025-11-01,Суббота,12,Foodmarket Тепло Черникова,6.0,9775.15,10262.0,486.85,49.0,1629.1916666666666
2025-11-01,Суббота,13,Foodmarket Тепло Черникова,6.0,10091.3,12099.0,2007.7,48.0,1681.8833333333332
2025-11-01,Суббота,14,Foodmarket Тепло Черникова,7.0,11350.35,12853.0,1392.65,48.0,1621.4785714285715
2025-11-01,Суббота,15,Foodmarket Тепло Черникова,12.0,18369.0,20934.0,1166.0,90.0,1530.75
2025-11-01,Суббота,16,Foodmarket Тепло Черникова,13.0,23997.0,25437.0,1330.0,89.0,1845.923076923077
2025-11-01,Суббота,17,Foodmarket Тепло Черникова,22.0,34331.0,39403.0,3370.0,171.0,1560.5
2025-11-01,Суббота,18,Foodmarket Тепло Черникова,20.0,22150.0,31062.0,3320.0,130.0,1107.5
2025-11-01,Суббота,19,Foodmarket Тепло Черникова,11.0,15358.83,16752.0,1393.17,88.0,1396.2572727272727
2025-11-01,Суббота,20,Foodmarket Тепло Черникова,9.0,13260.0,14447.0,648.0,60.0,1473.3333333333333
2025-11-01,Суббота,21,Foodmarket Тепло Черникова,7.0,7310.0,7998.0,389.0,31.0,1044.2857142857142
2025-11-01,Суббота,22,Foodmarket Тепло Черникова,2.0,1819.0,1819.0,0.0,6.0,909.5
2025-11-02,Воскресенье,0,Foodmarket Тепло Черникова,1.0,0.0,3491.0,3491.0,8.0,0.0
2025-11-02,Воскресенье,7,Foodmarket Тепло Черникова,1.0,3491.0,3491.0,0.0,10.0,3491.0
2025-11-02,Воскресенье,9,Foodmarket Тепло Черникова,2.0,570.0,2808.0,2238.0,19.0,285.0
2025-11-02,Воскресенье,10,Foodmarket Тепло Черникова,7.0,9707.55,10992.0,1284.45,66.0,1386.792857142857
2025-11-02,Воскресенье,11,Foodmarket Тепло Черникова,7.0,13540.0,15102.0,1452.0,65.0,1934.2857142857142
2025-11-02,Воскресенье,12,Foodmarket Тепло Черникова,7.0,8738.0,10174.0,1216.0,59.0,1248.2857142857142
2025-11-02,Воскресенье,13,Foodmarket Тепло Черникова,10.0,20434.6,21961.0,1526.4,82.0,2043.4599999999998
2025-11-02,Воскресенье,14,Foodmarket Тепло Черникова,5.0,6294.0,6542.0,138.0,30.0,1258.8
2025-11-02,Воскресенье,15,Foodmarket Тепло Черникова,16.0,19881.0,24389.0,4288.0,100.0,1242.5625
2025-11-02,Воскресенье,16,Foodmarket Тепло Черникова,8.0,15995.0,16652.0,657.0,56.0,1999.375
2025-11-02,Воскресенье,17,Foodmarket Тепло Черникова,14.0,20900.0,22144.0,1014.0,97.0,1492.857142857143
2025-11-02,Воскресенье,18,Foodmarket Тепло Черникова,11.0,17022.0,18095.0,1043.0,100.0,1547.4545454545455
2025-11-02,Воскресенье,19,Foodmarket Тепло Черникова,8.0,13387.0,13768.0,380.0,79.0,1673.375
2025-11-02,Воскресенье,20,Foodmarket Тепло Черникова,7.0,9678.0,10267.0,589.0,54.0,1382.5714285714287
2025-11-02,Воскресенье,21,Foodmarket Тепло Черникова,6.0,7216.0,7551.0,195.0,46.0,1202.6666666666667
2025-11-03,Понедельник,6,Foodmarket Тепло Черникова,1.0,2614.0,2804.0,190.0,12.0,2614.0
2025-11-03,Понедельник,8,Foodmarket Тепло Черникова,1.0,2875.0,3344.0,469.0,14.0,2875.0
