email,counterparty_id,working_name,legal_name,document_purpose,accounting_block,document_types,match_priority,status,source_note,confirmed_at
account@lemma.ru,CP-0017,Лемма,ООО «ЛЕММА»,Счета и УПД за техническую поддержку iiko по месяцу услуги,Оплаты систем автоматизации,"PDF-счет, УПД",high,подтверждено владельцем,"Скриншот/сообщение владельца: ""Счета за техподдержку по IIKO! Называется Лемма""; апрель 2026 проверен по счету-договору 52482/1/У и УПД 15452",2026-05-22
hello@biz-panel.com,CP-0006,Синапс,ООО «О. О»,Свежие ссылки Biz Panel и отчеты Яндекс Директ,Контекстная реклама,"отчет, счет, акт",high,подтверждено владельцем,"Скриншот/сообщение владельца: Синапис отчёты о Яндекс директ; Biz Panel договор CNTX-212566 поле Бюджет",2026-05-22
webmaster@insaitov.ru,CP-0011,Синопсис,ООО «СИНАПСИС»,Счета за SEO-продвижение сайта,SEO - оптимизация,"счет, акт",high,подтверждено владельцем,"Скриншот/сообщение владельца: Синапис счета за SEO; сверка T-Bank ООО СИНАПСИС ИНН 3525357535",2026-05-22
donotreply@iiko.ru,CP-0008,iiko,АО «АЙКО»,PDF-счета за подписку iiko и приложения для курьеров по периоду лицензии,Оплаты систем автоматизации,PDF-счет,high,подтверждено владельцем,"Скриншот/сообщение владельца: ""Iiko счета за подписку и приложения для курьеров""; апрель 2026 проверен по счетам 010326-31093-лк и 010326-24901-лсп",2026-05-22
leshkina@starterapp.ru,CP-0001,StarterApp,ООО «Назад в будущее»,Счет и УПД StarterApp за использование платформы по месяцу услуги,Сайт и приложение,"PDF-счет, УПД",high,подтверждено владельцем,"Скриншот/сообщение владельца: ""StarterApp""; апрель 2026 проверен по счету 0000-001541 и УПД 1559",2026-05-22
office@docsinbox.ru,CP-0010,Доксинбокс,ООО «ДОКСИНБОКС»,Счета и закрывающие документы DocsInbox/Доксинбокс из рабочей почты,TBD: разнести по статьям,"счет, закрывающие документы",high,подтверждено владельцем; найдено в workmail,"Скриншот/сообщение владельца: ""Счета докс ин бокс""; workmail message ids 792/839; темы: закрывающие документы за Апрель, новые счета за Июнь",2026-05-22
noreply@clean-rf.ru,CP-0013,Экоцентр,Общество с ограниченной ответственностью «ЭкоЦентр»,Счета/комплекты документов ЭкоЦентр из рабочей почты,TBD: разнести по статьям,"комплект документов, уведомление, счет",high,подтверждено владельцем; найдено в workmail,"Скриншот/сообщение владельца: ""Счета ЭкоЦентр""; workmail message ids 768/814/815/816/817",2026-05-22
info@ohrana-ug7.ru,CP-0018,Охрана Юг,ООО ЧОО «Охрана Юг»,Счета ООО Охрана Юг; охранное предприятие,TBD: разнести по статьям,"счет, УПД",high,подтверждено владельцем; найдено в workmail,"Скриншот/сообщение владельца: ""Счета ООО Охрана Юг (охранное предприятие)""; workmail message id 794",2026-05-22
info@sa-ug.ru,CP-0019,Спецавто Юг,ООО «СПЕЦАВТО ЮГ»,Счета Спецавто Юг; охранная сигнализация,TBD: разнести по статьям,"счет, акт",high,подтверждено владельцем; найдено в workmail,"Скриншот/сообщение владельца: ""Счета Спецавто Юг (охранная сигнализация)""; workmail message id 793",2026-05-22
smmbux@yandex.ru,CP-0016,Делай SMM / Билинский,ИП Билинский Андрей Романович,"УПД ИП Билинский из письма ""Документы для ИП Шокина Кристина Юрьевна от ИП Билинский Андрей Романович"": отдельно абонентское обслуживание/продвижение и рекламный бюджет за период",Таргетированная реклама,"УПД, счет",high,подтверждено владельцем; найдено в workmail,"Уточнение владельца 2026-05-22: первичный источник ОПиУ — письмо с документами/УПД, а не ""Отправка отчета""; апрель 2026 проверен по workmail message id 790, УПД 820 и 821; message id 791 только контроль",2026-05-22
buh@vdonsk.ru,CP-0020,Микроэл,ООО «МИКРОЭЛ»,Документы Микроэл из рабочей почты,TBD: разнести по статьям,"счет, закрывающие документы",high,подтверждено владельцем; найдено в workmail,"Скриншот/сообщение владельца: ""Микроэл""; workmail message id 766",2026-05-22
askad02@mail.ru,CP-0021,Наталья / налоговый агент,ИП Наумченко Наталья Васильевна,Документы и сообщения налогового агента,TBD: разнести по статьям,"документ, налоговое основание, переписка",high,подтверждено владельцем; найдено в workmail,"Скриншот/сообщение владельца: ""Наталья, налоговый агент""; workmail message ids 761/767/818/836/837",2026-05-22
