,,,,,,
Название документа:,Платежный календарь 2024,,,,Дата формирования регламента,13.12.2023
Цель документа:,Планирование и сбор фактических данных по движению денежных средств по статьям отчёта ДДС в разрезе недельных периодов. Осуществление контроля за кассовыми разрывами и их своевременное предотвращение.,,,,Дата изменения,
Результат отчета:,"Денежный поток под контролем.
Определены действия сотрудников в случае угрозы возникновения кассового разрыва.",,,,Дата изменения,
Платформа ведения:,google- таблицы,,,,,
,,,,,,
,,,,,,
Ответственный за ведение и проверку документа:,,,,,,
ФИО/ Перенести в чек-лист,Должность,Какую часть информации заполняют/ Перенести в чек-лист,Источник информации,До какого срока должен быть заполнен документ за месяц/ Перенести дату в чек-лист,За какой срок заполняется документ,Комментарий
[private_person_hash:7536cf4b02],Директор по развитию,"1. Своевременный сбор отчета2. Проверка актуальности внесенной информации3. Проверка правильности формирования документа 4. Резервное копирование документа",ДДС,в конце каждой недели,еженедельно,
,,,,,,
,,,,,,
Ответственные за заполнение документа:,,,,,,
ФИО/При необходимости перенести в чек-лист,Должность,Какую часть информации заполняют/При необходимости перенести в чек-лист,Источник информации,До какого срока должен быть заполнен документ за месяц /При необходимости перенести в чек-лист,За какой срок заполняется документ,Комментарий
[private_person_hash:7536cf4b02],Директор по развитию,"1. Своевременный сбор отчета2. Проверка актуальности внесенной информации3. Проверка правильности формирования документа 4. Резервное копирование документа",ДДС,"в конце каждой недели, заполняется след. неделя","1. План - еженедельно
2. Факт - ежедневно/еженедельно",
,,,,,,
,,,,,,
"Риски, которые могут сорвать сроки отчетности, и способы их решения",,,,,,
Риск,,Выход из этого риска,,,,
Ответственный за заполнение/ Ответственный за ведение документа уходит в отпуск,,Передача полномочий другому ответственному лицу (ФИО лица) на срок отпуска. / Срок сдачи отчетности переносится.,,,,
[private_person_hash:765cd96bda],,Передача полномочий другому ответственному лицу (ФИО лица). / Срок сдачи отчетности переносится.,,,,
[private_person_hash:924f69227e],,Раз в месяц после презентации отчета создается резервное копирование отчетности в рабочее пространство клиента.,,,,
Увольнение ответственного сотрудника,,"Сотрудник должен передать документ в рабочем состоянии с актуальными данными, зафиксировать дату передачи.",,,,
Нарушен срок заполнения отчета,,Информировать ответственных сотрудников о сроках заполнения отчета. Добиваться согласия ответственных лиц по срокам заполнения отчета.,,,,
Остатки ДС за период по факт. данным не совпадают с остатками в ДДС,,"Проверка соответствия перечня статей в ДДС и в ПК, проверка оборотов по каждой статье, проверка расчётных формул для недельных и месячных периодов",,,,
,,,,,,
Правила работы с документом,,Видеоинструкция,,,,
Название листа,Описание,,,,,
Вкладка «Диапазон недель»,Заполняется единоразово при первичной адаптации шаблона,,,,,
,В графах B и С заполнить даты начала недель и даты концов недель в соответствии с календарём текущего года,,,,,
Вкладка «Справочник»,Расписать статьи поступлений и выбытий (как правило этот список импортируется из ДДС),,,,,
,В графе B указать для каждой статьи характер движения ДС - Поступление или Выбытие,,,,,
Вкладка «Контрагенты»,Если используется аналитика по контрагентам необходимо заполнить данную вкладку,,,,,
,Также наличие списка контрагентов позволит легче формировать плановые суммы по движению ДС,,,,,
,Если есть список в ДДС переносим функцией importrange. Если списка нет графу А заполнить списком контрагентов. Список дополняется по мере начала работы с новым контрагентом,,,,,
,В графе В можно указать группы контрагентов,,,,,
Вкладка «Плановый реестр поступлений»,"Вкладка заполняется перед началом каждого месяца, на основании БДДС (если инструмент внедрён). Или при согласовании новых цифр плана на будущие недели текущего месяца",,,,,
,Для заполнения используются только ячейки выделенные цветом,,,,,
,Графы А и В можно заполнять на основе выпадающих списков из вкладок Справочник и Контрагенты,,,,,
,Графы C и D заполняются вручную,,,,,
Вкладка «Плановый реестр выбытий»,"Вкладка заполняется перед началом каждого месяца, на основании БДДС (если инструмент внедрён). Или при согласовании новых цифр плана на будущие недели текущего месяца",,,,,
,Для заполнения используются только ячейки выделенные цветом,,,,,
,Графы А и В можно заполнять на основе выпадающих списков из вкладок Справочник и Контрагенты,,,,,
,Графа С заполняет на основе выставленных счетов на оплату от поставщиков,,,,,
,Графы D и E заполняются вручную,,,,,
Вкладка «Календарь»,Вкладка заполняется единоразово перед началом работы с документом,,,,,
,В строке 6 «Номер недели» указать порядковые номера Диапазонов недель. Даты начала и конца недель подтянутся автоматически из вкладки «Диапазон недель»,,,,,
,В месяц начала ведения отчёта внести начальные остатки денег (оранжевые ячейки) в соответствии с ДДС,,,,,
,"В остатках на начало (8-ая строка) в формуле подправить при необходимости номер строки с остатками на конец. Т.е. если остатки на конец месяца находятся не в 75 строке, а в 80-ой. То в формуле надо заменить 75 на 80 и растянуть ее.",,,,,
,Проверить отражение плановых цифр поступлений и выбытий - графы серого цвета,,,,,
,Проверить формулу в графах сумм за месяц - все ли периоды недель попадаю в учёт. При необходимости исправить формулу,,,,,
,"Как только прошла неделя в календаре в первой строке необходимо поставить галочку над этой неделей. Делается это для того, чтобы все будущие планы поступлений и выбытий в качестве отправной точки брали фактические остатки денег, которые есть сейчас.",,,,,
Вкладка «Факт ДДС»,При первичной адаптации шаблона через importrange закинуть данные из ДДС (при наличии) сохраняем структуру столбцов заданную в платёжном календаре. ,,,,,
,Если данные из ДДС подтянуть нельзя - вносим сведения в данную вкладку вручную - в ячейки выделенные цветом,,,,,
,,,,,,
Необходимые дополнительные инструменты:,,,,,,
Наименование,,Внедрен/нет,Ответственный за ведение и проверку,Срок заполнения,,
ДДС,,TRUE,Олеся,до конца 1-го рабочего дня следующего месяца,,
,,FALSE,,,,
,,FALSE,,,,
,,FALSE,,,,
,,FALSE,,,,
,,FALSE,,,,
,,FALSE,,,,
,,FALSE,,,,
,,,,,,
,,,,,,
Реестр ознакомления,,,,,,
ФИО,Дата,,,,,
[private_person_hash:913fe52b19],13.12.2023,,,,,
