Ответственные,  ,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,TRUE,,FALSE
,,Январь,,,,,,,,,,Январь,,Февраль,,,,,,,,Февраль,,Март,,,,,,,,Март,,Апрель,,,,,,,,,,Апрель,,Май,,,,,,,,Май,,Июнь,,,,,,,,Июнь,,Июль,,,,,,,,,,Июль,,Август,,,,,,,,Август,,Сентябрь,,,,,,,,Сентябрь,,,,Октябрь,,,,,,,,Октябрь,,Ноябрь,,,,,,,,Ноябрь,,Декабрь,,,,,,,,,,Декабрь,
,Год,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,1,1,2020,2020,2020,2020,2020,2020,2020,2020,2,2,2020,2020,2020,2020,2020,2020,2020,2020,3,3,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,4,4,2020,2020,2020,2020,2020,2020,2020,2020,5,5,2020,2020,2020,2020,2020,2020,2020,2020,6,6,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,7,7,2020,2020,2020,2020,2020,2020,2020,2020,8,8,2020,2020,2020,2020,2020,2020,2020,2020,9,9,,,2020,2020,2020,2020,2020,2020,2020,2020,10,10,2020,2020,2020,2020,2020,2020,2020,2020,11,11,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,12,12
,Начало недели,01.01.2024,01.01.2024,08.01.2024,08.01.2024,15.01.2024,15.01.2024,22.01.2024,22.01.2024,29.01.2024,29.01.2024,,,05.02.2024,05.02.2024,12.02.2024,12.02.2024,19.02.2024,19.02.2024,26.02.2024,26.02.2024,,,04.03.2024,04.03.2024,11.03.2024,11.03.2024,18.03.2024,18.03.2024,25.03.2024,25.03.2024,,,01.04.2024,01.04.2024,08.04.2024,08.04.2024,15.04.2024,15.04.2024,22.04.2024,22.04.2024,29.04.2024,29.04.2024,,,06.05.2024,06.05.2024,13.05.2024,13.05.2024,20.05.2024,20.05.2024,27.05.2024,27.05.2024,,,03.06.2024,03.06.2024,10.06.2024,10.06.2024,17.06.2024,17.06.2024,24.06.2024,24.06.2024,,,01.07.2024,01.07.2024,08.07.2024,08.07.2024,15.07.2024,15.07.2024,22.07.2024,22.07.2024,29.07.2024,29.07.2024,,,05.08.2024,05.08.2024,12.08.2024,12.08.2024,19.08.2024,19.08.2024,26.08.2024,26.08.2024,,,02.09.2024,02.09.2024,09.09.2024,09.09.2024,16.09.2024,16.09.2024,23.09.2024,23.09.2024,,,30.09.2024,30.09.2024,07.10.2024,07.10.2024,14.10.2024,14.10.2024,21.10.2024,21.10.2024,28.10.2024,28.10.2024,,,04.11.2024,04.11.2024,11.11.2024,11.11.2024,18.11.2024,18.11.2024,25.11.2024,25.11.2024,,,02.12.2024,02.12.2024,09.12.2024,09.12.2024,16.12.2024,16.12.2024,23.12.2024,23.12.2024,30.12.2024,30.12.2024,,
,Конец недели,07.01.2024,07.01.2024,14.01.2024,14.01.2024,21.01.2024,21.01.2024,28.01.2024,28.01.2024,04.02.2024,04.02.2024,,,11.02.2024,11.02.2024,18.02.2024,18.02.2024,25.02.2024,25.02.2024,03.03.2024,03.03.2024,,,10.03.2024,10.03.2024,17.03.2024,17.03.2024,24.03.2024,24.03.2024,31.03.2024,31.03.2024,,,07.04.2024,07.04.2024,14.04.2024,14.04.2024,21.04.2024,21.04.2024,28.04.2024,28.04.2024,05.05.2024,05.05.2024,,,12.05.2024,12.05.2024,19.05.2024,19.05.2024,26.05.2024,26.05.2024,02.06.2024,02.06.2024,,,09.06.2024,09.06.2024,16.06.2024,16.06.2024,23.06.2024,23.06.2024,30.06.2024,30.06.2024,,,07.07.2024,07.07.2024,14.07.2024,14.07.2024,21.07.2024,21.07.2024,28.07.2024,28.07.2024,04.08.2024,04.08.2024,,,11.08.2024,11.08.2024,18.08.2024,18.08.2024,25.08.2024,25.08.2024,01.09.2024,01.09.2024,,,08.09.2024,08.09.2024,15.09.2024,15.09.2024,22.09.2024,22.09.2024,29.09.2024,29.09.2024,,,06.10.2024,06.10.2024,13.10.2024,13.10.2024,20.10.2024,20.10.2024,27.10.2024,27.10.2024,03.11.2024,03.11.2024,,,10.11.2024,10.11.2024,17.11.2024,17.11.2024,24.11.2024,24.11.2024,01.12.2024,01.12.2024,,,08.12.2024,08.12.2024,15.12.2024,15.12.2024,22.12.2024,22.12.2024,29.12.2024,29.12.2024,31.12.2024,31.12.2024,,
,Номер недели,1,1,2,2,3,3,4,4,5,5,,,6,6,7,7,8,8,9,9,,,10,10,11,11,12,12,13,13,,,14,14,15,15,16,16,17,17,18,18,,,19,19,20,20,21,21,22,22,,,23,23,24,24,25,25,26,26,,,27,27,28,28,29,29,30,30,31,31,,,32,32,33,33,34,34,35,35,,,36,36,37,37,38,38,39,39,,,40,40,41,41,42,42,43,43,44,44,,,45,45,46,46,47,47,48,48,,,49,49,50,50,51,51,52,52,53,53,,
,План/факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт
,Остаток на начало,200 000,317 481,424 278,424 278,427 013,427 013,450 675,450 675,324 026,324 026,200 000,317 481,493 195,493 195,548 204,548 204,590 869,590 869,930 507,930 507,493 195,493 195,560 242,560 242,1 035 655,1 035 655,398 006,398 006,469 073,469 073,560 242,560 242,604 238,604 238,575 177,575 177,553 446,553 446,576 388,576 388,498 349,498 349,604 238,604 238,565 766,565 766,702 252,702 252,543 944,543 944,726 722,726 722,565 766,565 766,782 598,782 598,945 205,945 205,800 690,800 690,1 070 948,1 070 948,782 598,782 598,1 048 017,1 048 017,1 025 093,1 025 093,977 263,977 263,996 837,996 837,1 302 173,1 302 173,1 025 093,1 025 093,1 008 150,1 008 150,1 231 268,1 231 268,619 982,619 982,673 476,673 476,1 008 150,1 008 150,616 017,616 017,692 117,692 117,805 698,805 698,739 700,739 700,616 017,616 017,920 295,920 295,920 295,920 295,1 032 007,1 032 007,1 117 541,1 117 541,1 194 686,1 194 686,920 295,920 295,1 243 656,1 243 656,1 240 800,1 240 800,990 860,990 860,1 118 531,1 118 531,1 243 656,1 243 656,1 117 743,1 117 743,1 054 817,1 054 817,1 046 240,1 046 240,1 378 878,1 378 878,1 161 342,1 161 342,1 117 743,1 117 743
,Поступления,1 066 047,1 122 829,1 246 052,1 244 763,1 374 893,1 344 542,1 042 095,952 939,900 000,797 791,5 629 087,5 462 864,930 000,903 322,850 000,901 080,1 070 000,1 134 382,850 000,823 608,3 700 000,3 762 391,1 250 000,1 184 373,850 000,841 810,850 000,834 832,850 000,1 016 192,3 800 000,3 877 207,940 000,824 497,850 000,821 091,960 000,870 705,900 000,836 787,900 000,1 101 355,4 550 000,4 454 435,950 000,1 016 200,890 000,929 475,900 000,1 001 930,1 050 000,1 084 672,3 790 000,4 032 277,1 140 000,1 083 188,850 000,970 396,1 020 000,915 175,900 000,1 007 163,3 910 000,3 975 921,1 010 000,1 025 282,950 000,969 545,850 000,882 937,950 000,938 108,950 000,1 025 313,4 710 000,4 841 185,910 000,902 853,950 000,987 402,900 000,903 853,1 100 000,985 072,3 860 000,3 779 181,1 160 000,1 200 268,950 000,908 259,950 000,884 309,1 090 000,907 364,4 150 000,3 900 200,1 080 000,1 103 957,920 000,1 004 931,900 000,968 609,930 000,898 733,910 000,1 131 018,4 740 000,5 107 248,150 000,1 037 484,0,943 024,0,951 519,0,1 018 578,150 000,3 950 606,950 000,899 879,950 000,935 046,1 140 000,1 058 097,1 200 000,1 316 487,500 000,401 455,4 740 000,4 610 964
,Возврат переплаты от поставщиков,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Резервы поступление,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
