,,,,,,,,
Контрагент,Статья поступлений,Сумма план,Дата планируемого получения,Комментарий,,Год план,Месяц план,Номер недели план
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.800 000,00",05.01.24,,,2024,1,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",11.01.24,,,2024,1,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",18.01.24,,,2024,1,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",25.01.24,,,2024,1,
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.70 000,00",24.01.24,,,2024,1,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",02.02.24,,,2024,2,
[counterparty_hash:a079b1ede6],Получение овердрафта,"р.266 047,00",02.01.24,,,2024,1,
[counterparty_hash:a079b1ede6],Получение овердрафта,"р.346 052,00",09.01.24,,,2024,1,
[counterparty_hash:a079b1ede6],Получение овердрафта,"р.474 893,00",16.01.24,,,2024,1,
[counterparty_hash:a079b1ede6],Получение овердрафта,"р.72 095,00",23.01.24,,,2024,1,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.850 000,00",07.02.24,,,2024,2,
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.80 000,00",08.02.24,,,2024,2,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.850 000,00",15.02.24,,,2024,2,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.1 000 000,00",22.02.24,,,2024,2,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.850 000,00",29.02.24,,,2024,2,
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.70 000,00",19.02.24,,,2024,2,
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.50 000,00",07.03.24,,,2024,3,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.1 200 000,00",07.03.24,,,2024,3,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.850 000,00",14.03.24,,,2024,3,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.850 000,00",22.03.24,,,2024,3,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.850 000,00",27.03.24,,,2024,3,
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.90 000,00",01.04.24,,,2024,4,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.850 000,00",03.04.24,,,2024,4,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.850 000,00",09.04.24,,,2024,4,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",15.04.24,,,2024,4,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",22.04.24,,,2024,4,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",29.04.24,,,2024,4,18
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.60 000,00",15.04.24,,,2024,4,
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.950 000,00",06.05.24,,,2024,5,19
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.830 000,00",13.05.24,,,2024,5,20
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",27.05.24,,,2024,5,22
[counterparty_hash:335b2a2e9a],Поступление денег с торг. точек,"р.900 000,00",21.05.24,,,2024,5,21
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.60 000,00",15.05.24,,,2024,5,20
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.150 000,00",29.05.24,,,2024,5,22
[counterparty_hash:8009e18a18],Поступление денег с торг. точек,"р.240 000,00",04.06.24,,,2024,6,23
