,,,,,,,,,
Контрагент,Статья,Номер счета,Сумма план,Дата планируемой оплаты,Комментарий,,Год план,Месяц план,Номер недели план
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.132 000,00",02.01.2024,,,2024,1,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.200 000,00",09.01.2024,,,2024,1,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.120 000,00",16.01.2024,,,2024,1,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.120 000,00",23.01.2024,,,2024,1,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.35 000,00",02.01.2024,,,2024,1,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.120 000,00",30.01.2024,,,2024,1,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.45 000,00",09.01.2024,,,2024,1,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.35 000,00",16.01.2024,,,2024,1,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.35 000,00",23.01.2024,,,2024,1,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.35 000,00",30.01.2024,,,2024,1,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.127 000,00",01.01.2024,,,2024,1,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.110 000,00",08.01.2024,,,2024,1,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.100 000,00",15.01.2024,,,2024,1,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.100 000,00",29.01.2024,,,2024,1,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.100 000,00",22.01.2024,,,2024,1,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.75 000,00",01.01.2024,,,2024,1,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.35 000,00",15.01.2024,,,2024,1,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.35 000,00",22.01.2024,,,2024,1,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.35 000,00",29.01.2024,,,2024,1,
[counterparty_hash:961b1c31cb],Оплата поставщикам ,,"р.80 000,00",09.01.2024,,,2024,1,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.12 000,00",02.01.2024,,,2024,1,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.20 000,00",09.01.2024,,,2024,1,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.20 000,00",16.01.2024,,,2024,1,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.20 000,00",23.01.2024,,,2024,1,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.20 000,00",30.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.138 000,00",02.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Зарплата административного персонала,,"р.22 500,00",02.01.2024,,,2024,1,
[counterparty_hash:9d002889b3],Зарплата административного персонала,,"р.62 000,00",03.01.2024,,,2024,1,
[counterparty_hash:913fe52b19],Зарплата административного персонала,,"р.30 000,00",03.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.160 000,00",09.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.160 000,00",16.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.160 000,00",23.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.160 000,00",30.01.2024,,,2024,1,
[counterparty_hash:856bc7fd96],Зарплата административного персонала,,"р.22 500,00",16.01.2024,,,2024,1,
