Год,Мсц (цифрой),Дата,Сумма,Контрагент,Назначение платежа,Статья,Платеж/поступл
2024,1,03.01.2024,"-20 000,00",,,Выбытие — Перевод между счетами,
2024,1,03.01.2024,"-1 000,00",,,Корретировки кассы -,Выбытие
2024,1,03.01.2024,"-6 540,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,03.01.2024,"8 880,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,03.01.2024,"131,00",,,Корретировки кассы +,Поступление
2024,1,03.01.2024,"-7 980,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,03.01.2024,"21 591,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,04.01.2024,"-6 260,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,04.01.2024,"21 718,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,04.01.2024,"-10 033,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,04.01.2024,"16 770,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,04.01.2024,"-6 440,00",[counterparty_hash:856bc7fd96],,Курьерская служба -,Выбытие
2024,1,04.01.2024,"-7 959,00",[counterparty_hash:2a84eb0be0],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-37 953,00",,,Выбытие — Перевод между счетами,
2024,1,03.01.2024,"-62 000,00",[counterparty_hash:9d002889b3],,Зарплата административного персонала,Выбытие
2024,1,03.01.2024,"-30 000,00",[counterparty_hash:913fe52b19],,Зарплата административного персонала,Выбытие
2024,1,03.01.2024,"37 953,00",,,Поступление — Перевод между счетами,
2024,1,03.01.2024,"92 000,00",,,Поступление — Перевод между счетами,
2024,1,02.01.2024,"13 580,76",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,02.01.2024,"-28,14",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,03.01.2024,"14 838,64",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,03.01.2024,"-45,29",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,03.01.2024,"-121 900,00",,,Выбытие — Перевод между счетами,
2024,1,04.01.2024,"28 686,06",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,04.01.2024,"-27,43",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,01.01.2024,"-2 469,19",[counterparty_hash:a079b1ede6],,Эквайринг,Выбытие
2024,1,01.01.2024,"-90,00",[counterparty_hash:a079b1ede6],,Овердрафт,Выбытие
2024,1,01.01.2024,"164 594,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,Поступление
2024,1,03.01.2024,"258 122,38",[counterparty_hash:a079b1ede6],,Получение овердрафта,Поступление
2024,1,03.01.2024,"-27 132,23",[counterparty_hash:a079b1ede6],,Погашение овердрафта,Выбытие
2024,1,03.01.2024,"-37 953,00",,,Выбытие — Перевод между счетами,
2024,1,03.01.2024,"-132 951,08",[counterparty_hash:01761130fc],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-105 068,07",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-35 592,98",[counterparty_hash:55d2a5f343],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-12 372,00",[counterparty_hash:4b0e39f45b],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-22 680,00",[counterparty_hash:81088c4e1c],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-39 091,21",[counterparty_hash:acffbdf399],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"-37 745,62",[counterparty_hash:acffbdf399],,Оплата поставщикам ,Выбытие
2024,1,03.01.2024,"121 900,00",,,Поступление — Перевод между счетами,
