Оплата поставщикам ,,,,,,,,,,,,,,,,,,,,
,2023,,,,,,,,,,,,,,,,,,,
Месяц,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,9,10,11,12
[counterparty_hash:4a816df90f],,,,,,,,,1 661 843,1 529 868,1 915 694,1 512 288,2 120 624,1 564 082,1 634 976,1 567 832,0,0,0,0
[counterparty_hash:335b2a2e9a],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:8009e18a18],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:856bc7fd96],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:a079b1ede6],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:4b0e39f45b],"69 633,00","102 150,93","180 517,04","187 617,25","307 911,08","192 645,80","139 689,42","158 126,82","69 633,00","102 150,93","180 517,04","187 617,25","307 911,08","192 645,80","139 689,42","158 126,82",,,,
[counterparty_hash:81088c4e1c],"409 031,07","400 349,01","380 144,59","316 071,23","339 318,50","320 793,48","287 363,67","326 280,13","409 031,07","400 349,01","380 144,59","316 071,23","339 318,50","320 793,48","287 363,67","326 280,13",,,,
[counterparty_hash:48d0f61ee3],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:768e87a312],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:3892567456],,,,,,,,,,,,,,,,,,,,
[counterparty_hash:64b5ca4d90],"4 859,32","15 137,06","16 253,20","13 715,22","17 258,30","1 364,00","12 259,50","2 580,00","4 859,32","15 137,06","16 253,20","13 715,22","17 258,30","1 364,00","12 259,50","2 580,00",,,,
[counterparty_hash:24d4f68d8f],"11 600,00","9 443,80",,"17 117,80","15 570,12",,"21 435,36",,"11 600,00","9 443,80",,"17 117,80","15 570,12",,"21 435,36",,,,,
[counterparty_hash:e0e7137bcf],"6 450,00","8 000,00","10 210,00","6 900,00","12 900,00","7 600,00","11 600,00","18 000,00","6 450,00","8 000,00","10 210,00","6 900,00","12 900,00","7 600,00","11 600,00","18 000,00",,,,
[counterparty_hash:2a84eb0be0],"209 690,09","203 604,24","202 363,39","208 272,77","233 874,15","183 415,32","155 045,01","161 930,89","209 690,09","203 604,24","202 363,39","208 272,77","233 874,15","183 415,32","155 045,01","161 930,89",,,,
[counterparty_hash:c7da8c8c1f],"30 026,19","78 957,06","112 589,91","59 361,90","132 088,36","127 209,38","222 575,78","199 258,59","30 026,19","78 957,06","112 589,91","59 361,90","132 088,36","127 209,38","222 575,78","199 258,59",,,,
[counterparty_hash:acffbdf399],"108 739,97","118 097,49","158 380,10","135 480,60","143 584,41","109 078,55","65 718,23","100 944,61","108 739,97","118 097,49","158 380,10","135 480,60","143 584,41","109 078,55","65 718,23","100 944,61",,,,
[counterparty_hash:55d2a5f343],"138 081,13","106 768,86","164 431,07","108 556,87","135 710,63","124 653,58","121 401,07","112 003,22","138 081,13","106 768,86","164 431,07","108 556,87","135 710,63","124 653,58","121 401,07","112 003,22",,,,
