,
Возврат переплаты от поставщиков,Поступление
Резервы поступление,Поступление
Резервы вывод,Выбытие
Корретировки кассы +,Поступление
Корретировки кассы -,Выбытие
Поступление денег с торг. точек,Поступление
Прочие поступления,Поступление
Возвраты клиентам,Выбытие
Оплата поставщикам ,Выбытие
Прочие расходы,Выбытие
Транспортные услуги,Выбытие
Курьерская служба -,Выбытие
Курьерская служба +,Поступление
Эквайринг,Выбытие
РКО,Выбытие
Овердрафт,Выбытие
Налоги с з/п,Выбытие
Налоги,Выбытие
Зарплата производственного персонала,Выбытие
Зарплата административного персонала,Выбытие
Таргетированная реклама,Выбытие
Контекстная реклама,Выбытие
Печатные материалы,Выбытие
Листовки,Выбытие
Комиссия партнерам,Выбытие
SEO-оптимизация,Выбытие
Реклама на Яндекс-картах,Выбытие
Комиссия агрегатору,Выбытие
Услуги ФД и НК,Выбытие
Прочие маркетинговые услуги,Выбытие
Обучение персонала,Выбытие
Расходы на питание персонала,Выбытие
Расходы на персонал,Выбытие
Сайт и приложение,Выбытие
Оплаты систем автоматизации,Выбытие
Телекоммуникации,Выбытие
Поиск и найм персонала,Выбытие
Содержание торговых точек,Выбытие
Содержание офиса,Выбытие
Аренда торговых точек,Выбытие
Аренда склада,Выбытие
Аренда офиса,Выбытие
Покупка наличности,Выбытие
Получение кредитов и займов,Поступление
Оплаты по кредитам и займам,Выбытие
Получение овердрафта,Поступление
Погашение овердрафта,Выбытие
Поступление денег от собственников,Поступление
Возврат денег собственникам,Выбытие
Дивиденды,Выбытие
Продажа ОС,Поступление
Покупка ОС,Выбытие
Ремонт ОС,Выбытие
Выдача кредитов и займов,Выбытие
Возврат кредитов и займов,Поступление
Прочие поступл. от фин. операций,Поступление
