Номер недели,С,ПО
1,01.01.2024,07.01.2024
2,08.01.2024,14.01.2024
3,15.01.2024,21.01.2024
4,22.01.2024,28.01.2024
5,29.01.2024,04.02.2024
6,05.02.2024,11.02.2024
7,12.02.2024,18.02.2024
8,19.02.2024,25.02.2024
9,26.02.2024,03.03.2024
10,04.03.2024,10.03.2024
11,11.03.2024,17.03.2024
12,18.03.2024,24.03.2024
13,25.03.2024,31.03.2024
14,01.04.2024,07.04.2024
15,08.04.2024,14.04.2024
16,15.04.2024,21.04.2024
17,22.04.2024,28.04.2024
18,29.04.2024,05.05.2024
19,06.05.2024,12.05.2024
20,13.05.2024,19.05.2024
21,20.05.2024,26.05.2024
22,27.05.2024,02.06.2024
23,03.06.2024,09.06.2024
24,10.06.2024,16.06.2024
25,17.06.2024,23.06.2024
26,24.06.2024,30.06.2024
27,01.07.2024,07.07.2024
28,08.07.2024,14.07.2024
29,15.07.2024,21.07.2024
30,22.07.2024,28.07.2024
31,29.07.2024,04.08.2024
32,05.08.2024,11.08.2024
33,12.08.2024,18.08.2024
34,19.08.2024,25.08.2024
35,26.08.2024,01.09.2024
36,02.09.2024,08.09.2024
37,09.09.2024,15.09.2024
38,16.09.2024,22.09.2024
39,23.09.2024,29.09.2024
40,30.09.2024,06.10.2024
41,07.10.2024,13.10.2024
42,14.10.2024,20.10.2024
43,21.10.2024,27.10.2024
44,28.10.2024,03.11.2024
45,04.11.2024,10.11.2024
46,11.11.2024,17.11.2024
47,18.11.2024,24.11.2024
48,25.11.2024,01.12.2024
49,02.12.2024,08.12.2024
50,09.12.2024,15.12.2024
51,16.12.2024,22.12.2024
52,23.12.2024,29.12.2024
53,30.12.2024,31.12.2024
