sheet,count,formula_pattern
Диапазон недель,104,=CELL+N
Календарь,2170,"=SUMIFS('Факт ДДС'!CELL:CELL,'Факт ДДС'!CELL:CELL,CELL,'Факт ДДС'!CELL:CELL,""[text]""&CELL,'Факт ДДС'!CELL:CELL,""[text]""&CELL)"
Календарь,1610,"=-SUMIFS('Плановые Реестр выбытий'!CELL:CELL,'Плановые Реестр выбытий'!CELL:CELL,""[text]""&CELL,'Плановые Реестр выбытий'!CELL:CELL,""[text]""&CELL,'Плановые Реестр выбытий'!CELL:CELL,CELL)"
Календарь,1116,"=sumifs('Факт ДДС'!CELL:CELL,'Факт ДДС'!CELL:CELL,CELL,'Факт ДДС'!CELL:CELL,""[text]""&CELL,'Факт ДДС'!CELL:CELL,""[text]""&CELL)"
Календарь,887,=CELL+CELL+CELL+CELL
Календарь,828,"=-sumifs('Плановые Реестр выбытий'!CELL:CELL,'Плановые Реестр выбытий'!CELL:CELL,""[text]""&CELL,'Плановые Реестр выбытий'!CELL:CELL,""[text]""&CELL,'Плановые Реестр выбытий'!CELL:CELL,CELL)"
Календарь,611,=CELL+CELL+CELL+CELL+CELL
Календарь,560,"=SUMIFS('Плановый Реестр поступлений'!CELL:CELL,'Плановый Реестр поступлений'!CELL:CELL,""[text]""&CELL,'Плановый Реестр поступлений'!CELL:CELL,""[text]""&CELL,'Плановый Реестр поступлений'!CELL:CELL,CELL)"
Календарь,288,"=sumifs('Плановый Реестр поступлений'!CELL:CELL,'Плановый Реестр поступлений'!CELL:CELL,""[text]""&CELL,'Плановый Реестр поступлений'!CELL:CELL,""[text]""&CELL,'Плановый Реестр поступлений'!CELL:CELL,CELL)"
Календарь,259,=CELL+CELL
Календарь,212,"=ifna(VLOOKUP(CELL,'Диапазон недель'!CELL:CELL,N,N),"""")"
Календарь,172,=SUM(CELL:CELL)
Календарь,103,"=IF(CELL=""[text]"",IF(CELL=TRUE,CELL,CELL),CELL)"
Календарь,88,=sum(CELL:CELL)
Календарь,54,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[text]"")"
Календарь,36,=CELL
Календарь,2,"=IFERROR(__xludf.DUMMYFUNCTION(""FILTER('Справочник'!CELL:CELL,'Справочник'!CELL:CELL=""""[text]""""[text]""),""[text]"")"
Календарь,1,"=IF(CELL=""[text]"",IF(#REF!=TRUE,CELL,CELL),CELL)"
Контрагенты,58,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[text]"")"
Контрагенты,1,"=IFERROR(__xludf.DUMMYFUNCTION(""[text]""""[private_ref]""""[text]""""'Контрагенты'!CELL:A""""[text]""),""[text]"")"
НФ,1,"=HYPERLINK(""[private_ref]"",""[private_ref]"")"
НФ,1,"=HYPERLINK(""[private_ref]"",""[text]"")"
Плановые Реестр выбытий,1015,"=if(ISBLANK(CELL)=TRUE,"""",MONTH(CELL))"
Плановые Реестр выбытий,1015,"=if(ISBLANK(CELL)=TRUE,"""",YEAR(CELL))"
Плановый Реестр поступлений,985,"=if(ISBLANK(CELL)=TRUE,"""",MONTH(CELL))"
Плановый Реестр поступлений,985,"=if(ISBLANK(CELL)=TRUE,"""",YEAR(CELL))"
Поставщики,992,"=IF(SUMIFS('Факт ДДС'!CELL:CELL, 'Факт ДДС'!CELL:CELL, ""[text]""&CELL, 'Факт ДДС'!CELL:CELL, CELL, 'Факт ДДС'!CELL:CELL, CELL)=N, """", -SUMIFS('Факт ДДС'!CELL:CELL, 'Факт ДДС'!CELL:CELL, ""[text]""&CELL, 'Факт ДДС'!CELL:CELL, CELL, 'Факт ДДС'!CELL:CELL, CELL))"
Поставщики,94,='Контрагенты'!CELL
Поставщики,12,=SUM(CELL:CELL)
Справочник,111,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[text]"")"
Справочник,1,"=IFERROR(__xludf.DUMMYFUNCTION(""[text]""""[private_ref]""""[text]""""'ДДС: статьи'!aN:b""""[text]""),""[text]"")"
Факт ДДС,13554,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[text]"")"
Факт ДДС,9165,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),N.N)"
Факт ДДС,4864,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),-N.N)"
Факт ДДС,4502,"=if(CELL=N,"""",YEAR(CELL))"
Факт ДДС,4502,"=if(CELL=N,"""",month(CELL))"
Факт ДДС,4502,"=ifna(vlookup(CELL,'Справочник'!CELL:CELL,N,false),"""")"
Факт ДДС,1,"=IFERROR(__xludf.DUMMYFUNCTION(""[text]""""[private_ref]""""[text]""""'ДДС: месяц'!cN:d""""[text]""),N.N)"
Факт ДДС,1,"=IFERROR(__xludf.DUMMYFUNCTION(""[text]""""[private_ref]""""[text]""""'ДДС: месяц'!gN:i""""[text]""),"""")"
