 Регистрация категорий,,,,,Особоые условия по депозитам (Для внештатников проставь НУЛИ),,,,Выдача депозитов,,,,Регистрация вступления в должность старших поваров,,,,Регистрация штрафов и премий,,,,
Дата постановки на категорию,Имя сотрудника,Должность,Категория,,Имя сотрудника,Требуемый депозит (указать при особых условиях),Сумма удержания (указать при особых условиях),,Имя сотрудника,Депозит при уволнении,Коэффициент выдачи ,,Дата вступления в должность,Имя сотрудника,Надбавка,,Дата,Имя сотрудника,Сумма,Вид начисления/списания,[redacted_comment]
13.08.2024,employee_b3338b123c,Администратор,2,,employee_62c77ec038,0,0,,employee_445cbb2a20,Выдать,100%,,13.08.2024,employee_e0b9462a9d,Зам,,03.05.2025,employee_b20c9e8ecf,1000,Штрафы и удержания,[redacted_comment]
13.08.2024,employee_51247484d7,Администратор,2,,employee_f2a23819d8,7000,2000,,employee_4937b66146,Не выдавать,100%,,14.08.2024,employee_e0b9462a9d,Снят с должности,,02.05.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
13.08.2024,employee_908545f9b4,Пиццерист,3,,employee_eff4f87fa3,7000,2000,,employee_5a3e1adb3f,Выдать,100%,,15.08.2024,employee_3a96201e66,Зам,,03.05.2025,employee_3fa5f3a2b5,500,Премия,[redacted_comment]
13.08.2024,employee_8b0eb48cc4,Шаурмист,3,,employee_035a618100,10000,2000,,employee_b16f896b29,Выдать,100%,,03.09.2024,employee_3a96201e66,Снят с должности,,02.05.2025,employee_7448260c20,300,Штрафы и удержания,[redacted_comment]
13.08.2024,employee_82ceca1c22,Администратор,3,,employee_44aa735d3b,10000,2000,,employee_1817e861dd,Не выдавать,100%,,04.09.2024,employee_3a96201e66,Старший,,04.05.2025,employee_5a3e1adb3f,116,Штрафы и удержания,[redacted_comment]
13.08.2024,employee_2dcfa0649d,Администратор,3,,employee_b0e5843216,15000,2000,,employee_ad25f93d9f,Не выдавать,100%,,30.08.2024,employee_7448260c20,Зам,,06.05.2025,employee_9747b9d844,300,Премия,[redacted_comment]
13.08.2024,employee_47a96f6744,Сушист,3,,employee_7ae55ec1c8,10000,2000,,employee_a43b07b2aa,Выдать,"100,00%",,18.09.2024,employee_7448260c20,Снят с должности,,06.05.2025,employee_3fa5f3a2b5,800,Премия,[redacted_comment]
13.08.2024,employee_47a96f6744,Пиццерист,3,,,,,,employee_5f85335cf4,Не выдавать,"100,00%",,18.09.2024,employee_3fa5f3a2b5,Зам,,07.05.2025,employee_1570ccae80,2000,Штрафы и удержания,[redacted_comment]
13.08.2024,employee_e0b9462a9d,Пиццерист,1,,,,,,employee_ac996276a1,Выдать,"100,00%",,22.10.2024,employee_3fa5f3a2b5,Снят с должности,,07.05.2025,employee_3fa5f3a2b5,800,Премия,[redacted_comment]
13.08.2024,employee_e0b9462a9d,Шаурмист,3,,,,,,employee_86c0d0bb22,Выдать,"100,00%",,23.10.2024,employee_9747b9d844,Зам,,08.05.2025,employee_1570ccae80,429,Штрафы и удержания,[redacted_comment]
