,,,,,,,,,Депозиты сотрудников,,,,,,,
Имя сорудника,Доложность,Категория(не радактировать),"Надбавки 
(не редактровать)",Принят на работу,Текущая дата,Отработанный период(год),Источник,,Имя сорудника,Категория,Депозит собраный,Депозит требуемый,Требуемая сумма удержания депозита,Сумма удержания,При уволнении,Коэффициент выдачи
employee_b3338b123c,Администратор,2,,20.11.2021,28.05.2026,"4,52",,,employee_b3338b123c,2,"15 000,00","15 000,00",1000,,,
employee_908545f9b4,Пиццерист,1,,01.12.2023,28.05.2026,"2,49",,,employee_908545f9b4,1,"20 000,00","20 000,00",1000,,,
employee_8b0eb48cc4,Шаурмист,3,,01.12.2023,28.05.2026,"2,49",,,employee_8b0eb48cc4,3,"10 000,00","10 000,00",1000,,,
employee_2dcfa0649d,Администратор,2,,01.01.2024,28.05.2026,"2,41",,,employee_2dcfa0649d,2,"15 000,00","15 000,00",1000,,,
employee_8b0eb48cc4,Заготовщик,5,,01.12.2023,28.05.2026,"2,49",,,employee_62c77ec038,1,"0,00","0,00",0,,,
employee_62c77ec038,Сушист,1,,23.07.2024,28.05.2026,"1,85",,,employee_3c4a629691,1,"20 000,00","20 000,00",1000,,,
employee_62c77ec038,Пиццерист,1,,23.07.2024,28.05.2026,"1,85",,,employee_a321587054,6,"0,00","0,00",0,,,
employee_62c77ec038,Шаурмист,3,,23.07.2024,28.05.2026,"1,85",,,employee_dfa826d51c,6,"0,00","0,00",0,,,
employee_3c4a629691,Пиццерист,1,Зам,10.01.2025,28.05.2026,"1,38",,,employee_f420556a57,2,"15 000,00","15 000,00",1000,,,
employee_62c77ec038,Заготовщик,5,,20.02.2025,28.05.2026,"1,27",,,employee_a285bf7cad,3,"10 000,00","10 000,00",1000,,,
employee_a321587054,Сушист,6,,01.06.2025,28.05.2026,"0,99",,,employee_9b36065fce,3,"10 000,00","10 000,00",1000,,,
employee_dfa826d51c,Сушист,6,,01.06.2025,28.05.2026,"0,99",,,employee_15b9fd024a,2,"14 000,00","15 000,00",1000,1000,,
employee_f420556a57,Пиццерист,2,,03.10.2025,28.05.2026,"0,65",,,employee_f2a23819d8,4,"7 000,00","7 000,00",2000,,,
employee_a285bf7cad,Администратор,3,,05.10.2025,28.05.2026,"0,65",,,employee_44aa735d3b,5,"8 000,00","10 000,00",2000,2000,,
employee_9b36065fce,Сушист,3,,18.12.2025,28.05.2026,"0,44",,,employee_eff4f87fa3,4,"7 000,00","7 000,00",2000,,,
employee_15b9fd024a,Сушист,2,Старший,19.02.2026,28.05.2026,"0,28",,,employee_b0e5843216,2,"0,00","15 000,00",2000,2000,Выдать,1
employee_f2a23819d8,Шаурмист,4,,09.03.2026,28.05.2026,"0,22",,,employee_7ae55ec1c8,5,"2 000,00","10 000,00",2000,2000,,
employee_f420556a57,Сушист,3,,11.03.2026,28.05.2026,"0,21",,,employee_921c390b7f,5,"0,00","7 000,00",1000,1000,,
employee_44aa735d3b,Сушист,5,,23.04.2026,28.05.2026,"0,10",,,,,,,,,,
employee_eff4f87fa3,Администратор,4,,21.04.2026,28.05.2026,"0,10",,,,,,,,,,
employee_b0e5843216,Сушист,2,,25.04.2026,28.05.2026,"0,09",,,,,,,,,,
employee_7ae55ec1c8,Пиццерист,5,,22.05.2026,28.05.2026,"0,02",,,,,,,,,,
employee_921c390b7f,Сушист,5,,26.05.2026,28.05.2026,"0,01",,,,,,,,,,
