Начало периода,Конец периода,,,,,,,,,,,,,
19.05.2026,25.05.2026,,,employee_8b0eb48cc4, ,,,,,,,,,
,,,,[redacted_comment],93369,,,,,,,,,
Долг сотрудника,-6763,,,[redacted_comment],6763,,,,,,,,,
Удержание в уплату долга,,,,[redacted_comment],7723,,,,,,,,,
,,,,,,,,,,,,,,
К Выплате,0,,,,,Накопления,22894,,,,,,,
,Оклад,Процент,Премия,[redacted_comment],Больничные и отпуска и пособия,Накопительный фонд,Депозит возврат,Депозит удержание,Штрафы и удержания,[redacted_comment],Штрафы по ревизиям,[redacted_comment],Выплата ЗП,Выплата аванса
19.05.2026,,,,,,,,,,,,,7299,
20.05.2026,,,,,,,,,,,,,,
21.05.2026,2000,258,,,,300,,,,,1066,,,
22.05.2026,2200,576,,,,330,,,,,,,,
23.05.2026,2200,595,,,,330,,,,,,,,
24.05.2026,,,,,,,,,,,,,,
25.05.2026,,,,,,,,,,,,,,
