Блок расчета длительности смен за неделю ,,,,,,,,,Разделение времени на часы и минуты Часы,Минуты,Часы,Минуты,Часы,Минуты,Часы,Минуты,Часы,Минуты,Часы,Минуты,Часы,Минуты,,Финальный расчет длительности смен с учетом минут ,,,,,,
employee_b3338b123c,,12:28:00,12:29:00,13:23:00,,,,,0,0,12,28,12,29,13,23,0,0,0,0,0,0,,0,12,12,13,0,0,0
employee_908545f9b4,12:36:00,12:28:00,12:24:00,13:43:00,,,,,12,36,12,28,12,24,13,43,0,0,0,0,0,0,,12,12,12,14,0,0,0
employee_8b0eb48cc4,,,12:39:00,13:35:00,13:34:00,,,,0,0,0,0,12,39,13,35,13,34,0,0,0,0,,0,0,12,13,13,0,0
employee_2dcfa0649d,10:14:00,,,13:26:00,13:25:00,13:03:00,,,10,14,0,0,0,0,13,26,13,25,13,3,0,0,,10,0,0,13,13,13,0
employee_3c4a629691,,,,14:00:00,13:35:00,13:15:00,13:56:00,,0,0,0,0,0,0,14,0,13,35,13,15,13,56,,0,0,0,14,13,13,14
employee_44aa735d3b,13:08:00,12:27:00,,13:24:00,13:40:00,13:09:00,,,13,8,12,27,0,0,13,24,13,40,13,9,0,0,,13,12,0,13,14,13,0
employee_f420556a57,13:01:00,11:11:00,12:40:00,,13:41:00,13:23:00,13:39:00,,13,1,11,11,12,40,0,0,13,41,13,23,13,39,,13,11,13,0,14,13,13
employee_a285bf7cad,13:08:00,,,,13:35:00,13:16:00,12:36:00,,13,8,0,0,0,0,0,0,13,35,13,16,12,36,,13,0,0,0,13,13,12
employee_9b36065fce,,,,13:26:00,13:25:00,13:05:00,13:44:00,,0,0,0,0,0,0,13,26,13,25,13,5,13,44,,0,0,0,13,13,13,14
employee_15b9fd024a,11:49:00,,12:58:00,14:07:00,14:01:00,,,,11,49,0,0,12,58,14,7,14,1,0,0,0,0,,12,0,13,14,14,0,0
employee_f2a23819d8,7:29:00,12:27:00,,,,13:24:00,13:44:00,,7,29,12,27,0,0,0,0,0,0,13,24,13,44,,7,12,0,0,0,13,14
employee_eff4f87fa3,,12:27:00,12:36:00,,,,13:06:00,,0,0,12,27,12,36,0,0,0,0,0,0,13,6,,0,12,12,0,0,0,13
employee_b0e5843216,,12:27:00,10:56:00,13:24:00,14:02:00,,13:34:00,,0,0,12,27,10,56,13,24,14,2,0,0,13,34,,0,12,11,13,14,0,13
employee_7ae55ec1c8,,,,,14:02:00,13:24:00,13:34:00,,0,0,0,0,0,0,0,0,14,2,13,24,13,34,,0,0,0,0,14,13,13
