Месяц,Неделя,Оклад,Процент,Премия,НДФЛ,Штрафы и удержания,Штрафы по ревизиям,Итого
марта 2026,03.03 - 09.03,125232,64557,45700,1625,0,5420,228444
марта 2026,10.03 - 16.03,113450,33148,19550,0,56,2912,163180
марта 2026,17.03 - 23.03,116866,27660,14200,0,2584,3562,152580
марта 2026,24.03 - 30.03,120266,35136,6100,1625,762,3755,155360
марта 2026,31.03 - 06.04,114424,27259,25300,0,1098,3016,162869
апреля 2026,07.04 - 13.04,110200,26648,7800,1625,0,4919,138104
апреля 2026,14.04 - 20.04,108465,32426,9400,1625,1780,3756,143130
апреля 2026,21.04 - 27.04,119699,31568,11200,4050,400,5598,152419
апреля 2026,28.04 - 04.05,121433,32714,7000,0,1381,2610,157156
мая 2026,05.05 - 11.05,119233,36074,9400,0,1251,0,163456
мая 2026,12.05 - 18.05,121566,30254,3300,0,3550,8461,143109
мая 2026,19.05 - 25.05,127899,30663,6200,0,1743,10334,152685
мая 2026,26.05 - 01.06,0,0,0,0,0,0,0
июня 2026,02.06 - 08.06,0,0,0,0,0,0,0
июня 2026,09.06 - 15.06,0,0,0,0,0,0,0
июня 2026,16.06 - 22.06,0,0,0,0,0,0,0
июня 2026,23.06 - 29.06,0,0,0,0,0,0,0
июня 2026,30.06 - 06.07,0,0,0,0,0,0,0
июля 2026,07.07 - 13.07,0,0,0,0,0,0,0
июля 2026,14.07 - 20.07,0,0,0,0,0,0,0
июля 2026,21.07 - 27.07,0,0,0,0,0,0,0
июля 2026,28.07 - 03.08,0,0,0,0,0,0,0
августа 2026,04.08 - 10.08,0,0,0,0,0,0,0
августа 2026,11.08 - 17.08,0,0,0,0,0,0,0
августа 2026,18.08 - 24.08,0,0,0,0,0,0,0
августа 2026,25.08 - 31.08,0,0,0,0,0,0,0
сентября 2026,01.09 - 07.09,0,0,0,0,0,0,0
сентября 2026,08.09 - 14.09,0,0,0,0,0,0,0
сентября 2026,15.09 - 21.09,0,0,0,0,0,0,0
сентября 2026,22.09 - 28.09,0,0,0,0,0,0,0
сентября 2026,29.09 - 05.10,0,0,0,0,0,0,0
октября 2026,06.10 - 12.10,0,0,0,0,0,0,0
октября 2026,13.10 - 19.10,0,0,0,0,0,0,0
октября 2026,20.10 - 26.10,0,0,0,0,0,0,0
октября 2026,27.10 - 02.11,0,0,0,0,0,0,0
ноября 2026,03.11 - 09.11,0,0,0,0,0,0,0
ноября 2026,10.11 - 16.11,0,0,0,0,0,0,0
ноября 2026,17.11 - 23.11,0,0,0,0,0,0,0
ноября 2026,24.11 - 30.11,0,0,0,0,0,0,0
декабря 2026,01.12 - 07.12,0,0,0,0,0,0,0
декабря 2026,08.12 - 14.12,0,0,0,0,0,0,0
декабря 2026,15.12 - 21.12,0,0,0,0,0,0,0
декабря 2026,22.12 - 28.12,0,0,0,0,0,0,0
декабря 2026,29.12 - 04.01,0,0,0,0,0,0,0
января 2027,05.01 - 11.01,0,0,0,0,0,0,0
января 2027,12.01 - 18.01,0,0,0,0,0,0,0
января 2027,19.01 - 25.01,0,0,0,0,0,0,0
января 2027,26.01 - 01.02,0,0,0,0,0,0,0
февраля 2027,02.02 - 08.02,0,0,0,0,0,0,0
февраля 2027,09.02 - 15.02,0,0,0,0,0,0,0
февраля 2027,16.02 - 22.02,0,0,0,0,0,0,0
февраля 2027,23.02 - 01.03,0,0,0,0,0,0,0
марта 2027,02.03 - 08.03,0,0,0,0,0,0,0
марта 2027,09.03 - 15.03,0,0,0,0,0,0,0
марта 2027,16.03 - 22.03,0,0,0,0,0,0,0
марта 2027,23.03 - 29.03,0,0,0,0,0,0,0
марта 2027,30.03 - 05.04,0,0,0,0,0,0,0
апреля 2027,06.04 - 12.04,0,0,0,0,0,0,0
апреля 2027,13.04 - 19.04,0,0,0,0,0,0,0
апреля 2027,20.04 - 26.04,0,0,0,0,0,0,0
апреля 2027,27.04 - 03.05,0,0,0,0,0,0,0
мая 2027,04.05 - 10.05,0,0,0,0,0,0,0
мая 2027,11.05 - 17.05,0,0,0,0,0,0,0
мая 2027,18.05 - 24.05,0,0,0,0,0,0,0
мая 2027,25.05 - 31.05,0,0,0,0,0,0,0
июня 2027,01.06 - 07.06,0,0,0,0,0,0,0
