sheet_name,cell,formula,formula_type,shared_ref
Исходные данные,A2,"IFERROR(__xludf.DUMMYFUNCTION(""QUERY('Штат'!A:C,""""select A,B,C"""")""),"" Имя сорудника"")",,
Исходные данные,B2,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),"" Доложность"")",,
Исходные данные,C2,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),"" Категория(не радактировать)"")",,
Исходные данные,A3,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B3,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Администратор"")",,
Исходные данные,C3,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),2.0)",,
Исходные данные,D3,"IFERROR(IF(C3:C1000="""","""",VLOOKUP(C3:C1000,$G$3:$H$6,2,0)),"""")",array,D3:D1000
Исходные данные,E3,"IFERROR(IF(C3:C1000="""","""",SUMIF(L3:L1000&M3:M1000,B3:B1000&C3:C1000,N3:N1000)),"""")",array,E3:E1000
Исходные данные,A4,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B4,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Пиццерист"")",,
Исходные данные,C4,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,
Исходные данные,A5,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B5,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Шаурмист"")",,
Исходные данные,C5,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),3.0)",,
Исходные данные,A6,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B6,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Администратор"")",,
Исходные данные,C6,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),2.0)",,
Исходные данные,A7,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B7,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Заготовщик"")",,
Исходные данные,C7,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),5.0)",,
Исходные данные,A8,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B8,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
Исходные данные,C8,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,
Исходные данные,A9,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B9,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Пиццерист"")",,
Исходные данные,C9,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,
Исходные данные,A10,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B10,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Шаурмист"")",,
Исходные данные,C10,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),3.0)",,
Исходные данные,A11,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B11,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Пиццерист"")",,
Исходные данные,C11,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1.0)",,
Исходные данные,A12,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B12,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Заготовщик"")",,
Исходные данные,C12,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),5.0)",,
Исходные данные,A13,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Внештат №1"")",,
Исходные данные,B13,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
Исходные данные,C13,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),6.0)",,
Исходные данные,A14,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Внештат №2"")",,
Исходные данные,B14,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
Исходные данные,C14,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),6.0)",,
Исходные данные,A15,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B15,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Пиццерист"")",,
Исходные данные,C15,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),2.0)",,
Исходные данные,A16,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B16,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Администратор"")",,
Исходные данные,C16,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),3.0)",,
Исходные данные,A17,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B17,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
Исходные данные,C17,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),3.0)",,
Исходные данные,A18,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B18,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
Исходные данные,C18,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),2.0)",,
Исходные данные,A19,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B19,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Шаурмист"")",,
Исходные данные,C19,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),4.0)",,
Исходные данные,A20,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""[private]"")",,
Исходные данные,B20,"IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""Сушист"")",,
