order,sheet_name,gid,file,sheet_state,csv_rows,csv_cols,html_rows,html_cols,pii_filtering
0,Исходные данные,0,00_source_data.csv,visible,25,28,,,employee/person/contact/comment fields hashed or redacted
1,Категории и надбавки,1505174086,01_categories_allowances.csv,visible,958,22,,,employee/person/contact/comment fields hashed or redacted
2,Штат,1176727298,02_staff.csv,visible,25,17,,,employee/person/contact/comment fields hashed or redacted
3,Калькулятор,1019409828,03_calculator.csv,visible,25,12,,,employee/person/contact/comment fields hashed or redacted
4,Зарплата Администрации,410754589,04_admin_payroll.csv,visible,8,11,,,employee/person/contact/comment fields hashed or redacted
5,Выплаты,258902766,05_payments.csv,visible,1859,7,,,employee/person/contact/comment fields hashed or redacted
6,Персональный отчет,345435248,06_personal_report.csv,visible,15,15,,,employee/person/contact/comment fields hashed or redacted
7,Выгрузка,1578260979,07_export_ledger.csv,visible,17028,8,,,employee/person/contact/comment fields hashed or redacted
8,Смены и выручка,1577032092,08_shifts_revenue.csv,visible,18,11,,,employee/person/contact/comment fields hashed or redacted
9,Загрузка явок,1562584021,09_attendance_upload.csv,visible,15,12,,,employee/person/contact/comment fields hashed or redacted
10,Технический лист,1995335248,10_technical_sheet.csv,hidden,710,9,,,employee/person/contact/comment fields hashed or redacted
11,Расчет коэффициентов,1796414532,11_coefficient_calc.csv,hidden,19,17,,,employee/person/contact/comment fields hashed or redacted
12,Расчет длительности смен,1468378961,12_duration_calc.csv,hidden,15,31,,,employee/person/contact/comment fields hashed or redacted
13,Понедельные начисления,814874892,13_weekly_accruals.csv,visible,67,9,,,employee/person/contact/comment fields hashed or redacted
